Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,1,0.0131886666640639,8.21978846943239E-06,0,0,0,0,-0.002284039,41
0,1,2,0.013495372608304,7.85174142947653E-06,0,0,0,0,-0.002284039,41
0,2,3,0.013495372608304,-3.55773477167531E-06,0,0,0,0,-0.002284039,41
0,3,4,0.013495372608304,-2.69895713245205E-06,0,0,0,0,-0.002284039,41
0,4,5,0.013495372608304,1.22683122754097E-05,0,0,0,0,-0.002284039,41
0,5,6,0.013495372608304,1.16548999358201E-05,0,0,0,0,-0.002284039,41
0,6,7,0.013495372608304,-7.91296497482108E-06,0,0,0,0,-0.002284039,41
0,7,8,0.013495372608304,-1.12253928818973E-05,0,0,0,0,-0.002284039,41
0,8,9,0.013495372608304,5.27540760231204E-06,0,0,0,0,-0.002284039,41
0,9,10,0.013495372608304,6.50223319098586E-06,0,0,0,0,-0.002284039,41
0,10,11,0.013495372608304,-3.98712381866062E-06,0,0,0,0,-0.002284039,41
0,11,12,0.013495372608304,2.94443952952861E-06,0,0,0,0,-0.002284039,41
0,12,13,0.013495372608304,1.50286696225521E-05,0,0,0,0,-0.002284039,41
0,13,14,0.013495372608304,2.88309843199386E-06,0,0,0,0,-0.002284039,41
0,14,15,0.013495372608304,-1.07346631921246E-05,0,0,0,0,-0.002284039,41
0,15,16,0.013495372608304,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,16,17,0.0138020785525441,1.84637810889399E-05,0,0,0,0,-0.002284039,41
0,17,18,0.0138020785525441,7.11564598532277E-06,0,0,0,0,-0.002284039,41
0,18,19,0.0138020785525441,-1.1470758181531E-05,0,0,0,0,-0.002284039,41
0,19,20,0.0138020785525441,-2.33090941037517E-06,0,0,0,0,-0.002284039,41
0,20,21,0.0138020785525441,1.78503669303609E-05,0,0,0,0,-0.002284039,41
0,21,22,0.0141087854281068,-1.83965070732484E-07,0,0,0,0,-0.002284039,41
0,22,23,0.0138020785525441,-1.26362429000437E-05,0,0,0,0,-0.002284039,41
0,23,24,0.0138020785525441,8.28113024908816E-06,0,0,0,0,-0.002284039,41
0,24,25,0.0138020785525441,7.5450348049344E-06,0,0,0,0,-0.002284039,41
0,25,26,0.0138020785525441,8.58836472161784E-07,0,0,0,0,-0.002284039,41
0,26,27,0.0138020785525441,-3.55773477167531E-06,0,0,0,0,-0.002284039,41
0,27,28,0.0138020785525441,4.90736010760884E-06,0,0,0,0,-0.002284039,41
0,28,29,0.0138020785525441,1.57647646119585E-05,0,0,0,0,-0.002284039,41
0,29,30,0.0138020785525441,-1.7174967297251E-06,0,0,0,0,-0.002284039,41
0,30,31,0.0138020785525441,-9.26247230381705E-06,0,0,0,0,-0.002284039,41
