Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.005,-2.07548141479492,-0.0237206686288118,0,0,0,0,-0.002284039,50
0,1,0.01,-2.12547469139099,-0.0316888988018036,0,0,0,0,-0.002284039,50
0,2,0.015,-2.05431866645813,-0.0201567411422729,0,0,0,0,-0.002284039,50
0,3,0.02,-2.1101393699646,-0.0287015791982412,0,0,0,0,-0.002284039,50
0,4,0.025,-2.06045293807983,-0.0172614324837923,0,0,0,0,-0.002284039,50
0,5,0.03,-2.09296369552612,-0.0261068437248468,0,0,0,0,-0.002284039,50
0,6,0.035,-2.04266381263733,-0.0148384524509311,0,0,0,0,-0.002284039,50
0,7,0.04,-2.08161568641663,-0.0238004121929407,0,0,0,0,-0.002284039,50
0,8,0.045,-2.03898334503174,-0.0125626912340522,0,0,0,0,-0.002284039,50
0,9,0.05,-2.07854866981506,-0.0216473340988159,0,0,0,0,-0.002284039,50
0,10,0.055,-2.01444697380066,-0.0105322953313589,0,0,0,0,-0.002284039,50
0,11,0.06,-2.06505346298218,-0.0196108035743237,0,0,0,0,-0.002284039,50
0,12,0.065,-2.02456831932068,-0.00843442417681217,0,0,0,0,-0.002284039,50
0,13,0.07,-2.05002498626709,-0.0177766997367144,0,0,0,0,-0.002284039,50
0,14,0.075,-2.00493907928467,-0.00675980793312192,0,0,0,0,-0.002284039,50
0,15,0.08,-2.07026743888855,-0.015832182019949,0,0,0,0,-0.002284039,50
0,16,0.085,-1.98776352405548,-0.00504225213080645,0,0,0,0,-0.002284039,50
0,17,0.09,-2.03315591812134,-0.0141636990010738,0,0,0,0,-0.002284039,50
0,18,0.095,-1.97396171092987,-0.00353939109481871,0,0,0,0,-0.002284039,50
0,19,0.1,-2.03714323043823,-0.0125381555408239,0,0,0,0,-0.002284039,50
0,20,0.11,-2.02671527862549,-0.0111285327002406,0,0,0,0,-0.002284039,50
0,21,0.115,-1.97549521923065,-0.000707877625245601,0,0,0,0,-0.002284039,50
0,22,0.12,-1.98653662204742,-0.0095986807718873,0,0,0,0,-0.002284039,50
0,23,0.125,-1.95095872879028,0.000534283055458218,0,0,0,0,-0.002284039,50
0,24,0.13,-1.9997251033783,-0.00828781817108393,0,0,0,0,-0.002284039,50
0,25,0.135,-1.95003867149353,0.00165560143068433,0,0,0,0,-0.002284039,50
0,26,0.14,-1.9920574426651,-0.00704627064988017,0,0,0,0,-0.002284039,50
0,27,0.145,-1.95985317230225,0.00253278156742454,0,0,0,0,-0.002284039,50
0,28,0.15,-1.97396171092987,-0.00591268436983228,0,0,0,0,-0.002284039,50
0,29,0.155,-1.93347644805908,0.00339708011597395,0,0,0,0,-0.002284039,50
0,30,0.16,-2.00095176696777,-0.00488215079531074,0,0,0,0,-0.002284039,50
0,31,0.165,-1.94421124458313,0.00399699760600924,0,0,0,0,-0.002284039,50
0,32,0.17,-1.97948241233826,-0.00399699620902538,0,0,0,0,-0.002284039,50
0,33,0.175,-1.89851200580597,0.00446932530030608,0,0,0,0,-0.002284039,50
0,34,0.18,-1.94727826118469,-0.00331242778338492,0,0,0,0,-0.002284039,50
0,35,0.185,-1.89667177200317,0.00430186372250319,0,0,0,0,-0.002284039,50
0,36,0.19,-1.93930387496948,-0.00304559338837862,0,0,0,0,-0.002284039,50
0,37,0.195,-1.8893107175827,0.0027045370079577,0,0,0,0,-0.002284039,50
0,38,0.2,-1.94390451908112,-0.00358171598054469,0,0,0,0,-0.002284039,50
0,39,0.205,-1.88685715198517,0.00170099397655576,0,0,0,0,-0.002284039,50
0,40,0.21,-1.91200697422028,-0.00447913864627481,0,0,0,0,-0.002284039,50
0,41,0.215,-1.86722791194916,-0.00457605812698603,0,0,0,0,-0.002284039,50
0,42,0.22,-1.91078019142151,-0.00679354462772608,0,0,0,0,-0.002284039,50
0,43,0.225,-1.84974563121796,-0.0044730044901371,0,0,0,0,-0.002284039,50
0,44,0.23,-1.89452481269836,-0.00654756650328636,0,0,0,0,-0.002284039,50
0,45,0.235,-1.83870422840118,-0.00428530061617494,0,0,0,0,-0.002284039,50
0,46,0.24,-1.89820528030396,-0.00622797850519419,0,0,0,0,-0.002284039,50
0,47,0.245,-1.8448383808136,-0.00407551322132349,0,0,0,0,-0.002284039,50
0,48,0.25,-1.88440346717834,-0.00593476695939898,0,0,0,0,-0.002284039,50
0,49,0.255,-1.821528673172,-0.00392522709444165,0,0,0,0,-0.002284039,50
0,50,0.26,-1.87489557266235,-0.00565321044996381,0,0,0,0,-0.002284039,50
0,51,0.265,-1.82459568977356,-0.00369274383410811,0,0,0,0,-0.002284039,50
0,52,0.27,-1.86140048503876,-0.00540600530803204,0,0,0,0,-0.002284039,50
0,53,0.275,-1.79913914203644,-0.00350258592516184,0,0,0,0,-0.002284039,50
0,54,0.28,-1.86140048503876,-0.00512567581608891,0,0,0,0,-0.002284039,50
0,55,0.285,-1.80251288414001,-0.00331794866360724,0,0,0,0,-0.002284039,50
0,56,0.29,-1.87734925746918,-0.00494962651282549,0,0,0,0,-0.002284039,50
0,57,0.295,-1.78901779651642,-0.00314312591217458,0,0,0,0,-0.002284039,50
0,58,0.3,-1.84698534011841,-0.0047570145688951,0,0,0,0,-0.002284039,50
0,59,0.305,-1.75988066196442,-0.00299529358744621,0,0,0,0,-0.002284039,50
0,60,0.31,-1.83502376079559,-0.00443620001897216,0,0,0,0,-0.002284039,50
0,61,0.315,-1.75742697715759,-0.00282783177681267,0,0,0,0,-0.002284039,50
0,62,0.32,-1.81938171386719,-0.00423990795388818,0,0,0,0,-0.002284039,50
0,63,0.325,-1.73595762252808,-0.00269656162708998,0,0,0,0,-0.002284039,50
0,64,0.33,-1.81631469726563,-0.00404422916471958,0,0,0,0,-0.002284039,50
0,65,0.335,-1.77981662750244,-0.00250333664007485,0,0,0,0,-0.002284039,50
0,66,0.34,-1.7963787317276,-0.00383014813996851,0,0,0,0,-0.002284039,50
0,67,0.345,-1.73933136463165,-0.00239414907991886,0,0,0,0,-0.002284039,50
0,68,0.35,-1.83011639118195,-0.00379641051404178,0,0,0,0,-0.002284039,50
0,69,0.355,-1.72307586669922,-0.00226471899077296,0,0,0,0,-0.002284039,50
0,70,0.36,-1.77613615989685,-0.0035068797878921,0,0,0,0,-0.002284039,50
0,71,0.365,-1.70774066448212,-0.00214387662708759,0,0,0,0,-0.002284039,50
0,72,0.37,-1.76110756397247,-0.00337990326806903,0,0,0,0,-0.002284039,50
0,73,0.375,-1.70007300376892,-0.00202242098748684,0,0,0,0,-0.002284039,50
0,74,0.38,-1.75712037086487,-0.00320814782753587,0,0,0,0,-0.002284039,50
0,75,0.385,-1.67461633682251,-0.00193224940448999,0,0,0,0,-0.002284039,50
0,76,0.39,-1.74730575084686,-0.00301737640984356,0,0,0,0,-0.002284039,50
0,77,0.395,-1.68167054653168,-0.00178196327760816,0,0,0,0,-0.002284039,50
0,78,0.4,-1.72736978530884,-0.00287383771501482,0,0,0,0,-0.002284039,50
0,79,0.405,-1.67461633682251,-0.00169363187160343,0,0,0,0,-0.002284039,50
0,80,0.41,-1.73135697841644,-0.00273213954642415,0,0,0,0,-0.002284039,50
0,81,0.415,-1.65989446640015,-0.00156604195944965,0,0,0,0,-0.002284039,50
0,82,0.42,-1.70314002037048,-0.00259596179239452,0,0,0,0,-0.002284039,50
0,83,0.425,-1.66725540161133,-0.00148691178765148,0,0,0,0,-0.002284039,50
0,84,0.43,-1.71050095558167,-0.00253523397259414,0,0,0,0,-0.002284039,50
0,85,0.435,-1.65376031398773,-0.00140410102903843,0,0,0,0,-0.002284039,50
0,86,0.44,-1.68657791614532,-0.00236163823865354,0,0,0,0,-0.002284039,50
0,87,0.445,-1.63934504985809,-0.00131208915263414,0,0,0,0,-0.002284039,50
0,88,0.45,-1.67891025543213,-0.00227269344031811,0,0,0,0,-0.002284039,50
0,89,0.455,-1.61327505111694,-0.00122069066856056,0,0,0,0,-0.002284039,50
0,90,0.46,-1.69332540035248,-0.00212486088275909,0,0,0,0,-0.002284039,50
0,91,0.465,-1.6298371553421,-0.00116793718189001,0,0,0,0,-0.002284039,50
