Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.1,0.000307000009343028,-8.15838284324855E-05,0,0,0,0,-0.002284039,53
0,1,0.2,-0.00950760301202536,-7.47136073186994E-05,0,0,0,0,-0.002284039,53
0,2,0.3,-0.0196289122104645,-7.35481226001866E-05,0,0,0,0,-0.002284039,53
0,3,0.4,-0.029750220477581,-7.48976308386773E-05,0,0,0,0,-0.002284039,53
0,4,0.5,-0.0395648255944252,-7.72899365983903E-05,0,0,0,0,-0.002284039,53
0,5,0.6,-0.0496861338615417,-8.0111640272662E-05,0,0,0,0,-0.002284039,53
0,6,0.7,-0.0598074421286583,-8.38534542708658E-05,0,0,0,0,-0.002284039,53
0,7,0.8,-0.0696220472455025,-8.76566118677147E-05,0,0,0,0,-0.002284039,53
0,8,0.9,-0.079743355512619,-9.18278165045194E-05,0,0,0,0,-0.002284039,53
0,9,1,-0.0895579606294632,-9.64284117799252E-05,0,0,0,0,-0.002284039,53
0,10,1.1,-0.0996792688965797,-0.000100906327133998,0,0,0,0,-0.002284039,53
0,11,1.2,-0.109493866562843,-0.000105629602330737,0,0,0,0,-0.002284039,53
0,12,1.3,-0.11961518228054,-0.000109616790723521,0,0,0,0,-0.002284039,53
0,13,1.4,-0.129736483097076,-0.000113358604721725,0,0,0,0,-0.002284039,53
0,14,1.5,-0.139551088213921,-0.000116671035357285,0,0,0,0,-0.002284039,53
0,15,1.6,-0.149672403931618,-0.000121026263514068,0,0,0,0,-0.002284039,53
0,16,1.7,-0.159487009048462,-0.000125626858789474,0,0,0,0,-0.002284039,53
0,17,1.8,-0.169608309864998,-0.000130718181026168,0,0,0,0,-0.002284039,53
0,18,1.9,-0.179729625582695,-0.000136729620862752,0,0,0,0,-0.002284039,53
0,19,2,-0.189544230699539,-0.000144151927088387,0,0,0,0,-0.002284039,53
0,20,2.1,-0.199665531516075,-0.000152310312842019,0,0,0,0,-0.002284039,53
0,21,2.2,-0.209480136632919,-0.00016255430819001,0,0,0,0,-0.002284039,53
0,22,2.3,-0.219601452350616,-0.000174822562257759,0,0,0,0,-0.002284039,53
0,23,2.4,-0.229722753167152,-0.000188624340808019,0,0,0,0,-0.002284039,53
0,24,2.5,-0.239537358283997,-0.00020371429855004,0,0,0,0,-0.002284039,53
0,25,2.6,-0.249658674001694,-0.000219601686694659,0,0,0,0,-0.002284039,53
0,26,2.7,-0.259473264217377,-0.000235305051319301,0,0,0,0,-0.002284039,53
0,27,2.8,-0.269594579935074,-0.00024849342298694,0,0,0,0,-0.002284039,53
0,28,2.9,-0.279715895652771,-0.000261559122009203,0,0,0,0,-0.002284039,53
0,29,3,-0.289530485868454,-0.00027217113529332,0,0,0,0,-0.002284039,53
0,30,3.1,-0.299651801586151,-0.000283396599115804,0,0,0,0,-0.002284039,53
0,31,3.2,-0.309466391801834,-0.000291493633994833,0,0,0,0,-0.002284039,53
0,32,3.3,-0.319587707519531,-0.000299713370623067,0,0,0,0,-0.002284039,53
0,33,3.4,-0.329402327537537,-0.000307135662296787,0,0,0,0,-0.002284039,53
0,34,3.5,-0.339523613452911,-0.00031161357765086,0,0,0,0,-0.002284039,53
0,35,3.6,-0.349644929170609,-0.00031787040643394,0,0,0,0,-0.002284039,53
0,36,3.7,-0.359459549188614,-0.0003232070885133,0,0,0,0,-0.002284039,53
0,37,3.8,-0.369580835103989,-0.000329831935232505,0,0,0,0,-0.002284039,53
0,38,3.9,-0.379702150821686,-0.000336947530740872,0,0,0,0,-0.002284039,53
0,39,4,-0.389516770839691,-0.000343143008649349,0,0,0,0,-0.002284039,53
0,40,4.1,-0.399638056755066,-0.00034989052801393,0,0,0,0,-0.002284039,53
0,41,4.2,-0.409452676773071,-0.000354859163053334,0,0,0,0,-0.002284039,53
0,42,4.3,-0.419573992490768,-0.00035731281968765,0,0,0,0,-0.002284039,53
0,43,4.4,-0.429388582706451,-0.000360379897756502,0,0,0,0,-0.002284039,53
0,44,4.5,-0.439509898424149,-0.000359582452801988,0,0,0,0,-0.002284039,53
0,45,4.6,-0.449324488639832,-0.00035964380367659,0,0,0,0,-0.002284039,53
0,46,4.7,-0.459445804357529,-0.000359275756636634,0,0,0,0,-0.002284039,53
0,47,4.8,-0.469567120075226,-0.000358969031367451,0,0,0,0,-0.002284039,53
0,48,4.9,-0.479381710290909,-0.000359459780156612,0,0,0,0,-0.002284039,53
0,49,5,-0.489503026008606,-0.000360870617441833,0,0,0,0,-0.002284039,53
0,50,5.1,-0.499624341726303,-0.000364367064321414,0,0,0,0,-0.002284039,53
0,51,5.2,-0.509438931941986,-0.000364489766070619,0,0,0,0,-0.002284039,53
0,52,5.3,-0.519560217857361,-0.000367802189430222,0,0,0,0,-0.002284039,53
0,53,5.4,-0.529374837875366,-0.000373874965589494,0,0,0,0,-0.002284039,53
0,54,5.5,-0.539496183395386,-0.000375960575183854,0,0,0,0,-0.002284039,53
0,55,5.6,-0.549617469310761,-0.000379211647668853,0,0,0,0,-0.002284039,53
0,56,5.7,-0.559432089328766,-0.000382953468943015,0,0,0,0,-0.002284039,53
0,57,5.8,-0.569553375244141,-0.000395221723010764,0,0,0,0,-0.002284039,53
0,58,5.9,-0.579367995262146,-0.000400190387153998,0,0,0,0,-0.002284039,53
0,59,6,-0.589489281177521,-0.000402153294999152,0,0,0,0,-0.002284039,53
0,60,6.1,-0.59961062669754,-0.00040626316331327,0,0,0,0,-0.002284039,53
0,61,6.2,-0.609425187110901,-0.00041417617467232,0,0,0,0,-0.002284039,53
0,62,6.3,-0.61954653263092,-0.000418960815295577,0,0,0,0,-0.002284039,53
0,63,6.4,-0.629361093044281,-0.000423561403295025,0,0,0,0,-0.002284039,53
0,64,6.5,-0.639482438564301,-0.000429879553848878,0,0,0,0,-0.002284039,53
0,65,6.6,-0.649603724479675,-0.00043619770440273,0,0,0,0,-0.002284039,53
0,66,6.7,-0.659418344497681,-0.000442147807916626,0,0,0,0,-0.002284039,53
0,67,6.8,-0.669539630413055,-0.000448281934950501,0,0,0,0,-0.002284039,53
0,68,6.9,-0.679354250431061,-0.000454661407275125,0,0,0,0,-0.002284039,53
0,69,7,-0.689475536346436,-0.000463003845652565,0,0,0,0,-0.002284039,53
0,70,7.1,-0.699596881866455,-0.000471775623736903,0,0,0,0,-0.002284039,53
0,71,7.2,-0.709411442279816,-0.000479688664199784,0,0,0,0,-0.002284039,53
0,72,7.3,-0.719532787799835,-0.000490852748043835,0,0,0,0,-0.002284039,53
0,73,7.4,-0.729347407817841,-0.000503059651236981,0,0,0,0,-0.002284039,53
0,74,7.5,-0.739468693733215,-0.000529559096321464,0,0,0,0,-0.002284039,53
0,75,7.6,-0.749283313751221,-0.000540600507520139,0,0,0,0,-0.002284039,53
0,76,7.7,-0.759404599666595,-0.000552562065422535,0,0,0,0,-0.002284039,53
0,77,7.8,-0.769219219684601,-0.000565259717404842,0,0,0,0,-0.002284039,53
0,78,7.9,-0.779340505599976,-0.000580840394832194,0,0,0,0,-0.002284039,53
0,79,8,-0.789461851119995,-0.000594642187934369,0,0,0,0,-0.002284039,53
0,80,8.1,-0.799276411533356,-0.000607953232247382,0,0,0,0,-0.002284039,53
0,81,8.2,-0.809397757053375,-0.000622552470304072,0,0,0,0,-0.002284039,53
0,82,8.3,-0.81951904296875,-0.000635986216366291,0,0,0,0,-0.002284039,53
0,83,8.4,-0.829333662986755,-0.00064733432373032,0,0,0,0,-0.002284039,53
0,84,8.5,-0.83945494890213,-0.000659663928672671,0,0,0,0,-0.002284039,53
0,85,8.6,-0.849269568920136,-0.000668374414090067,0,0,0,0,-0.002284039,53
0,86,8.7,-0.85939085483551,-0.000677698291838169,0,0,0,0,-0.002284039,53
0,87,8.8,-0.86951220035553,-0.000685733975842595,0,0,0,0,-0.002284039,53
0,88,8.9,-0.87932676076889,-0.000693462963681668,0,0,0,0,-0.002284039,53
0,89,9,-0.889141380786896,-0.000698983669281006,0,0,0,0,-0.002284039,53
0,90,9.1,-0.899262666702271,-0.000701130658853799,0,0,0,0,-0.002284039,53
0,91,9.2,-0.90938401222229,-0.000698738323990256,0,0,0,0,-0.002284039,53
0,92,9.3,-0.919198632240295,-0.000692788220476359,0,0,0,0,-0.002284039,53
0,93,9.4,-0.92931991815567,-0.000687022169586271,0,0,0,0,-0.002284039,53
0,94,9.5,-0.939441204071045,-0.000677084841299802,0,0,0,0,-0.002284039,53
0,95,9.6,-0.94925582408905,-0.000671993533615023,0,0,0,0,-0.002284039,53
0,96,9.7,-0.959377110004425,-0.000669233151711524,0,0,0,0,-0.002284039,53
0,97,9.8,-0.969498455524445,-0.000668251712340862,0,0,0,0,-0.002284039,53
0,98,9.9,-0.97931307554245,-0.00066868111025542,0,0,0,0,-0.002284039,53
0,99,10,-0.989434361457825,-0.000665798084810376,0,0,0,0,-0.002284039,53
0,100,10.1,-0.99924898147583,-0.000661749567370862,0,0,0,0,-0.002284039,53
0,101,10.2,-1.00937032699585,-0.000655186013318598,0,0,0,0,-0.002284039,53
0,102,10.3,-1.01949155330658,-0.000649174558930099,0,0,0,0,-0.002284039,53
0,103,10.4,-1.02930617332459,-0.000642733764834702,0,0,0,0,-0.002284039,53
0,104,10.5,-1.0394275188446,-0.000636170210782439,0,0,0,0,-0.002284039,53
0,105,10.6,-1.04924213886261,-0.000630956201348454,0,0,0,0,-0.002284039,53
0,106,10.7,-1.05936336517334,-0.000625374144874513,0,0,0,0,-0.002284039,53
0,107,10.8,-1.06917798519135,-0.00062089622952044,0,0,0,0,-0.002284039,53
0,108,10.9,-1.07929933071136,-0.000616909062955529,0,0,0,0,-0.002284039,53
0,109,11,-1.08942067623138,-0.000613780692219734,0,0,0,0,-0.002284039,53
0,110,11.1,-1.0992351770401,-0.00060997752007097,0,0,0,0,-0.002284039,53
0,111,11.2,-1.10935652256012,-0.000606849091127515,0,0,0,0,-0.002284039,53
0,112,11.3,-1.11947786808014,-0.000603536667767912,0,0,0,0,-0.002284039,53
0,113,11.4,-1.12929248809814,-0.000600040249992162,0,0,0,0,-0.002284039,53
0,114,11.5,-1.13941371440887,-0.000595623627305031,0,0,0,0,-0.002284039,53
0,115,11.6,-1.14922833442688,-0.000591391115449369,0,0,0,0,-0.002284039,53
0,116,11.7,-1.1593496799469,-0.000587035901844502,0,0,0,0,-0.002284039,53
0,117,11.8,-1.16947102546692,-0.000582926033530384,0,0,0,0,-0.002284039,53
0,118,11.9,-1.17928552627563,-0.000578448118176311,0,0,0,0,-0.002284039,53
0,119,12,-1.18910014629364,-0.000574215548112988,0,0,0,0,-0.002284039,53
0,120,12.1,-1.19922149181366,-0.000571455166209489,0,0,0,0,-0.002284039,53
0,121,12.2,-1.20934283733368,-0.000569124240428209,0,0,0,0,-0.002284039,53
0,122,12.3,-1.21915745735168,-0.000569860334508121,0,0,0,0,-0.002284039,53
0,123,12.4,-1.22927868366241,-0.000571884564124048,0,0,0,0,-0.002284039,53
0,124,12.5,-1.23909330368042,-0.00057936820667237,0,0,0,0,-0.002284039,53
0,125,12.6,-1.24921464920044,-0.000581453845370561,0,0,0,0,-0.002284039,53
0,126,12.7,-1.25933599472046,-0.000587281247135252,0,0,0,0,-0.002284039,53
0,127,12.8,-1.26915049552917,-0.000590593670494854,0,0,0,0,-0.002284039,53
0,128,12.9,-1.27927184104919,-0.000591943156905472,0,0,0,0,-0.002284039,53
0,129,13,-1.28939318656921,-0.000596237077843398,0,0,0,0,-0.002284039,53
0,130,13.1,-1.29920780658722,-0.000594826240558177,0,0,0,0,-0.002284039,53
0,131,13.2,-1.30932903289795,-0.00059421279001981,0,0,0,0,-0.002284039,53
0,132,13.3,-1.31914365291595,-0.000596727768424898,0,0,0,0,-0.002284039,53
0,133,13.4,-1.32926499843597,-0.000600776344072074,0,0,0,0,-0.002284039,53
0,134,13.5,-1.33938634395599,-0.000608566682785749,0,0,0,0,-0.002284039,53
0,135,13.6,-1.34920084476471,-0.00061856530373916,0,0,0,0,-0.002284039,53
0,136,13.7,-1.35932219028473,-0.000631753646302968,0,0,0,0,-0.002284039,53
0,137,13.8,-1.36944353580475,-0.000649113266263157,0,0,0,0,-0.002284039,53
0,138,13.9,-1.37925815582275,-0.000667208922095597,0,0,0,0,-0.002284039,53
0,139,14,-1.38907277584076,-0.000687635561916977,0,0,0,0,-0.002284039,53
0,140,14.1,-1.39919400215149,-0.000709534389898181,0,0,0,0,-0.002284039,53
0,141,14.2,-1.40931534767151,-0.000732966756913811,0,0,0,0,-0.002284039,53
0,142,14.3,-1.41912996768951,-0.000758546055294573,0,0,0,0,-0.002284039,53
0,143,14.4,-1.42925119400024,-0.000786149641498923,0,0,0,0,-0.002284039,53
0,144,14.5,-1.43906581401825,-0.00081602280260995,0,0,0,0,-0.002284039,53
0,145,14.6,-1.44918715953827,-0.000847000163048506,0,0,0,0,-0.002284039,53
0,146,14.7,-1.45930850505829,-0.00088190333917737,0,0,0,0,-0.002284039,53
0,147,14.8,-1.46912312507629,-0.000919444195460528,0,0,0,0,-0.002284039,53
0,148,14.9,-1.47924435138702,-0.000956494361162186,0,0,0,0,-0.002284039,53
0,149,15,-1.48905897140503,-0.000996182090602815,0,0,0,0,-0.002284039,53
0,150,15.1,-1.49918031692505,-0.0010380782186985,0,0,0,0,-0.002284039,53
0,151,15.2,-1.50899493694305,-0.00108359346631914,0,0,0,0,-0.002284039,53
0,152,15.3,-1.51911616325378,-0.00112824991811067,0,0,0,0,-0.002284039,53
0,153,15.4,-1.5292375087738,-0.00117744563613087,0,0,0,0,-0.002284039,53
0,154,15.5,-1.53905212879181,-0.00122780678793788,0,0,0,0,-0.002284039,53
