Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.3,0.000307000009343028,0,0,0,0,0,-0.002284039,39
0,1,0.6,-0.0150283174589276,-6.13412703387439E-05,0,0,0,0,-0.002284039,39
0,2,0.9,-0.0300569273531437,-6.13412703387439E-05,0,0,0,0,-0.002284039,39
0,3,1.2,-0.0447788313031197,-6.13412703387439E-05,0,0,0,0,-0.002284039,39
0,4,1.5,-0.060114149004221,-6.13412703387439E-05,0,0,0,0,-0.002284039,39
0,5,1.8,-0.0751427561044693,-6.13412703387439E-05,0,0,0,0,-0.002284039,39
0,6,2.1,-0.0901713669300079,-6.13412703387439E-05,0,0,0,0,-0.002284039,39
0,7,2.4,-0.105199977755547,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,8,2.7,-0.120228588581085,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,9,3,-0.135257199406624,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,10,3.3,-0.150285810232162,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,11,3.6,-0.165314421057701,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,12,3.9,-0.18034303188324,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,13,4.2,-0.195371642708778,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,14,4.5,-0.210400253534317,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,15,4.8,-0.225428864359856,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,16,5.1,-0.240457475185394,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,17,5.4,-0.255486100912094,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,18,5.7,-0.270514696836472,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,19,6,-0.285543322563171,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,20,6.3,-0.300571918487549,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,21,6.6,-0.315600544214249,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,22,6.9,-0.330629140138626,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,23,7.2,-0.345657765865326,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,24,7.5,-0.360686361789703,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,25,7.8,-0.375714987516403,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,26,8.1,-0.390743583440781,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,27,8.4,-0.40577220916748,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,28,8.7,-0.420800805091858,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,29,9,-0.435829401016235,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,30,9.3,-0.451164722442627,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,31,9.6,-0.466193348169327,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,32,9.9,-0.481221944093704,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,33,10.2,-0.49594384431839,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,34,10.5,-0.511279165744781,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,35,10.8,-0.526307761669159,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,36,11.1,-0.541336417198181,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,37,11.4,-0.556365013122559,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,38,11.7,-0.571393609046936,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,39,12,-0.586422204971313,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,40,12.3,-0.601450860500336,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,41,12.6,-0.616479456424713,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,42,12.9,-0.631508052349091,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,43,13.2,-0.646536648273468,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,44,13.5,-0.66156530380249,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,45,13.8,-0.676593899726868,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,46,14.1,-0.691622495651245,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,47,14.4,-0.706651091575623,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,48,14.7,-0.721679747104645,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,49,15,-0.736708343029022,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,50,15.3,-0.7517369389534,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,51,15.6,-0.766765534877777,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,52,15.9,-0.781794190406799,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,53,16.2,-0.796822786331177,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,54,16.5,-0.811851382255554,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,55,16.8,-0.826879978179932,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,56,17.1,-0.841908633708954,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,57,17.4,-0.856937229633331,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,58,17.7,-0.871965825557709,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,59,18,-0.886994421482086,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,60,18.3,-0.902023077011108,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,61,18.6,-0.9173583984375,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,62,18.9,-0.932080268859863,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,63,19.2,-0.947108864784241,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,64,19.5,-0.962444186210632,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,65,19.8,-0.977472841739655,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,66,20.1,-0.992501437664032,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,67,20.4,-1.00753009319305,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,68,20.7,-1.02255868911743,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,69,21,-1.03758728504181,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,70,21.3,-1.05261588096619,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,71,21.6,-1.06764447689056,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,72,21.9,-1.08267307281494,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,73,22.2,-1.09770166873932,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,74,22.5,-1.1127302646637,-0.000981460325419903,0,0,0,0,-0.002284039,39
0,75,22.8,-1.12775886058807,-0.00104280153755099,0,0,0,0,-0.002284039,39
0,76,23.1,-1.14278757572174,-0.00104280153755099,0,0,0,0,-0.002284039,39
0,77,23.4,-1.15781617164612,-0.00110414286609739,0,0,0,0,-0.002284039,39
0,78,23.7,-1.1728447675705,-0.00116548407822847,0,0,0,0,-0.002284039,39
0,79,24,-1.18787336349487,-0.00116548407822847,0,0,0,0,-0.002284039,39
0,80,24.3,-1.20290195941925,-0.00122682540677488,0,0,0,0,-0.002284039,39
0,81,24.6,-1.21793055534363,-0.00134950794745237,0,0,0,0,-0.002284039,39
0,82,24.9,-1.23295915126801,-0.00141084915958345,0,0,0,0,-0.002284039,39
0,83,25.2,-1.24798774719238,-0.00147219048812985,0,0,0,0,-0.002284039,39
0,84,25.5,-1.26301646232605,-0.00153353170026094,0,0,0,0,-0.002284039,39
0,85,25.8,-1.27804505825043,-0.00159487291239202,0,0,0,0,-0.002284039,39
0,86,26.1,-1.2930736541748,-0.00171755545306951,0,0,0,0,-0.002284039,39
0,87,26.4,-1.30810225009918,-0.00177889678161591,0,0,0,0,-0.002284039,39
0,88,26.7,-1.32313084602356,-0.001840237993747,0,0,0,0,-0.002284039,39
0,89,27,-1.33815944194794,-0.00196292065083981,0,0,0,0,-0.002284039,39
0,90,27.3,-1.35318803787231,-0.00208560307510197,0,0,0,0,-0.002284039,39
0,91,27.6,-1.36821663379669,-0.00214694440364838,0,0,0,0,-0.002284039,39
0,92,27.9,-1.38324534893036,-0.00226962682791054,0,0,0,0,-0.002284039,39
0,93,28.2,-1.39827394485474,-0.00233096815645695,0,0,0,0,-0.002284039,39
0,94,28.5,-1.41360926628113,-0.00245365081354976,0,0,0,0,-0.002284039,39
0,95,28.8,-1.42833113670349,-0.00429388880729675,0,0,0,0,-0.002284039,39
0,96,29.1,-1.44335973262787,-0.00693156337365508,0,0,0,0,-0.002284039,39
0,97,29.4,-1.45838832855225,-0.00969192013144493,0,0,0,0,-0.002284039,39
0,98,29.7,-1.47341692447662,-0.0125749595463276,0,0,0,0,-0.002284039,39
0,99,30,-1.48875224590302,-0.0155806820839643,0,0,0,0,-0.002284039,39
0,100,30.3,-1.50347423553467,-0.0187090858817101,0,0,0,0,-0.002284039,39
