Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.031,-0.00306706340052187,0.00610959017649293,0,0,0,0,-0.002284039,38
0,1,0.062,-0.00368047598749399,0.00463187927380204,0,0,0,0,-0.002284039,38
0,2,0.093,-0.00490730162709951,0.00365041894838214,0,0,0,0,-0.002284039,38
0,3,0.124,-0.00674753962084651,0.00298486603423953,0,0,0,0,-0.002284039,38
0,4,0.155,-0.00858777761459351,0.00252296635881066,0,0,0,0,-0.002284039,38
0,5,0.186,-0.00981460325419903,0.00220276485197246,0,0,0,0,-0.002284039,38
0,6,0.217,-0.0116548407822847,0.00196721451357007,0,0,0,0,-0.002284039,38
0,7,0.248,-0.0128816664218903,0.00179913942702115,0,0,0,0,-0.002284039,38
0,8,0.279,-0.0144151980057359,0.00168627151288092,0,0,0,0,-0.002284039,38
0,9,0.31,-0.0159487295895815,0.0015930327353999,0,0,0,0,-0.002284039,38
0,10,0.341,-0.0174822621047497,0.00151512934826314,0,0,0,0,-0.002284039,38
0,11,0.372,-0.0190157927572727,0.001469123410061,0,0,0,0,-0.002284039,38
0,12,0.403,-0.0205493252724409,0.00142005039379001,0,0,0,0,-0.002284039,38
0,13,0.434,-0.022082855924964,0.00138508586678654,0,0,0,0,-0.002284039,38
0,14,0.465,-0.0236163884401321,0.00134202430490404,0,0,0,0,-0.002284039,38
0,15,0.496,-0.0251499190926552,0.00130822521168739,0,0,0,0,-0.002284039,38
0,16,0.527,-0.026990158483386,0.00129920803010464,0,0,0,0,-0.002284039,38
0,17,0.558,-0.0279102772474289,0.00126522500067949,0,0,0,0,-0.002284039,38
0,18,0.589,-0.0297505147755146,0.00125700526405126,0,0,0,0,-0.002284039,38
0,19,0.62,-0.0312840454280376,0.0012402591528371,0,0,0,0,-0.002284039,38
0,20,0.651,-0.0331242829561234,0.00122731609735638,0,0,0,0,-0.002284039,38
0,21,0.682,-0.034351110458374,0.00119744287803769,0,0,0,0,-0.002284039,38
0,22,0.713,-0.0358846411108971,0.00118977518286556,0,0,0,0,-0.002284039,38
0,23,0.744,-0.0374181717634201,0.00117088214028627,0,0,0,0,-0.002284039,38
0,24,0.775,-0.0386449992656708,0.00116002466529608,0,0,0,0,-0.002284039,38
0,25,0.806,-0.0407919436693192,0.00114830851089209,0,0,0,0,-0.002284039,38
0,26,0.837,-0.0423254743218422,0.00113554950803518,0,0,0,0,-0.002284039,38
0,27,0.868,-0.0441657118499279,0.0011413770262152,0,0,0,0,-0.002284039,38
0,28,0.899,-0.0460059493780136,0.00111592037137598,0,0,0,0,-0.002284039,38
0,29,0.93,-0.0463126562535763,0.0011053696507588,0,0,0,0,-0.002284039,38
0,30,0.961,-0.0484596006572247,0.001086660544388,0,0,0,0,-0.002284039,38
0,31,0.992,-0.049993135035038,0.00107623252552003,0,0,0,0,-0.002284039,38
0,32,1.023,-0.051526665687561,0.00105549918953329,0,0,0,0,-0.002284039,38
0,33,1.054,-0.0530601963400841,0.00105537648778409,0,0,0,0,-0.002284039,38
0,34,1.085,-0.0545937269926071,0.00105071463622153,0,0,0,0,-0.002284039,38
0,35,1.116,-0.0564339682459831,0.00103445909917355,0,0,0,0,-0.002284039,38
0,36,1.147,-0.0573540851473808,0.0010245218873024,0,0,0,0,-0.002284039,38
0,37,1.178,-0.0595010295510292,0.00101752893533558,0,0,0,0,-0.002284039,38
0,38,1.209,-0.0610345602035522,0.00100464723072946,0,0,0,0,-0.002284039,38
0,39,1.24,-0.0622613877058029,0.00100673292763531,0,0,0,0,-0.002284039,38
0,40,1.271,-0.0634882152080536,0.000991274835541844,0,0,0,0,-0.002284039,38
0,41,1.302,-0.0650217458605766,0.00098096951842308,0,0,0,0,-0.002284039,38
0,42,1.333,-0.066861979663372,0.000963732658419758,0,0,0,0,-0.002284039,38
0,43,1.364,-0.0683955103158951,0.000952507194597274,0,0,0,0,-0.002284039,38
