Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.05,-0.213774025440216,-3.09772804030217E-05,0,0,0,0,-0.002284039,50
0,1,0.1,-0.180956453084946,-5.33663160240394E-06,0,0,0,0,-0.002284039,50
0,2,0.15,-0.238310530781746,-2.43524245888693E-05,0,0,0,0,-0.002284039,50
0,3,0.2,-0.180036321282387,6.13471399901755E-07,0,0,0,0,-0.002284039,50
0,4,0.25,-0.224508747458458,-2.42910828092135E-05,0,0,0,0,-0.002284039,50
0,5,0.3,-0.175435736775398,6.07284437137423E-06,0,0,0,0,-0.002284039,50
0,6,0.35,-0.264073878526688,-2.96891157631762E-05,0,0,0,0,-0.002284039,50
0,7,0.4,-0.18862409889698,-5.58199644729029E-06,0,0,0,0,-0.002284039,50
0,8,0.45,-0.25395256280899,-1.94451240531635E-05,0,0,0,0,-0.002284039,50
0,9,0.5,-0.196905180811882,2.63773335973383E-06,0,0,0,0,-0.002284039,50
0,10,0.55,-0.230029463768005,-1.32496552396333E-05,0,0,0,0,-0.002284039,50
0,11,0.6,-0.18156985938549,-4.60053615825018E-06,0,0,0,0,-0.002284039,50
0,12,0.65,-0.230949580669403,-1.60713534569368E-05,0,0,0,0,-0.002284039,50
0,13,0.7,-0.185250341892242,2.51505070991698E-06,0,0,0,0,-0.002284039,50
0,14,0.75,-0.228802636265755,-2.93824086838868E-05,0,0,0,0,-0.002284039,50
0,15,0.8,-0.200892359018326,4.84601878270041E-06,0,0,0,0,-0.002284039,50
0,16,0.85,-0.231562986969948,-1.85863445949508E-05,0,0,0,0,-0.002284039,50
0,17,0.9,-0.195678353309631,3.06765059576719E-07,0,0,0,0,-0.002284039,50
0,18,0.95,-0.230336174368858,-2.38616939896019E-05,0,0,0,0,-0.002284039,50
0,19,1,-0.218067914247513,3.68053474630869E-06,0,0,0,0,-0.002284039,50
0,20,1.05,-0.245671480894089,-2.01198763534194E-05,0,0,0,0,-0.002284039,50
0,21,1.1,-0.208866730332375,1.53359042087686E-06,0,0,0,0,-0.002284039,50
0,22,1.15,-0.244444653391838,-2.42910828092135E-05,0,0,0,0,-0.002284039,50
0,23,1.2,-0.195371642708778,9.20177740226791E-07,0,0,0,0,-0.002284039,50
0,24,1.25,-0.244444653391838,-1.93224404938519E-05,0,0,0,0,-0.002284039,50
0,25,1.3,-0.199665531516075,-8.28101201477693E-06,0,0,0,0,-0.002284039,50
0,26,1.35,-0.230949580669403,-1.4599163478124E-05,0,0,0,0,-0.002284039,50
0,27,1.4,-0.21530756354332,2.3923682874738E-06,0,0,0,0,-0.002284039,50
0,28,1.45,-0.259779989719391,-2.65607104665833E-05,0,0,0,0,-0.002284039,50
0,29,1.5,-0.200892359018326,-1.22623802667476E-07,0,0,0,0,-0.002284039,50
0,30,1.55,-0.233403235673904,-2.570193282736E-05,0,0,0,0,-0.002284039,50
0,31,1.6,-0.213774025440216,5.09138408233412E-06,0,0,0,0,-0.002284039,50
0,32,1.65,-0.256406217813492,-3.61912898370065E-05,0,0,0,0,-0.002284039,50
0,33,1.7,-0.196905180811882,6.44089186607744E-06,0,0,0,0,-0.002284039,50
0,34,1.75,-0.256099492311478,-2.07332905119983E-05,0,0,0,0,-0.002284039,50
0,35,1.8,-0.204572841525078,5.82747907174053E-06,0,0,0,0,-0.002284039,50
0,36,1.85,-0.263153731822968,-2.51498604484368E-05,0,0,0,0,-0.002284039,50
0,37,1.9,-0.218681320548058,4.90736010760884E-06,0,0,0,0,-0.002284039,50
0,38,1.95,-0.262847036123276,-1.9138416973874E-05,0,0,0,0,-0.002284039,50
0,39,2,-0.226042285561562,5.88882039664895E-06,0,0,0,0,-0.002284039,50
0,40,2.05,-0.251498907804489,-2.94437504635425E-05,0,0,0,0,-0.002284039,50
0,41,2.1,-0.205799654126167,9.93734374787891E-06,0,0,0,0,-0.002284039,50
0,42,2.15,-0.252419024705887,-2.74194881058065E-05,0,0,0,0,-0.002284039,50
0,43,2.2,-0.214387431740761,2.82175710708543E-06,0,0,0,0,-0.002284039,50
0,44,2.25,-0.241377592086792,-2.30642581300344E-05,0,0,0,0,-0.002284039,50
0,45,2.3,-0.218681320548058,5.52077290194575E-06,0,0,0,0,-0.002284039,50
0,46,2.35,-0.269287884235382,-1.75435434357496E-05,0,0,0,0,-0.002284039,50
