Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.016667,-0.236470296978951,0.00201009213924408,0,0,0,0,-0.002284039,50
0,1,0.033334,-0.175129026174545,0.00201009213924408,0,0,0,0,-0.002284039,50
0,2,0.050001,-0.0693153366446495,0.00201009213924408,0,0,0,0,-0.002284039,50
0,3,0.066668,-0.0104277217760682,0.00201009213924408,0,0,0,0,-0.002284039,50
0,4,0.083335,-0.011041134595871,0.00201009213924408,0,0,0,0,-0.002284039,50
0,5,0.100002,-0.00306676980108023,0.00201009213924408,0,0,0,0,-0.002284039,50
0,6,0.116669,0.0202429126948118,0.00201009213924408,0,0,0,0,-0.002284039,50
0,7,0.133336,-0.0266831573098898,0.00201009213924408,0,0,0,0,-0.002284039,50
0,8,0.150003,-0.0187087934464216,0.00201009213924408,0,0,0,0,-0.002284039,50
0,9,0.16667,-0.00398688856512308,0.00201009213924408,0,0,0,0,-0.002284039,50
0,10,0.183337,-0.00736065860837698,0.00201009213924408,0,0,0,0,-0.002284039,50
0,11,0.200004,0.0033740634098649,0.00201009213924408,0,0,0,0,-0.002284039,50
0,12,0.216671,-0.0165618490427732,0.00201009213924408,0,0,0,0,-0.002284039,50
0,13,0.233338,-0.00736065860837698,0.00201009213924408,0,0,0,0,-0.002284039,50
0,14,0.250005,-0.0156417302787304,0.00201009213924408,0,0,0,0,-0.002284039,50
0,15,0.266672,-0.0199356190860271,0.00201009213924408,0,0,0,0,-0.002284039,50
0,16,0.283339,-0.0254563316702843,0.00201009213924408,0,0,0,0,-0.002284039,50
0,17,0.300006,-0.0193222053349018,0.00201009213924408,0,0,0,0,-0.002284039,50
0,18,0.316673,-0.0233093872666359,0.00201009213924408,0,0,0,0,-0.002284039,50
0,19,0.33334,-0.00306676980108023,0.00201009213924408,0,0,0,0,-0.002284039,50
0,20,0.350007,-0.0190155003219843,0.00201009213924408,0,0,0,0,-0.002284039,50
0,21,0.366674,-0.0233093872666359,0.00201009213924408,0,0,0,0,-0.002284039,50
