Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,1,0.000307000009343028,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,1,2,-0.0493794269859791,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,2,3,-0.0993725582957268,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,3,4,-0.149365693330765,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,4,5,-0.199358820915222,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,5,6,-0.249351963400841,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,6,7,-0.299038380384445,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,7,8,-0.349338233470917,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,8,9,-0.399024665355682,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,9,10,-0.44901779294014,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,10,11,-0.499010920524597,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,11,12,-0.549004077911377,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,12,13,-0.598997175693512,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,13,14,-0.648990333080292,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,14,15,-0.698983430862427,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,15,16,-0.748976588249207,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,16,17,-0.798969745635986,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,17,18,-0.848962843418121,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,18,19,-0.898649275302887,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,19,20,-0.948642432689667,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,20,21,-0.998635530471802,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,21,22,-1.0489354133606,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,22,23,-1.09862184524536,-0.000981460325419903,0,0,0,0,-0.002284039,39
0,23,24,-1.14861500263214,-0.00104280153755099,0,0,0,0,-0.002284039,39
0,24,25,-1.19860804080963,-0.00122682540677488,0,0,0,0,-0.002284039,39
0,25,26,-1.24860119819641,-0.00141084915958345,0,0,0,0,-0.002284039,39
0,26,27,-1.29859435558319,-0.00165621424093843,0,0,0,0,-0.002284039,39
0,27,28,-1.34858751296997,-0.00196292065083981,0,0,0,0,-0.002284039,39
0,28,29,-1.39858067035675,-0.00220828573219478,0,0,0,0,-0.002284039,39
0,29,30,-1.44857370853424,-0.00257633323781192,0,0,0,0,-0.002284039,39
0,30,31,-1.49856686592102,-0.00306706340052187,0,0,0,0,-0.002284039,39
0,31,32,-1.54825329780579,-0.0037418173160404,0,0,0,0,-0.002284039,39
0,32,33,-1.59855318069458,-0.0252112615853548,0,0,0,0,-0.002284039,39
0,33,34,-1.64823961257935,-0.0503611825406551,0,0,0,0,-0.002284039,39
0,34,35,-1.69823276996613,-0.0720146521925926,0,0,0,0,-0.002284039,39
0,35,36,-1.74822580814362,-0.0947109162807465,0,0,0,0,-0.002284039,39
0,36,37,-1.7982189655304,-0.0973485931754112,0,0,0,0,-0.002284039,39
0,37,38,-1.84821212291718,-0.0989434644579887,0,0,0,0,-0.002284039,39
0,38,39,-1.89789855480194,-0.0859391167759895,0,0,0,0,-0.002284039,39
0,39,40,-1.94789171218872,-0.0863071605563164,0,0,0,0,-0.002284039,39
0,40,41,-1.99788475036621,-0.0885767936706543,0,0,0,0,-0.002284039,39
1,41,42,-1.94819843769073,-0.0864911898970604,0,0,0,0,-0.002284039,39
1,42,43,-1.89820528030396,-0.0684568583965302,0,0,0,0,-0.002284039,39
1,43,44,-1.84821212291718,-0.0719533041119576,0,0,0,0,-0.002284039,39
1,44,45,-1.79852569103241,-0.0760018303990364,0,0,0,0,-0.002284039,39
1,45,46,-1.74822580814362,-0.0772286579012871,0,0,0,0,-0.002284039,39
1,46,47,-1.69853937625885,-0.060175783932209,0,0,0,0,-0.002284039,39
1,47,48,-1.64854633808136,-0.0407306030392647,0,0,0,0,-0.002284039,39
1,48,49,-1.59855318069458,-0.0190771352499723,0,0,0,0,-0.002284039,39
1,49,50,-1.5485600233078,0.0038031586445868,0,0,0,0,-0.002284039,39
1,50,51,-1.49856686592102,0.027112839743495,0,0,0,0,-0.002284039,39
1,51,52,-1.44888043403625,0.0506678856909275,0,0,0,0,-0.002284039,39
1,52,53,-1.39888727664948,0.0745909810066223,0,0,0,0,-0.002284039,39
1,53,54,-1.34889423847198,0.0986367613077164,0,0,0,0,-0.002284039,39
1,54,55,-1.29890108108521,0.122743874788284,0,0,0,0,-0.002284039,39
1,55,56,-1.24890792369843,0.143661245703697,0,0,0,0,-0.002284039,39
1,56,57,-1.19891476631165,0.12525886297226,0,0,0,0,-0.002284039,39
1,57,58,-1.14892160892487,0.142127722501755,0,0,0,0,-0.002284039,39
1,58,59,-1.0992351770401,0.160039365291595,0,0,0,0,-0.002284039,39
1,59,60,-1.0489354133606,0.00251499190926552,0,0,0,0,-0.002284039,39
1,60,61,-0.998942255973816,0.000429388863267377,0,0,0,0,-0.002284039,39
1,61,62,-0.948949098587036,0.00030670635169372,0,0,0,0,-0.002284039,39
1,62,63,-0.898956000804901,0.000368047622032464,0,0,0,0,-0.002284039,39
1,63,64,-0.848962843418121,0.000368047622032464,0,0,0,0,-0.002284039,39
1,64,65,-0.798969745635986,0.00030670635169372,0,0,0,0,-0.002284039,39
1,65,66,-0.749283313751221,0.000184023811016232,0,0,0,0,-0.002284039,39
1,66,67,-0.699290156364441,0.000122682540677488,0,0,0,0,-0.002284039,39
1,67,68,-0.649296998977661,0,0,0,0,0,-0.002284039,39
1,68,69,-0.598997175693512,-0.000122682540677488,0,0,0,0,-0.002284039,39
1,69,70,-0.549310743808746,-0.000122682540677488,0,0,0,0,-0.002284039,39
1,70,71,-0.499317616224289,-0.000122682540677488,0,0,0,0,-0.002284039,39
1,71,72,-0.449324488639832,-6.13412703387439E-05,0,0,0,0,-0.002284039,39
1,72,73,-0.399331361055374,-6.13412703387439E-05,0,0,0,0,-0.002284039,39
1,73,74,-0.349644929170609,-6.13412703387439E-05,0,0,0,0,-0.002284039,39
1,74,75,-0.299345105886459,0,0,0,0,0,-0.002284039,39
1,75,76,-0.249351963400841,0,0,0,0,0,-0.002284039,39
1,76,77,-0.199358820915222,0,0,0,0,0,-0.002284039,39
1,77,78,-0.149365693330765,6.13412703387439E-05,0,0,0,0,-0.002284039,39
1,78,79,-0.0996792688965797,0.000122682540677488,0,0,0,0,-0.002284039,39
1,79,80,-0.0496861338615417,0.000245365081354976,0,0,0,0,-0.002284039,39
1,80,81,0.000307000009343028,0.000245365081354976,0,0,0,0,-0.002284039,39
1,81,82,0.0499934256076813,0.000490730162709951,0,0,0,0,-0.002284039,39
1,82,83,0.0999865606427193,0.00030670635169372,0,0,0,0,-0.002284039,39
1,83,84,0.149979695677757,0.000368047622032464,0,0,0,0,-0.002284039,39
1,84,85,0.199972823262215,0.000613412703387439,0,0,0,0,-0.002284039,39
1,85,86,0.249965965747833,0.00134950794745237,0,0,0,0,-0.002284039,39
1,86,87,0.299959093332291,0.000981460325419903,0,0,0,0,-0.002284039,39
1,87,88,0.349952220916748,0.00141084915958345,0,0,0,0,-0.002284039,39
1,88,89,0.399945348501205,0.00141084915958345,0,0,0,0,-0.002284039,39
1,89,90,0.449938505887985,0.00141084915958345,0,0,0,0,-0.002284039,39
1,90,91,0.499931633472443,0.00147219048812985,0,0,0,0,-0.002284039,39
1,91,92,0.549618065357208,0.00165621424093843,0,0,0,0,-0.002284039,39
1,92,93,0.599611163139343,0.00208560307510197,0,0,0,0,-0.002284039,39
1,93,94,0.649604320526123,0.00325108715333045,0,0,0,0,-0.002284039,39
1,94,95,0.699597477912903,0.0047846189700067,0,0,0,0,-0.002284039,39
1,95,96,0.749590575695038,0.00552071398124099,0,0,0,0,-0.002284039,39
1,96,97,0.799583733081818,0.0056433966383338,0,0,0,0,-0.002284039,39
1,97,98,0.849576830863953,0.00595010304823518,0,0,0,0,-0.002284039,39
1,98,99,0.899569988250732,0.00656351586803794,0,0,0,0,-0.002284039,39
1,99,100,0.949563145637512,0.00736095197498798,0,0,0,0,-0.002284039,39
1,100,101,0.999249577522278,0.00815838854759932,0,0,0,0,-0.002284039,39
2,101,102,0.949563145637512,0.00871045980602503,0,0,0,0,-0.002284039,39
2,102,103,0.899569988250732,0.00723826978355646,0,0,0,0,-0.002284039,39
2,103,104,0.849576830863953,0.0056433966383338,0,0,0,0,-0.002284039,39
2,104,105,0.799583733081818,0.00404852349311113,0,0,0,0,-0.002284039,39
2,105,106,0.749590575695038,0.00257633323781192,0,0,0,0,-0.002284039,39
2,106,107,0.699597477912903,0.00116548407822847,0,0,0,0,-0.002284039,39
2,107,108,0.649604320526123,-0.00030670635169372,0,0,0,0,-0.002284039,39
2,108,109,0.599611163139343,-0.00128816661890596,0,0,0,0,-0.002284039,39
2,109,110,0.549618065357208,-0.00147219048812985,0,0,0,0,-0.002284039,39
2,110,111,0.499931633472443,-0.00128816661890596,0,0,0,0,-0.002284039,39
2,111,112,0.449938505887985,-0.00104280153755099,0,0,0,0,-0.002284039,39
2,112,113,0.399945348501205,-0.000920118996873498,0,0,0,0,-0.002284039,39
2,113,114,0.349952220916748,-0.000858777726534754,0,0,0,0,-0.002284039,39
2,114,115,0.299959093332291,-0.000736095244064927,0,0,0,0,-0.002284039,39
2,115,116,0.249965965747833,-0.000613412703387439,0,0,0,0,-0.002284039,39
2,116,117,0.199972823262215,-0.000490730162709951,0,0,0,0,-0.002284039,39
2,117,118,0.149979695677757,-0.000490730162709951,0,0,0,0,-0.002284039,39
2,118,119,0.0999865606427193,-0.000429388863267377,0,0,0,0,-0.002284039,39
2,119,120,0.0499934256076813,-0.000429388863267377,0,0,0,0,-0.002284039,39
2,120,121,0.000307000009343028,-0.000490730162709951,0,0,0,0,-0.002284039,39
2,121,122,-0.0496861338615417,-0.000490730162709951,0,0,0,0,-0.002284039,39
2,122,123,-0.0996792688965797,-0.000490730162709951,0,0,0,0,-0.002284039,39
2,123,124,-0.149365693330765,-0.000490730162709951,0,0,0,0,-0.002284039,39
2,124,125,-0.199358820915222,-0.000552071433048695,0,0,0,0,-0.002284039,39
2,125,126,-0.249351963400841,-0.000552071433048695,0,0,0,0,-0.002284039,39
2,126,127,-0.299345105886459,-0.000552071433048695,0,0,0,0,-0.002284039,39
2,127,128,-0.349338233470917,-0.000674753973726183,0,0,0,0,-0.002284039,39
2,128,129,-0.399331361055374,-0.000736095244064927,0,0,0,0,-0.002284039,39
2,129,130,-0.449324488639832,-0.00079743645619601,0,0,0,0,-0.002284039,39
2,130,131,-0.499317616224289,-0.000858777726534754,0,0,0,0,-0.002284039,39
2,131,132,-0.549310743808746,-0.000981460325419903,0,0,0,0,-0.002284039,39
2,132,133,-0.599303901195526,-0.00104280153755099,0,0,0,0,-0.002284039,39
2,133,134,-0.649296998977661,-0.00110414286609739,0,0,0,0,-0.002284039,39
2,134,135,-0.699290156364441,-0.00116548407822847,0,0,0,0,-0.002284039,39
2,135,136,-0.749283313751221,-0.00122682540677488,0,0,0,0,-0.002284039,39
2,136,137,-0.799276411533356,-0.00134950794745237,0,0,0,0,-0.002284039,39
2,137,138,-0.848962843418121,-0.00141084915958345,0,0,0,0,-0.002284039,39
2,138,139,-0.899262666702271,-0.00153353170026094,0,0,0,0,-0.002284039,39
2,139,140,-0.948949098587036,-0.00159487291239202,0,0,0,0,-0.002284039,39
2,140,141,-0.998942255973816,-0.001840237993747,0,0,0,0,-0.002284039,39
