Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.5,0.000307000009343028,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,1,1,-0.0493794269859791,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,2,1.5,-0.0993725582957268,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,3,2,-0.149365693330765,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,4,2.5,-0.199358820915222,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,5,3,-0.249351963400841,-0.00104280153755099,0,0,0,0,-0.002284039,39
0,6,3.5,-0.299345105886459,-0.00128816661890596,0,0,0,0,-0.002284039,39
0,7,4,-0.349338233470917,-0.00134950794745237,0,0,0,0,-0.002284039,39
0,8,4.5,-0.399331361055374,-0.00141084915958345,0,0,0,0,-0.002284039,39
0,9,5,-0.449324488639832,-0.001840237993747,0,0,0,0,-0.002284039,39
0,10,5.5,-0.499010920524597,-0.00239230948500335,0,0,0,0,-0.002284039,39
0,11,6,-0.549310743808746,-0.00257633323781192,0,0,0,0,-0.002284039,39
0,12,6.5,-0.598997175693512,-0.00269901589490473,0,0,0,0,-0.002284039,39
0,13,7,-0.649296998977661,-0.00312840472906828,0,0,0,0,-0.002284039,39
0,14,7.5,-0.699290156364441,-0.00410986505448818,0,0,0,0,-0.002284039,39
0,15,8,-0.748976588249207,-0.00674753962084651,0,0,0,0,-0.002284039,39
0,16,8.5,-0.798969745635986,-0.0193838402628899,0,0,0,0,-0.002284039,39
0,17,9,-0.848962843418121,-0.105568319559097,0,0,0,0,-0.002284039,39
0,18,9.5,-0.861844539642334,-0.15359853208065,0,0,0,0,-0.002284039,39
0,19,10,-0.546857118606567,-0.000245365081354976,0,0,0,0,-0.002284039,39
