Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.1,0.000307000009343028,0.00134950794745237,0,0,0,0,-0.002284039,39
0,1,0.2,-0.00950760301202536,0.000613412703387439,0,0,0,0,-0.002284039,39
0,2,0.3,-0.0193222053349018,0.00030670635169372,0,0,0,0,-0.002284039,39
0,3,0.4,-0.0294435154646635,0.000184023811016232,0,0,0,0,-0.002284039,39
0,4,0.5,-0.0392581187188625,6.13412703387439E-05,0,0,0,0,-0.002284039,39
0,5,0.6,-0.0493794269859791,0,0,0,0,0,-0.002284039,39
0,6,0.7,-0.059194028377533,-6.13412703387439E-05,0,0,0,0,-0.002284039,39
0,7,0.8,-0.0693153366446495,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,8,0.9,-0.0794366449117661,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,9,1,-0.0892512500286102,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,10,1.1,-0.0993725582957268,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,11,1.2,-0.109187163412571,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,12,1.3,-0.119308471679688,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,13,1.4,-0.129123076796532,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,14,1.5,-0.139244377613068,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,15,1.6,-0.149058982729912,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,16,1.7,-0.159180298447609,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,17,1.8,-0.169301599264145,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,18,1.9,-0.179422914981842,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,19,2,-0.189237520098686,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,20,2.1,-0.199358820915222,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,21,2.2,-0.209173426032066,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,22,2.3,-0.219294741749763,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,23,2.4,-0.229109346866608,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,24,2.5,-0.239230647683144,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,25,2.6,-0.249351963400841,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,26,2.7,-0.259166568517685,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,27,2.8,-0.269287884235382,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,28,2.9,-0.279102474451065,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,29,3,-0.289223790168762,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,30,3.1,-0.299345105886459,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,31,3.2,-0.309159696102142,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,32,3.3,-0.319281011819839,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,33,3.4,-0.329095602035522,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,34,3.5,-0.33921691775322,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,35,3.6,-0.349031507968903,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,36,3.7,-0.3591528236866,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,37,3.8,-0.369274139404297,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,38,3.9,-0.37908872961998,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,39,4,-0.389210045337677,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,40,4.1,-0.399024665355682,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,41,4.2,-0.409145951271057,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,42,4.3,-0.419267266988754,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,43,4.4,-0.42908188700676,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,44,4.5,-0.439203172922134,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,45,4.6,-0.44901779294014,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,46,4.7,-0.459139108657837,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,47,4.8,-0.46895369887352,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,48,4.9,-0.479075014591217,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,49,5,-0.489196330308914,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,50,5.1,-0.499010920524597,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,51,5.2,-0.509132206439972,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,52,5.3,-0.519253551959991,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,53,5.4,-0.529068171977997,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,54,5.5,-0.539189457893372,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,55,5.6,-0.549004077911377,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,56,5.7,-0.559125363826752,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,57,5.8,-0.568939983844757,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,58,5.9,-0.579061269760132,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,59,6,-0.589182615280151,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,60,6.1,-0.598997175693512,-0.000981460325419903,0,0,0,0,-0.002284039,39
0,61,6.2,-0.609118521213531,-0.00104280153755099,0,0,0,0,-0.002284039,39
0,62,6.3,-0.618933081626892,-0.00104280153755099,0,0,0,0,-0.002284039,39
0,63,6.4,-0.629054427146912,-0.00104280153755099,0,0,0,0,-0.002284039,39
0,64,6.5,-0.638868987560272,-0.00110414286609739,0,0,0,0,-0.002284039,39
0,65,6.6,-0.648990333080292,-0.00116548407822847,0,0,0,0,-0.002284039,39
0,66,6.7,-0.659111618995667,-0.00116548407822847,0,0,0,0,-0.002284039,39
0,67,6.8,-0.668926239013672,-0.00122682540677488,0,0,0,0,-0.002284039,39
0,68,6.9,-0.679047524929047,-0.00122682540677488,0,0,0,0,-0.002284039,39
0,69,7,-0.689168870449066,-0.00128816661890596,0,0,0,0,-0.002284039,39
0,70,7.1,-0.698983430862427,-0.00134950794745237,0,0,0,0,-0.002284039,39
0,71,7.2,-0.709104776382446,-0.00134950794745237,0,0,0,0,-0.002284039,39
