Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.5,0.000307000009343028,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,1,1,-0.0493794269859791,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,2,1.5,-0.0993725582957268,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,3,2,-0.149365693330765,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,4,2.5,-0.199358820915222,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,5,3,-0.249351963400841,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,6,3.5,-0.299345105886459,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,7,4,-0.349338233470917,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,8,4.5,-0.399331361055374,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,9,5,-0.44901779294014,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,10,5.5,-0.499317616224289,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,11,6,-0.549004077911377,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,12,6.5,-0.598997175693512,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,13,7,-0.648990333080292,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,14,7.5,-0.698983430862427,-0.000981460325419903,0,0,0,0,-0.002284039,39
0,15,8,-0.748976588249207,-0.00110414286609739,0,0,0,0,-0.002284039,39
0,16,8.5,-0.798969745635986,-0.00128816661890596,0,0,0,0,-0.002284039,39
0,17,9,-0.848962843418121,-0.00153353170026094,0,0,0,0,-0.002284039,39
0,18,9.5,-0.898956000804901,-0.00171755545306951,0,0,0,0,-0.002284039,39
0,19,10,-0.948949098587036,-0.00196292065083981,0,0,0,0,-0.002284039,39
0,20,10.5,-0.998942255973816,-0.00214694440364838,0,0,0,0,-0.002284039,39
0,21,11,-1.0489354133606,-0.00233096815645695,0,0,0,0,-0.002284039,39
0,22,11.5,-1.09892857074738,-0.00251499190926552,0,0,0,0,-0.002284039,39
0,23,12,-1.14861500263214,-0.0028216983191669,0,0,0,0,-0.002284039,39
0,24,12.5,-1.19860804080963,-0.00318974582478404,0,0,0,0,-0.002284039,39
0,25,13,-1.24860119819641,-0.00361913489177823,0,0,0,0,-0.002284039,39
0,26,13.5,-1.29859435558319,-0.00417120615020394,0,0,0,0,-0.002284039,39
0,27,14,-1.34858751296997,-0.00490730162709951,0,0,0,0,-0.002284039,39
0,28,14.5,-1.39858067035675,-0.00601144414395094,0,0,0,0,-0.002284039,39
0,29,15,-1.44857370853424,-0.00772899994626641,0,0,0,0,-0.002284039,39
0,30,15.5,-1.49856686592102,-0.0101213091984391,0,0,0,0,-0.002284039,39
0,31,16,-1.5485600233078,-0.0132497139275074,0,0,0,0,-0.002284039,39
0,32,16.5,-1.59855318069458,-0.0176049433648586,0,0,0,0,-0.002284039,39
0,33,17,-1.64854633808136,-0.0401171892881393,0,0,0,0,-0.002284039,39
0,34,17.5,-1.69823276996613,-0.0759404897689819,0,0,0,0,-0.002284039,39
1,35,18,-1.64885294437408,-0.0632428452372551,0,0,0,0,-0.002284039,39
1,36,18.5,-1.59885990619659,-0.04907301440835,0,0,0,0,-0.002284039,39
1,37,19,-1.54886674880981,-0.0365593954920769,0,0,0,0,-0.002284039,39
1,38,19.5,-1.49887359142303,-0.0256406497210264,0,0,0,0,-0.002284039,39
1,39,20,-1.44918715953827,-0.015887388959527,0,0,0,0,-0.002284039,39
1,40,20.5,-1.39919400215149,-0.00527534913271666,0,0,0,0,-0.002284039,39
1,41,21,-1.34920084476471,0.00736095197498798,0,0,0,0,-0.002284039,39
1,42,21.5,-1.29920780658722,0.0196905471384525,0,0,0,0,-0.002284039,39
1,43,22,-1.24921464920044,0.0224509034305811,0,0,0,0,-0.002284039,39
1,44,22.5,-1.19922149181366,-0.0038031586445868,0,0,0,0,-0.002284039,39
1,45,23,-1.14922833442688,-0.00368047598749399,0,0,0,0,-0.002284039,39
1,46,23.5,-1.0992351770401,-0.00208560307510197,0,0,0,0,-0.002284039,39
1,47,24,-1.04924213886261,-0.00128816661890596,0,0,0,0,-0.002284039,39
1,48,24.5,-0.99924898147583,-0.00079743645619601,0,0,0,0,-0.002284039,39
1,49,25,-0.94925582408905,-0.000490730162709951,0,0,0,0,-0.002284039,39
1,50,25.5,-0.899569392204285,-0.000429388863267377,0,0,0,0,-0.002284039,39
1,51,26,-0.84957629442215,-6.13412703387439E-05,0,0,0,0,-0.002284039,39
1,52,26.5,-0.79958313703537,0,0,0,0,0,-0.002284039,39
1,53,27,-0.74958997964859,0.000122682540677488,0,0,0,0,-0.002284039,39
1,54,27.5,-0.699596881866455,0.00030670635169372,0,0,0,0,-0.002284039,39
1,55,28,-0.649603724479675,0.000552071433048695,0,0,0,0,-0.002284039,39
1,56,28.5,-0.59961062669754,0.000613412703387439,0,0,0,0,-0.002284039,39
1,57,29,-0.549617469310761,0.000490730162709951,0,0,0,0,-0.002284039,39
1,58,29.5,-0.499931037425995,0.000429388863267377,0,0,0,0,-0.002284039,39
1,59,30,-0.449631214141846,0.000245365081354976,0,0,0,0,-0.002284039,39
1,60,30.5,-0.39994478225708,0.000245365081354976,0,0,0,0,-0.002284039,39
1,61,31,-0.349951654672623,0.000736095244064927,0,0,0,0,-0.002284039,39
1,62,31.5,-0.299958497285843,0.000920118996873498,0,0,0,0,-0.002284039,39
1,63,32,-0.249965369701386,0.000920118996873498,0,0,0,0,-0.002284039,39
1,64,32.5,-0.199972242116928,0.000920118996873498,0,0,0,0,-0.002284039,39
1,65,33,-0.14997909963131,0.000858777726534754,0,0,0,0,-0.002284039,39
1,66,33.5,-0.0999859720468521,0.00079743645619601,0,0,0,0,-0.002284039,39
1,67,34,-0.0499928407371044,0.000674753973726183,0,0,0,0,-0.002284039,39
1,68,34.5,-0.000306412694044411,0.000674753973726183,0,0,0,0,-0.002284039,39
1,69,35,0.0496867224574089,0.000613412703387439,0,0,0,0,-0.002284039,39
1,70,35.5,0.0993731468915939,0.000674753973726183,0,0,0,0,-0.002284039,39
1,71,36,0.149366274476051,0.000736095244064927,0,0,0,0,-0.002284039,39
1,72,36.5,0.19935941696167,0.000920118996873498,0,0,0,0,-0.002284039,39
1,73,37,0.249352544546127,0.00147219048812985,0,0,0,0,-0.002284039,39
1,74,37.5,0.299345672130585,0.0028830396477133,0,0,0,0,-0.002284039,39
1,75,38,0.349338829517365,0.00552071398124099,0,0,0,0,-0.002284039,39
1,76,38.5,0.399331957101822,0.00956923794001341,0,0,0,0,-0.002284039,39
1,77,39,0.449325084686279,0.0176049433648586,0,0,0,0,-0.002284039,39
1,78,39.5,0.499318212270737,0.0291371028870344,0,0,0,0,-0.002284039,39
1,79,40,0.54900461435318,0.0425094999372959,0,0,0,0,-0.002284039,39
1,80,40.5,0.59899777173996,0.0566179901361465,0,0,0,0,-0.002284039,39
1,81,41,0.64899092912674,0.070665143430233,0,0,0,0,-0.002284039,39
1,82,41.5,0.698984026908875,0.0840988755226135,0,0,0,0,-0.002284039,39
1,83,42,0.748977184295654,0.0817065685987473,0,0,0,0,-0.002284039,39
1,84,42.5,0.798970282077789,0.0482755787670612,0,0,0,0,-0.002284039,39
1,85,43,0.848963439464569,0.0537349507212639,0,0,0,0,-0.002284039,39
1,86,43.5,0.899263262748718,0.0537962913513184,0,0,0,0,-0.002284039,39
1,87,44,0.948949694633484,0.0638562589883804,0,0,0,0,-0.002284039,39
1,88,44.5,0.998942852020264,0.0589489601552486,0,0,0,0,-0.002284039,39
1,89,45,1.04893600940704,0.0639175996184349,0,0,0,0,-0.002284039,39
1,90,45.5,1.09862244129181,0.0656965002417564,0,0,0,0,-0.002284039,39
1,91,46,1.1486154794693,0.0666166171431541,0,0,0,0,-0.002284039,39
1,92,46.5,1.19860863685608,0.0668006390333176,0,0,0,0,-0.002284039,39
1,93,47,1.24860179424286,0.0663099139928818,0,0,0,0,-0.002284039,39
1,94,47.5,1.29859495162964,0.0653897896409035,0,0,0,0,-0.002284039,39
