Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.2,0,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,1,0.4,-0.0196292065083981,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,2,0.6,-0.0395651161670685,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,3,0.8,-0.0598077364265919,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,4,1,-0.0797436460852623,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,5,1.2,-0.099679559469223,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,6,1.4,-0.119615472853184,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,7,1.6,-0.139551386237144,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,8,1.8,-0.159487292170525,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,9,2,-0.179729908704758,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,10,2.2,-0.199665829539299,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,11,2.4,-0.219601735472679,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,12,2.6,-0.23953765630722,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,13,2.8,-0.259473562240601,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,14,3,-0.279409468173981,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,15,3.2,-0.299652099609375,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,16,3.4,-0.319588005542755,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,17,3.6,-0.339523911476135,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,18,3.8,-0.359459817409515,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,19,4,-0.37970244884491,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,20,4.2,-0.39963835477829,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,21,4.4,-0.41957426071167,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,22,4.6,-0.439510196447372,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,23,4.8,-0.459446102380753,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,24,5,-0.479382008314133,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,25,5.2,-0.499624639749527,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,26,5.4,-0.519253849983215,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,27,5.6,-0.53949648141861,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,28,5.8,-0.55943238735199,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,29,6,-0.57936829328537,-0.000981460325419903,0,0,0,0,-0.002284039,39
0,30,6.2,-0.59930419921875,-0.00104280153755099,0,0,0,0,-0.002284039,39
0,31,6.4,-0.619546830654144,-0.00110414286609739,0,0,0,0,-0.002284039,39
0,32,6.6,-0.639482736587524,-0.00110414286609739,0,0,0,0,-0.002284039,39
0,33,6.8,-0.659418642520905,-0.00116548407822847,0,0,0,0,-0.002284039,39
0,34,7,-0.679354548454285,-0.00116548407822847,0,0,0,0,-0.002284039,39
0,35,7.2,-0.699290454387665,-0.00122682540677488,0,0,0,0,-0.002284039,39
0,36,7.4,-0.719226360321045,-0.00141084915958345,0,0,0,0,-0.002284039,39
0,37,7.6,-0.739468991756439,-0.00153353170026094,0,0,0,0,-0.002284039,39
0,38,7.8,-0.759404897689819,-0.00165621424093843,0,0,0,0,-0.002284039,39
0,39,8,-0.779340803623199,-0.001840237993747,0,0,0,0,-0.002284039,39
0,40,8.2,-0.79927670955658,-0.001840237993747,0,0,0,0,-0.002284039,39
0,41,8.4,-0.81921261548996,-0.00202426174655557,0,0,0,0,-0.002284039,39
0,42,8.6,-0.83914852142334,-0.00208560307510197,0,0,0,0,-0.002284039,39
0,43,8.8,-0.859391152858734,-0.00220828573219478,0,0,0,0,-0.002284039,39
0,44,9,-0.879327058792114,-0.00226962682791054,0,0,0,0,-0.002284039,39
0,45,9.2,-0.899262964725494,-0.00226962682791054,0,0,0,0,-0.002284039,39
0,46,9.4,-0.919198930263519,-0.00233096815645695,0,0,0,0,-0.002284039,39
0,47,9.6,-0.939134836196899,-0.00239230948500335,0,0,0,0,-0.002284039,39
0,48,9.8,-0.95907074213028,-0.00245365081354976,0,0,0,0,-0.002284039,39
0,49,10,-0.979313373565674,-0.00245365081354976,0,0,0,0,-0.002284039,39
0,50,10.2,-0.999249279499054,-0.00251499190926552,0,0,0,0,-0.002284039,39
0,51,10.4,-1.01918518543243,-0.00257633323781192,0,0,0,0,-0.002284039,39
0,52,10.6,-1.03912103176117,-0.00263767456635833,0,0,0,0,-0.002284039,39
0,53,10.8,-1.05905699729919,-0.00269901589490473,0,0,0,0,-0.002284039,39
0,54,11,-1.07899296283722,-0.00276035699062049,0,0,0,0,-0.002284039,39
0,55,11.2,-1.09923553466797,-0.0028830396477133,0,0,0,0,-0.002284039,39
0,56,11.4,-1.1191713809967,-0.00300572207197547,0,0,0,0,-0.002284039,39
0,57,11.6,-1.13910734653473,-0.00312840472906828,0,0,0,0,-0.002284039,39
0,58,11.8,-1.15904331207275,-0.00325108715333045,0,0,0,0,-0.002284039,39
0,59,12,-1.1792858839035,-0.00343511090613902,0,0,0,0,-0.002284039,39
0,60,12.2,-1.19922184944153,-0.00361913489177823,0,0,0,0,-0.002284039,39
0,61,12.4,-1.21915769577026,-0.0038031586445868,0,0,0,0,-0.002284039,39
0,62,12.6,-1.23909366130829,-0.00392584130167961,0,0,0,0,-0.002284039,39
0,63,12.8,-1.25902950763702,-0.00410986505448818,0,0,0,0,-0.002284039,39
0,64,13,-1.27896547317505,-0.00435522990301251,0,0,0,0,-0.002284039,39
0,65,13.2,-1.29890131950378,-0.00460059521719813,0,0,0,0,-0.002284039,39
0,66,13.4,-1.31914401054382,-0.00490730162709951,0,0,0,0,-0.002284039,39
0,67,13.6,-1.33907985687256,-0.00527534913271666,0,0,0,0,-0.002284039,39
0,68,13.8,-1.35901582241058,-0.0056433966383338,0,0,0,0,-0.002284039,39
0,69,14,-1.37895166873932,-0.00613412680104375,0,0,0,0,-0.002284039,39
0,70,14.2,-1.39888763427734,-0.0066248569637537,0,0,0,0,-0.002284039,39
0,71,14.4,-1.41882348060608,-0.00723826978355646,0,0,0,0,-0.002284039,39
0,72,14.6,-1.43906617164612,-0.00785168260335922,0,0,0,0,-0.002284039,39
0,73,14.8,-1.45869541168213,-0.00852643605321646,0,0,0,0,-0.002284039,39
0,74,15,-1.47893798351288,-0.00938521418720484,0,0,0,0,-0.002284039,39
0,75,15.2,-1.49887382984161,-0.0103053329512477,0,0,0,0,-0.002284039,39
0,76,15.4,-1.51880979537964,-0.0113481348380446,0,0,0,0,-0.002284039,39
0,77,15.6,-1.53874576091766,-0.0125749595463276,0,0,0,0,-0.002284039,39
0,78,15.8,-1.5586816072464,-0.0139858089387417,0,0,0,0,-0.002284039,39
0,79,16,-1.57892429828644,-0.0222668796777725,0,0,0,0,-0.002284039,39
0,80,16.2,-1.59886014461517,-0.0335536748170853,0,0,0,0,-0.002284039,39
