Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.7,0.000307000009343028,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,1,1.4,-0.0702354609966278,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,2,2.1,-0.141084626317024,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,3,2.8,-0.211933791637421,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,4,3.5,-0.282476246356964,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,5,4.2,-0.353325396776199,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,6,4.9,-0.424174576997757,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,7,5.6,-0.495023727416992,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,8,6.3,-0.56587290763855,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,9,7,-0.636722087860107,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,10,7.7,-0.70757120847702,-0.00104280153755099,0,0,0,0,-0.002284039,39
0,11,8.4,-0.778113663196564,-0.00134950794745237,0,0,0,0,-0.002284039,39
0,12,9.1,-0.848962843418121,-0.00165621424093843,0,0,0,0,-0.002284039,39
0,13,9.8,-0.919812023639679,-0.00202426174655557,0,0,0,0,-0.002284039,39
0,14,10.5,-0.990661203861237,-0.00214694440364838,0,0,0,0,-0.002284039,39
0,15,11.2,-1.06151032447815,-0.00245365081354976,0,0,0,0,-0.002284039,39
0,16,11.9,-1.13205277919769,-0.00294438097625971,0,0,0,0,-0.002284039,39
0,17,12.6,-1.20290195941925,-0.00349645223468542,0,0,0,0,-0.002284039,39
0,18,13.3,-1.27375113964081,-0.00392584130167961,0,0,0,0,-0.002284039,39
0,19,14,-1.34460031986237,-0.00472327740862966,0,0,0,0,-0.002284039,39
0,20,14.7,-1.41514277458191,-0.00631815055385232,0,0,0,0,-0.002284039,39
0,21,15.4,-1.48599195480347,-0.0088944835588336,0,0,0,0,-0.002284039,39
0,22,16.1,-1.55684113502502,-0.0129430079832673,0,0,0,0,-0.002284039,39
0,23,16.8,-1.62769019603729,-0.0334923341870308,0,0,0,0,-0.002284039,39
0,24,17.5,-1.69823276996613,-0.0793756023049355,0,0,0,0,-0.002284039,39
1,25,18.2,-1.62891709804535,-0.056065920740366,0,0,0,0,-0.002284039,39
1,26,18.9,-1.55960142612457,-0.0334923341870308,0,0,0,0,-0.002284039,39
1,27,19.6,-1.4902857542038,-0.012390935793519,0,0,0,0,-0.002284039,39
1,28,20.3,-1.42097020149231,0.00877180136740208,0,0,0,0,-0.002284039,39
