Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.4,0.000307000009343028,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,1,0.8,-0.0193222053349018,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,2,1.2,-0.0392581187188625,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,3,1.6,-0.0595007352530956,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,4,2,-0.0791299417614937,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,5,2.4,-0.0993725582957268,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,6,2.8,-0.119308471679688,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,7,3.2,-0.139244377613068,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,8,3.6,-0.159180298447609,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,9,4,-0.179422914981842,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,10,4.4,-0.19905212521553,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,11,4.8,-0.219294741749763,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,12,5.2,-0.239230647683144,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,13,5.6,-0.259166568517685,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,14,6,-0.279102474451065,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,15,6.4,-0.299345105886459,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,16,6.8,-0.319281011819839,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,17,7.2,-0.33921691775322,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,18,7.6,-0.3591528236866,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,19,8,-0.37908872961998,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,20,8.4,-0.399331361055374,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,21,8.8,-0.418960571289063,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,22,9.2,-0.439203172922134,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,23,9.6,-0.459139108657837,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,24,10,-0.479075014591217,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,25,10.4,-0.499010920524597,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,26,10.8,-0.519253551959991,-0.00079743645619601,0,0,0,0,-0.002284039,39
