Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.2,0,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,1,0.4,-0.00950789637863636,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,2,0.6,-0.0196292065083981,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,3,0.8,-0.0297505147755146,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,4,1,-0.0395651161670685,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,5,1.2,-0.0496864281594753,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,6,1.4,-0.0598077364265919,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,7,1.6,-0.0696223378181458,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,8,1.8,-0.0797436460852623,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,9,2,-0.0895582512021065,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,10,2.2,-0.099679559469223,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,11,2.4,-0.109494164586067,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,12,2.6,-0.119615472853184,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,13,2.8,-0.129430070519447,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,14,3,-0.139551386237144,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,15,3.2,-0.14967268705368,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,16,3.4,-0.159487292170525,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,17,3.6,-0.169608607888222,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,18,3.8,-0.179423213005066,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,19,4,-0.189544513821602,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,20,4.2,-0.199665829539299,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,21,4.4,-0.209480434656143,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,22,4.6,-0.219601735472679,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,23,4.8,-0.229416340589523,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,24,5,-0.23953765630722,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,25,5.2,-0.249352261424065,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,26,5.4,-0.259473562240601,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,27,5.6,-0.269594877958298,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,28,5.8,-0.279409468173981,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,29,6,-0.289530783891678,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,30,6.2,-0.299345374107361,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,31,6.4,-0.309466689825058,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,32,6.6,-0.319281309843063,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,33,6.8,-0.329402595758438,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,34,7,-0.339523911476135,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,35,7.2,-0.349338531494141,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,36,7.4,-0.359459817409515,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,37,7.6,-0.369581133127213,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,38,7.8,-0.379395753145218,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,39,8,-0.389517039060593,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,40,8.2,-0.399331659078598,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,41,8.4,-0.409452974796295,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,42,8.6,-0.419267565011978,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,43,8.8,-0.429388880729675,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,44,9,-0.439510196447372,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,45,9.2,-0.449324786663055,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,46,9.4,-0.459446102380753,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,47,9.6,-0.469260692596436,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,48,9.8,-0.479382008314133,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,49,10,-0.48950332403183,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,50,10.2,-0.499317914247513,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,51,10.4,-0.50943922996521,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,52,10.6,-0.519253849983215,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,53,10.8,-0.52937513589859,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,54,11,-0.53949648141861,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,55,11.2,-0.54931104183197,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,56,11.4,-0.55943238735199,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,57,11.6,-0.56924694776535,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,58,11.8,-0.57936829328537,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,59,12,-0.589489579200745,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,60,12.2,-0.59930419921875,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,61,12.4,-0.609425485134125,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,62,12.6,-0.61924010515213,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,63,12.8,-0.629361391067505,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,64,13,-0.639482736587524,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,65,13.2,-0.649297297000885,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,66,13.4,-0.659418642520905,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,67,13.6,-0.66923326253891,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,68,13.8,-0.679354548454285,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,69,14,-0.68916916847229,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,70,14.2,-0.699290454387665,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,71,14.4,-0.70910507440567,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,72,14.6,-0.719226360321045,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,73,14.8,-0.729347705841064,-0.000981460325419903,0,0,0,0,-0.002284039,39
0,74,15,-0.739162266254425,-0.000981460325419903,0,0,0,0,-0.002284039,39
0,75,15.2,-0.749283611774445,-0.00104280153755099,0,0,0,0,-0.002284039,39
0,76,15.4,-0.759098172187805,-0.00104280153755099,0,0,0,0,-0.002284039,39
0,77,15.6,-0.769219517707825,-0.00110414286609739,0,0,0,0,-0.002284039,39
0,78,15.8,-0.779340803623199,-0.00110414286609739,0,0,0,0,-0.002284039,39
0,79,16,-0.789155423641205,-0.00110414286609739,0,0,0,0,-0.002284039,39
0,80,16.2,-0.79927670955658,-0.00116548407822847,0,0,0,0,-0.002284039,39
0,81,16.4,-0.809091329574585,-0.00116548407822847,0,0,0,0,-0.002284039,39
0,82,16.6,-0.81921261548996,-0.00122682540677488,0,0,0,0,-0.002284039,39
0,83,16.8,-0.829027235507965,-0.00122682540677488,0,0,0,0,-0.002284039,39
0,84,17,-0.83914852142334,-0.00122682540677488,0,0,0,0,-0.002284039,39
0,85,17.2,-0.849269866943359,-0.00128816661890596,0,0,0,0,-0.002284039,39
0,86,17.4,-0.859084486961365,-0.00128816661890596,0,0,0,0,-0.002284039,39
0,87,17.6,-0.86920577287674,-0.00134950794745237,0,0,0,0,-0.002284039,39
0,88,17.8,-0.879020392894745,-0.00134950794745237,0,0,0,0,-0.002284039,39
0,89,18,-0.88914167881012,-0.00141084915958345,0,0,0,0,-0.002284039,39
0,90,18.2,-0.899262964725494,-0.00147219048812985,0,0,0,0,-0.002284039,39
0,91,18.4,-0.9090775847435,-0.00147219048812985,0,0,0,0,-0.002284039,39
0,92,18.6,-0.919198930263519,-0.00153353170026094,0,0,0,0,-0.002284039,39
0,93,18.8,-0.92901349067688,-0.00159487291239202,0,0,0,0,-0.002284039,39
0,94,19,-0.939134836196899,-0.00165621424093843,0,0,0,0,-0.002284039,39
0,95,19.2,-0.94894939661026,-0.00171755545306951,0,0,0,0,-0.002284039,39
0,96,19.4,-0.95907074213028,-0.00177889678161591,0,0,0,0,-0.002284039,39
0,97,19.6,-0.969192028045654,-0.001840237993747,0,0,0,0,-0.002284039,39
0,98,19.8,-0.97900664806366,-0.0019015793222934,0,0,0,0,-0.002284039,39
0,99,20,-0.989127933979034,-0.00202426174655557,0,0,0,0,-0.002284039,39
0,100,20.2,-0.999249279499054,-0.00208560307510197,0,0,0,0,-0.002284039,39
0,101,20.4,-1.00906383991241,-0.00220828573219478,0,0,0,0,-0.002284039,39
0,102,20.6,-1.01918518543243,-0.00233096815645695,0,0,0,0,-0.002284039,39
0,103,20.8,-1.02899980545044,-0.00239230948500335,0,0,0,0,-0.002284039,39
0,104,21,-1.03912103176117,-0.00257633323781192,0,0,0,0,-0.002284039,39
0,105,21.2,-1.04893565177917,-0.00269901589490473,0,0,0,0,-0.002284039,39
0,106,21.4,-1.05905699729919,-0.0028216983191669,0,0,0,0,-0.002284039,39
0,107,21.6,-1.06917834281921,-0.00306706340052187,0,0,0,0,-0.002284039,39
0,108,21.8,-1.07899296283722,-0.00325108715333045,0,0,0,0,-0.002284039,39
0,109,22,-1.08911418914795,-0.00349645223468542,0,0,0,0,-0.002284039,39
0,110,22.2,-1.09892880916595,-0.0037418173160404,0,0,0,0,-0.002284039,39
0,111,22.4,-1.10905015468597,-0.00398718239739537,0,0,0,0,-0.002284039,39
0,112,22.6,-1.1191713809967,-0.00435522990301251,0,0,0,0,-0.002284039,39
0,113,22.8,-1.12898600101471,-0.00466193631291389,0,0,0,0,-0.002284039,39
0,114,23,-1.13910734653473,-0.00515266647562385,0,0,0,0,-0.002284039,39
0,115,23.2,-1.14892196655273,-0.00570473773404956,0,0,0,0,-0.002284039,39
0,116,23.4,-1.15904331207275,-0.00637949164956808,0,0,0,0,-0.002284039,39
0,117,23.6,-1.16916453838348,-0.00736095197498798,0,0,0,0,-0.002284039,39
0,118,23.8,-1.17897915840149,-0.00871045980602503,0,0,0,0,-0.002284039,39
0,119,24,-1.18910050392151,-0.0109800873324275,0,0,0,0,-0.002284039,39
0,120,24.2,-1.19891512393951,-0.0150899523869157,0,0,0,0,-0.002284039,39
0,121,24.4,-1.20903635025024,-0.0285236891359091,0,0,0,0,-0.002284039,39
0,122,24.6,-1.21885097026825,-0.0694996565580368,0,0,0,0,-0.002284039,39
0,123,24.8,-1.22897231578827,-0.101458460092545,0,0,0,0,-0.002284039,39
0,124,25,-1.23878693580627,-0.129552751779556,0,0,0,0,-0.002284039,39
0,125,25.2,-1.248908162117,-0.156481578946114,0,0,0,0,-0.002284039,39
0,126,25.4,-1.25872278213501,-0.181324794888496,0,0,0,0,-0.002284039,39
0,127,25.6,-1.26884412765503,-0.203284963965416,0,0,0,0,-0.002284039,39
0,128,25.8,-1.27896547317505,-0.222914174199104,0,0,0,0,-0.002284039,39
0,129,26,-1.28878009319305,-0.240519106388092,0,0,0,0,-0.002284039,39
0,130,26.2,-1.29890131950378,-0.256590515375137,0,0,0,0,-0.002284039,39
0,131,26.4,-1.3090226650238,-0.271435111761093,0,0,0,0,-0.002284039,39
0,132,26.6,-1.31883728504181,-0.285359591245651,0,0,0,0,-0.002284039,39
0,133,26.8,-1.32895863056183,-0.298547953367233,0,0,0,0,-0.002284039,39
0,134,27,-1.33877313137054,-0.311490952968597,0,0,0,0,-0.002284039,39
0,135,27.2,-1.34889447689056,-0.324188590049744,0,0,0,0,-0.002284039,39
0,136,27.4,-1.35870909690857,-0.336579531431198,0,0,0,0,-0.002284039,39
