Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.1,0,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,1,0.2,-0.00981460325419903,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,2,0.3,-0.0196292065083981,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,3,0.4,-0.0297505147755146,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,4,0.5,-0.0395651161670685,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,5,0.6,-0.0496864281594753,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,6,0.7,-0.0598077364265919,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,7,0.8,-0.0696223378181458,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,8,0.9,-0.0794369429349899,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,9,1,-0.0895582512021065,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,10,1.1,-0.099679559469223,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,11,1.2,-0.109494164586067,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,12,1.3,-0.119615472853184,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,13,1.4,-0.1297367811203,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,14,1.5,-0.139551386237144,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,15,1.6,-0.14967268705368,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,16,1.7,-0.159487292170525,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,17,1.8,-0.169608607888222,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,18,1.9,-0.179423213005066,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,19,2,-0.189544513821602,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,20,2.1,-0.199665829539299,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,21,2.2,-0.209480434656143,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,22,2.3,-0.219601735472679,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,23,2.4,-0.229416340589523,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,24,2.5,-0.23953765630722,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,25,2.6,-0.249658957123756,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,26,2.7,-0.259473562240601,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,27,2.8,-0.269594877958298,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,28,2.9,-0.279409468173981,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,29,3,-0.289530783891678,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,30,3.1,-0.299652099609375,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,31,3.2,-0.309466689825058,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,32,3.3,-0.319588005542755,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,33,3.4,-0.329402595758438,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,34,3.5,-0.339523911476135,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,35,3.6,-0.349338531494141,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,36,3.7,-0.359459817409515,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,37,3.8,-0.369581133127213,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,38,3.9,-0.379395753145218,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,39,4,-0.389517039060593,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,40,4.1,-0.399331659078598,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,41,4.2,-0.409452974796295,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,42,4.3,-0.41957426071167,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,43,4.4,-0.429388880729675,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,44,4.5,-0.439510196447372,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,45,4.6,-0.449324786663055,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,46,4.7,-0.459446102380753,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,47,4.8,-0.46956741809845,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,48,4.9,-0.479382008314133,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,49,5,-0.48950332403183,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,50,5.1,-0.499317914247513,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,51,5.2,-0.50943922996521,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,52,5.3,-0.519560515880585,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,53,5.4,-0.52937513589859,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,54,5.5,-0.53949648141861,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,55,5.6,-0.54931104183197,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,56,5.7,-0.55943238735199,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,57,5.8,-0.56924694776535,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,58,5.9,-0.57936829328537,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,59,6,-0.589489579200745,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,60,6.1,-0.59930419921875,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,61,6.2,-0.609425485134125,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,62,6.3,-0.61924010515213,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,63,6.4,-0.629361391067505,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,64,6.5,-0.63917601108551,-0.000981460325419903,0,0,0,0,-0.002284039,39
0,65,6.6,-0.649297297000885,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,66,6.7,-0.659418642520905,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,67,6.8,-0.66923326253891,-0.000981460325419903,0,0,0,0,-0.002284039,39
0,68,6.9,-0.679354548454285,-0.000981460325419903,0,0,0,0,-0.002284039,39
0,69,7,-0.68916916847229,-0.00104280153755099,0,0,0,0,-0.002284039,39
0,70,7.1,-0.699290454387665,-0.00104280153755099,0,0,0,0,-0.002284039,39
0,71,7.2,-0.70910507440567,-0.00104280153755099,0,0,0,0,-0.002284039,39
0,72,7.3,-0.719226360321045,-0.00110414286609739,0,0,0,0,-0.002284039,39
0,73,7.4,-0.729347705841064,-0.00110414286609739,0,0,0,0,-0.002284039,39
0,74,7.5,-0.739162266254425,-0.00116548407822847,0,0,0,0,-0.002284039,39
0,75,7.6,-0.749283611774445,-0.00116548407822847,0,0,0,0,-0.002284039,39
0,76,7.7,-0.759098172187805,-0.00116548407822847,0,0,0,0,-0.002284039,39
0,77,7.8,-0.769219517707825,-0.00122682540677488,0,0,0,0,-0.002284039,39
0,78,7.9,-0.779340803623199,-0.00122682540677488,0,0,0,0,-0.002284039,39
0,79,8,-0.789155423641205,-0.00128816661890596,0,0,0,0,-0.002284039,39
0,80,8.1,-0.79927670955658,-0.00134950794745237,0,0,0,0,-0.002284039,39
0,81,8.2,-0.809091329574585,-0.00134950794745237,0,0,0,0,-0.002284039,39
0,82,8.3,-0.81921261548996,-0.00141084915958345,0,0,0,0,-0.002284039,39
0,83,8.4,-0.829333961009979,-0.00141084915958345,0,0,0,0,-0.002284039,39
0,84,8.5,-0.83914852142334,-0.00147219048812985,0,0,0,0,-0.002284039,39
0,85,8.6,-0.849269866943359,-0.00147219048812985,0,0,0,0,-0.002284039,39
0,86,8.7,-0.859084486961365,-0.00153353170026094,0,0,0,0,-0.002284039,39
0,87,8.8,-0.86920577287674,-0.00153353170026094,0,0,0,0,-0.002284039,39
0,88,8.9,-0.879020392894745,-0.00159487291239202,0,0,0,0,-0.002284039,39
0,89,9,-0.88914167881012,-0.00159487291239202,0,0,0,0,-0.002284039,39
0,90,9.1,-0.899262964725494,-0.00165621424093843,0,0,0,0,-0.002284039,39
0,91,9.2,-0.9090775847435,-0.00165621424093843,0,0,0,0,-0.002284039,39
0,92,9.3,-0.919198930263519,-0.00165621424093843,0,0,0,0,-0.002284039,39
0,93,9.4,-0.92901349067688,-0.00165621424093843,0,0,0,0,-0.002284039,39
0,94,9.5,-0.939134836196899,-0.00171755545306951,0,0,0,0,-0.002284039,39
0,95,9.6,-0.949256122112274,-0.00177889678161591,0,0,0,0,-0.002284039,39
0,96,9.7,-0.95907074213028,-0.00177889678161591,0,0,0,0,-0.002284039,39
0,97,9.8,-0.969192028045654,-0.00177889678161591,0,0,0,0,-0.002284039,39
0,98,9.9,-0.97900664806366,-0.001840237993747,0,0,0,0,-0.002284039,39
0,99,10,-0.989127933979034,-0.001840237993747,0,0,0,0,-0.002284039,39
0,100,10.1,-0.99894255399704,-0.0019015793222934,0,0,0,0,-0.002284039,39
0,101,10.2,-1.00906383991241,-0.0019015793222934,0,0,0,0,-0.002284039,39
0,102,10.3,-1.01918518543243,-0.00196292065083981,0,0,0,0,-0.002284039,39
0,103,10.4,-1.02899980545044,-0.00196292065083981,0,0,0,0,-0.002284039,39
0,104,10.5,-1.03912103176117,-0.00202426174655557,0,0,0,0,-0.002284039,39
0,105,10.6,-1.04893565177917,-0.00208560307510197,0,0,0,0,-0.002284039,39
0,106,10.7,-1.05905699729919,-0.00214694440364838,0,0,0,0,-0.002284039,39
0,107,10.8,-1.0688716173172,-0.00214694440364838,0,0,0,0,-0.002284039,39
0,108,10.9,-1.07899296283722,-0.00220828573219478,0,0,0,0,-0.002284039,39
0,109,11,-1.08911418914795,-0.00226962682791054,0,0,0,0,-0.002284039,39
0,110,11.1,-1.09892880916595,-0.00239230948500335,0,0,0,0,-0.002284039,39
0,111,11.2,-1.10905015468597,-0.00245365081354976,0,0,0,0,-0.002284039,39
0,112,11.3,-1.1191713809967,-0.00245365081354976,0,0,0,0,-0.002284039,39
0,113,11.4,-1.12898600101471,-0.00257633323781192,0,0,0,0,-0.002284039,39
0,114,11.5,-1.13910734653473,-0.00263767456635833,0,0,0,0,-0.002284039,39
0,115,11.6,-1.14892196655273,-0.00276035699062049,0,0,0,0,-0.002284039,39
0,116,11.7,-1.15904331207275,-0.0028216983191669,0,0,0,0,-0.002284039,39
