Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.3,0.000307000009343028,0.000674753973726183,0,0,0,0,-0.002284039,39
0,1,0.6,-0.0144149046391249,0.000184023811016232,0,0,0,0,-0.002284039,39
0,2,0.9,-0.0294435154646635,0,0,0,0,0,-0.002284039,39
0,3,1.2,-0.044472124427557,-6.13412703387439E-05,0,0,0,0,-0.002284039,39
0,4,1.5,-0.0595007352530956,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,5,1.8,-0.0745293498039246,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,6,2.1,-0.0895579606294632,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,7,2.4,-0.104586571455002,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,8,2.7,-0.11961518228054,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,9,3,-0.134337082505226,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,10,3.3,-0.149365693330765,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,11,3.6,-0.164394304156303,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,12,3.9,-0.179422914981842,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,13,4.2,-0.194451525807381,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,14,4.5,-0.209480136632919,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,15,4.8,-0.224508747458458,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,16,5.1,-0.239537358283997,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,17,5.4,-0.254565954208374,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,18,5.7,-0.269287884235382,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,19,6,-0.284623175859451,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,20,6.3,-0.299345105886459,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,21,6.6,-0.314373701810837,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,22,6.9,-0.329402327537537,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,23,7.2,-0.344430923461914,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,24,7.5,-0.359459549188614,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,25,7.8,-0.374488145112991,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,26,8.1,-0.389210045337677,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,27,8.4,-0.404238671064377,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,28,8.7,-0.419267266988754,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,29,9,-0.434295892715454,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,30,9.3,-0.449324488639832,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,31,9.6,-0.464353114366531,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,32,9.9,-0.479381710290909,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,33,10.2,-0.494410336017609,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,34,10.5,-0.509132206439972,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,35,10.8,-0.524467527866364,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,36,11.1,-0.539189457893372,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,37,11.4,-0.554218053817749,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,38,11.7,-0.569246649742126,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,39,12,-0.584275305271149,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,40,12.3,-0.599303901195526,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,41,12.6,-0.614025771617889,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,42,12.9,-0.629361093044281,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,43,13.2,-0.644083023071289,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,44,13.5,-0.659111618995667,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,45,13.8,-0.674140214920044,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,46,14.1,-0.689168870449066,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,47,14.4,-0.704197466373444,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,48,14.7,-0.719226062297821,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,49,15,-0.733947992324829,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,50,15.3,-0.748976588249207,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,51,15.6,-0.764005184173584,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,52,15.9,-0.779033839702606,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,53,16.2,-0.794062435626984,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,54,16.5,-0.809091031551361,-0.000981460325419903,0,0,0,0,-0.002284039,39
0,55,16.8,-0.824119627475739,-0.00104280153755099,0,0,0,0,-0.002284039,39
0,56,17.1,-0.839148223400116,-0.00110414286609739,0,0,0,0,-0.002284039,39
0,57,17.4,-0.853870153427124,-0.00116548407822847,0,0,0,0,-0.002284039,39
0,58,17.7,-0.868898749351501,-0.00122682540677488,0,0,0,0,-0.002284039,39
0,59,18,-0.883927404880524,-0.00128816661890596,0,0,0,0,-0.002284039,39
0,60,18.3,-0.898956000804901,-0.00134950794745237,0,0,0,0,-0.002284039,39
0,61,18.6,-0.913984596729279,-0.00147219048812985,0,0,0,0,-0.002284039,39
0,62,18.9,-0.929013192653656,-0.00153353170026094,0,0,0,0,-0.002284039,39
0,63,19.2,-0.944041848182678,-0.00165621424093843,0,0,0,0,-0.002284039,39
0,64,19.5,-0.958763718605042,-0.00177889678161591,0,0,0,0,-0.002284039,39
0,65,19.8,-0.973792314529419,-0.0019015793222934,0,0,0,0,-0.002284039,39
0,66,20.1,-0.988820970058441,-0.00208560307510197,0,0,0,0,-0.002284039,39
0,67,20.4,-1.00384950637817,-0.00226962682791054,0,0,0,0,-0.002284039,39
0,68,20.7,-1.01887822151184,-0.00251499190926552,0,0,0,0,-0.002284039,39
0,69,21,-1.03390681743622,-0.00276035699062049,0,0,0,0,-0.002284039,39
0,70,21.3,-1.0489354133606,-0.00312840472906828,0,0,0,0,-0.002284039,39
0,71,21.6,-1.06396400928497,-0.00361913489177823,0,0,0,0,-0.002284039,39
0,72,21.9,-1.07868587970734,-0.00410986505448818,0,0,0,0,-0.002284039,39
0,73,22.2,-1.09402120113373,-0.00472327740862966,0,0,0,0,-0.002284039,39
0,74,22.5,-1.10874307155609,-0.00552071398124099,0,0,0,0,-0.002284039,39
0,75,22.8,-1.12377178668976,-0.00650217430666089,0,0,0,0,-0.002284039,39
0,76,23.1,-1.13880038261414,-0.00779034104198217,0,0,0,0,-0.002284039,39
0,77,23.4,-1.15382897853851,-0.0099986270070076,0,0,0,0,-0.002284039,39
0,78,23.7,-1.16885757446289,-0.0202426183968782,0,0,0,0,-0.002284039,39
0,79,24,-1.18357944488525,-0.0903556868433952,0,0,0,0,-0.002284039,39
0,80,24.3,-1.19860804080963,-0.151206225156784,0,0,0,0,-0.002284039,39
0,81,24.6,-1.21363663673401,-0.216534674167633,0,0,0,0,-0.002284039,39
0,82,24.9,-1.22866535186768,-0.258308082818985,0,0,0,0,-0.002284039,39
0,83,25.2,-1.24369394779205,-0.290205538272858,0,0,0,0,-0.002284039,39
0,84,25.5,-1.25872254371643,-0.313024491071701,0,0,0,0,-0.002284039,39
0,85,25.8,-1.27375113964081,-0.329770654439926,0,0,0,0,-0.002284039,39
0,86,26.1,-1.28847301006317,-0.345474034547806,0,0,0,0,-0.002284039,39
0,87,26.4,-1.30350160598755,-0.360809326171875,0,0,0,0,-0.002284039,39
0,88,26.7,-1.31853032112122,-0.375592589378357,0,0,0,0,-0.002284039,39
0,89,27,-1.33355891704559,-0.389885097742081,0,0,0,0,-0.002284039,39
0,90,27.3,-1.34858751296997,-0.403870910406113,0,0,0,0,-0.002284039,39
0,91,27.6,-1.36361610889435,-0.41754999756813,0,0,0,0,-0.002284039,39
0,92,27.9,-1.37864470481873,-0.430799722671509,0,0,0,0,-0.002284039,39
0,93,28.2,-1.3936733007431,-0.443620055913925,0,0,0,0,-0.002284039,39
0,94,28.5,-1.40839517116547,-0.456194996833801,0,0,0,0,-0.002284039,39
0,95,28.8,-1.42342388629913,-0.46821790933609,0,0,0,0,-0.002284039,39
0,96,29.1,-1.43845248222351,-0.480056762695313,0,0,0,0,-0.002284039,39
0,97,29.4,-1.45348107814789,-0.491834282875061,0,0,0,0,-0.002284039,39
0,98,29.7,-1.46850967407227,-0.504347920417786,0,0,0,0,-0.002284039,39
0,99,30,-1.48353826999664,-0.516493499279022,0,0,0,0,-0.002284039,39
0,100,30.3,-1.49856686592102,-0.528455018997192,0,0,0,0,-0.002284039,39
1,101,30.6,-1.48415172100067,-0.525019884109497,0,0,0,0,-0.002284039,39
1,102,30.9,-1.46912312507629,-0.518149673938751,0,0,0,0,-0.002284039,39
1,103,31.2,-1.45409440994263,-0.511954247951508,0,0,0,0,-0.002284039,39
1,104,31.5,-1.43906581401825,-0.508273720741272,0,0,0,0,-0.002284039,39
1,105,31.8,-1.42403721809387,-0.502937078475952,0,0,0,0,-0.002284039,39
1,106,32.1,-1.40900862216949,-0.497109621763229,0,0,0,0,-0.002284039,39
1,107,32.4,-1.39398002624512,-0.491098195314407,0,0,0,0,-0.002284039,39
1,108,32.7,-1.37895143032074,-0.485332101583481,0,0,0,0,-0.002284039,39
1,109,33,-1.36392283439636,-0.479320675134659,0,0,0,0,-0.002284039,39
1,110,33.3,-1.34889423847198,-0.473493248224258,0,0,0,0,-0.002284039,39
1,111,33.6,-1.33386552333832,-0.46742045879364,0,0,0,0,-0.002284039,39
1,112,33.9,-1.31883692741394,-0.46159303188324,0,0,0,0,-0.002284039,39
1,113,34.2,-1.30380833148956,-0.455765634775162,0,0,0,0,-0.002284039,39
1,114,34.5,-1.28877973556519,-0.449692845344543,0,0,0,0,-0.002284039,39
1,115,34.8,-1.27375113964081,-0.443190664052963,0,0,0,0,-0.002284039,39
1,116,35.1,-1.25872254371643,-0.436688482761383,0,0,0,0,-0.002284039,39
1,117,35.4,-1.24369394779205,-0.429818272590637,0,0,0,0,-0.002284039,39
1,118,35.7,-1.22866535186768,-0.422211945056915,0,0,0,0,-0.002284039,39
1,119,36,-1.21363663673401,-0.414605617523193,0,0,0,0,-0.002284039,39
1,120,36.3,-1.19860804080963,-0.406999319791794,0,0,0,0,-0.002284039,39
1,121,36.6,-1.18357944488525,-0.40111055970192,0,0,0,0,-0.002284039,39
1,122,36.9,-1.16855084896088,-0.392952173948288,0,0,0,0,-0.002284039,39
1,123,37.2,-1.15382897853851,-0.580533742904663,0,0,0,0,-0.002284039,39
1,124,37.5,-1.13880038261414,-0.58998030424118,0,0,0,0,-0.002284039,39
1,125,37.8,-1.12377178668976,-0.554157018661499,0,0,0,0,-0.002284039,39
1,126,38.1,-1.10874307155609,-0.531092703342438,0,0,0,0,-0.002284039,39
1,127,38.4,-1.09371447563171,-0.504961311817169,0,0,0,0,-0.002284039,39
1,128,38.7,-1.07868587970734,-0.487417727708817,0,0,0,0,-0.002284039,39
1,129,39,-1.06365728378296,-0.491772949695587,0,0,0,0,-0.002284039,39
