Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,1,0.0174825545400381,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,1,2,0.018402673304081,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,2,3,0.0190160870552063,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,3,4,0.0196294989436865,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,4,5,0.019322793930769,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,5,6,0.0199362058192492,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,6,7,0.0205496177077293,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,7,8,0.0214697383344173,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,8,9,0.0211630314588547,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,9,10,0.020856324583292,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,10,11,0.0214697383344173,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,11,12,0.0226965621113777,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,12,13,0.0236166827380657,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,13,14,0.0239233877509832,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,14,15,0.0248435065150261,-3.06647621073353E-07,0,0,0,0,-0.002284039,41
0,15,16,0.0248435065150261,-3.06647621073353E-07,0,0,0,0,-0.002284039,41
0,16,17,0.0242300946265459,-3.06647621073353E-07,0,0,0,0,-0.002284039,41
0,17,18,0.0248435065150261,-2.45306353008345E-07,0,0,0,0,-0.002284039,41
0,18,19,0.0248435065150261,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,19,20,0.0242300946265459,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,20,21,0.0263770390301943,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,21,22,0.0325111672282219,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,22,23,0.0420190617442131,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,23,24,0.0625683888792992,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,24,25,0.0944658443331718,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,25,26,0.147219330072403,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,26,27,0.0613415613770485,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,27,28,0.0466196574270725,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,28,29,0.038031879812479,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,29,30,0.0337379910051823,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,30,31,0.0322044603526592,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,31,32,0.0398721173405647,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,32,33,0.0499934256076813,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,33,34,0.0631818026304245,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,34,35,0.068395808339119,-5.52012693333381E-07,0,0,0,0,-0.002284039,41
0,35,36,0.0745299309492111,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,36,37,0.0828110054135323,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,37,38,0.0917054861783981,-5.52012693333381E-07,0,0,0,0,-0.002284039,41
0,38,39,0.0567409656941891,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,39,40,0.0438592992722988,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,40,41,0.038952000439167,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,41,42,0.038952000439167,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,42,43,0.036498349159956,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,43,44,0.0346581116318703,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,44,45,0.0349648147821426,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,45,46,0.0343514047563076,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,46,47,0.0417123548686504,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,47,48,0.0432458892464638,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,48,49,0.0453928336501122,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,49,50,0.0484598949551582,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,50,51,0.0509135462343693,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,51,52,0.0515269599854946,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,52,53,0.0518336668610573,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,53,54,0.0530604906380177,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,54,55,0.0564342588186264,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,55,56,0.0555141419172287,-4.90671425268374E-07,0,0,0,0,-0.002284039,41
0,56,57,0.056127555668354,-4.90671425268374E-07,0,0,0,0,-0.002284039,41
0,57,58,0.0570476725697517,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,58,59,0.0588879100978374,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,59,60,0.0604214444756508,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,60,61,0.0616482682526112,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,61,62,0.0641019195318222,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,62,63,0.0656354501843452,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,63,64,0.0729964002966881,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,64,65,0.0613415613770485,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,65,66,0.0530604906380177,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,66,67,0.0601147376000881,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,67,68,0.068089097738266,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,68,69,0.0607281476259232,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,69,70,0.0591946169734001,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,70,71,0.0570476725697517,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,71,72,0.0539806112647057,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
