Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.01202,-0.000306412694044411,-0.00126976368483156,0,0,0,0,-0.002284039,38
0,1,0.02404,-0.00214665080420673,-0.00126761721912771,0,0,0,0,-0.002284039,38
0,2,0.03606,-0.00306676980108023,-0.00127399677876383,0,0,0,0,-0.002284039,38
0,3,0.04808,-0.00429359497502446,-0.00127957877703011,0,0,0,0,-0.002284039,38
0,4,0.0601,-0.00582712702453136,-0.00129178573843092,0,0,0,0,-0.002284039,38
0,5,0.07212,-0.0070539521984756,-0.0013039925834164,0,0,0,0,-0.002284039,38
0,6,0.08414,-0.00766736501827836,-0.00131583143956959,0,0,0,0,-0.002284039,38
0,7,0.09616,-0.00920089613646269,-0.00132552336435765,0,0,0,0,-0.002284039,38
0,8,0.10818,-0.0107344286516309,-0.00134276028256863,0,0,0,0,-0.002284039,38
0,9,0.1202,-0.0122679602354765,-0.00135699147358537,0,0,0,0,-0.002284039,38
0,10,0.13222,-0.0128813730552793,-0.00137214281130582,0,0,0,0,-0.002284039,38
0,11,0.14424,-0.0138014918193221,-0.00138821417931467,0,0,0,0,-0.002284039,38
0,12,0.15626,-0.0150283174589276,-0.0014022613177076,0,0,0,0,-0.002284039,38
0,13,0.16828,-0.0159484352916479,-0.00141962093766779,0,0,0,0,-0.002284039,38
0,14,0.1803,-0.0177886746823788,-0.00143612176179886,0,0,0,0,-0.002284039,38
0,15,0.19232,-0.018402086570859,-0.00144980079494417,0,0,0,0,-0.002284039,38
0,16,0.20434,-0.0199356190860271,-0.00146617891732603,0,0,0,0,-0.002284039,38
0,17,0.21636,-0.0214691497385502,-0.0014821890508756,0,0,0,0,-0.002284039,38
0,19,0.2404,-0.0239228010177612,-0.00151494529563934,0,0,0,0,-0.002284039,38
0,20,0.25242,-0.0248429197818041,-0.00153432902880013,0,0,0,0,-0.002284039,38
0,21,0.26444,-0.0260697454214096,-0.001550707151182,0,0,0,0,-0.002284039,38
0,22,0.27646,-0.0269898641854525,-0.00156457035336643,0,0,0,0,-0.002284039,38
0,23,0.28848,-0.0279099829494953,-0.00158426084090024,0,0,0,0,-0.002284039,38
0,24,0.3005,-0.0294435154646635,-0.00159708119463176,0,0,0,0,-0.002284039,38
0,25,0.31252,-0.0312837548553944,-0.00161493150517344,0,0,0,0,-0.002284039,38
0,26,0.32454,-0.0318971648812294,-0.0016310028731823,0,0,0,0,-0.002284039,38
0,27,0.33656,-0.0331239923834801,-0.0016495279269293,0,0,0,0,-0.002284039,38
0,28,0.34858,-0.0343508161604404,-0.00166486331727356,0,0,0,0,-0.002284039,38
0,29,0.3606,-0.0355776399374008,-0.00168504461180419,0,0,0,0,-0.002284039,38
0,30,0.37262,-0.0374178811907768,-0.00170350831467658,0,0,0,0,-0.002284039,38
0,31,0.38464,-0.0380312912166119,-0.00171829154714942,0,0,0,0,-0.002284039,38
0,32,0.39666,-0.0395648255944252,-0.00173626455944031,0,0,0,0,-0.002284039,38
0,33,0.40868,-0.0404849424958229,-0.00175589369609952,0,0,0,0,-0.002284039,38
0,34,0.4207,-0.0414050631225109,-0.001772639923729,0,0,0,0,-0.002284039,38
