Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.0118,-0.00091982533922419,-0.000284746114630252,0,0,0,0,-0.002284039,38
0,1,0.0236,-0.00183994439430535,-0.000343449704814702,0,0,0,0,-0.002284039,38
0,2,0.0354,-0.00337347597815096,-0.000389578344766051,0,0,0,0,-0.002284039,38
0,3,0.0472,-0.00398688856512308,-0.000440123549196869,0,0,0,0,-0.002284039,38
0,4,0.059,-0.00582712702453136,-0.000479627313325182,0,0,0,0,-0.002284039,38
0,5,0.0708,-0.0070539521984756,-0.000522259506396949,0,0,0,0,-0.002284039,38
0,6,0.0826,-0.00736065860837698,-0.000561824592296034,0,0,0,0,-0.002284039,38
0,7,0.0944,-0.0088941901922226,-0.000600530940573663,0,0,0,0,-0.002284039,38
0,8,0.1062,-0.0107344286516309,-0.000636231561657041,0,0,0,0,-0.002284039,38
0,9,0.118,-0.011041134595871,-0.00067610340192914,0,0,0,0,-0.002284039,38
0,10,0.1298,-0.0125746661797166,-0.000715055095497519,0,0,0,0,-0.002284039,38
0,11,0.1416,-0.0144149046391249,-0.000747075246181339,0,0,0,0,-0.002284039,38
0,12,0.1534,-0.0150283174589276,-0.0007846774533391,0,0,0,0,-0.002284039,38
0,13,0.1652,-0.0159484352916479,-0.000818108441308141,0,0,0,0,-0.002284039,38
0,14,0.177,-0.0177886746823788,-0.000851723423693329,0,0,0,0,-0.002284039,38
0,15,0.1888,-0.018402086570859,-0.000884847715497017,0,0,0,0,-0.002284039,38
0,16,0.2006,-0.0199356190860271,-0.000919628248084337,0,0,0,0,-0.002284039,38
0,17,0.2124,-0.02085573785007,-0.000953856681007892,0,0,0,0,-0.002284039,38
0,18,0.2242,-0.0220825634896755,-0.000986490165814757,0,0,0,0,-0.002284039,38
0,19,0.236,-0.0233093872666359,-0.00101709947921336,0,0,0,0,-0.002284039,38
0,20,0.2478,-0.0245362129062414,-0.00105329090729356,0,0,0,0,-0.002284039,38
0,21,0.2596,-0.0254563316702843,-0.00107862474396825,0,0,0,0,-0.002284039,38
0,22,0.2714,-0.0269898641854525,-0.00111266924068332,0,0,0,0,-0.002284039,38
0,23,0.2832,-0.0276032760739326,-0.00114156096242368,0,0,0,0,-0.002284039,38
0,24,0.295,-0.0288301017135382,-0.00116885779425502,0,0,0,0,-0.002284039,38
0,25,0.3068,-0.0300569273531437,-0.00120130728464574,0,0,0,0,-0.002284039,38
0,26,0.3186,-0.0315904580056667,-0.00122842018026859,0,0,0,0,-0.002284039,38
0,27,0.3304,-0.0325105786323547,-0.00125945883337408,0,0,0,0,-0.002284039,38
0,28,0.3422,-0.0340441092848778,-0.00128749175928533,0,0,0,0,-0.002284039,38
0,29,0.354,-0.0352709367871284,-0.00131920527201146,0,0,0,0,-0.002284039,38
0,30,0.3658,-0.0361910536885262,-0.00134496856480837,0,0,0,0,-0.002284039,38
0,31,0.3776,-0.0371111743152142,-0.00137435109354556,0,0,0,0,-0.002284039,38
0,32,0.3894,-0.0383379980921745,-0.00140097318217158,0,0,0,0,-0.002284039,38
0,33,0.4012,-0.0401782356202602,-0.00142710458021611,0,0,0,0,-0.002284039,38
0,34,0.413,-0.0410983562469482,-0.00145777512807399,0,0,0,0,-0.002284039,38
0,35,0.4248,-0.0423251800239086,-0.00148378382436931,0,0,0,0,-0.002284039,38
0,36,0.4366,-0.0432453006505966,-0.00150930183008313,0,0,0,0,-0.002284039,38
0,37,0.4484,-0.0441654175519943,-0.00153856165707111,0,0,0,0,-0.002284039,38
0,38,0.4602,-0.0460056588053703,-0.00156549050007015,0,0,0,0,-0.002284039,38
0,39,0.472,-0.0466190688312054,-0.00159039499703795,0,0,0,0,-0.002284039,38
0,40,0.4838,-0.0481526032090187,-0.00161824398674071,0,0,0,0,-0.002284039,38
0,41,0.4956,-0.0490727201104164,-0.00164351658895612,0,0,0,0,-0.002284039,38
0,42,0.5074,-0.0509129576385021,-0.00167075206991285,0,0,0,0,-0.002284039,38
0,43,0.5192,-0.0515263713896275,-0.00169485912192613,0,0,0,0,-0.002284039,38
0,44,0.531,-0.0527531951665878,-0.00172049982938915,0,0,0,0,-0.002284039,38
0,45,0.5428,-0.0536733157932758,-0.00174344144761562,0,0,0,0,-0.002284039,38
0,46,0.5546,-0.0549001395702362,-0.00177221046760678,0,0,0,0,-0.002284039,38
0,47,0.5664,-0.0564336739480495,-0.00179558154195547,0,0,0,0,-0.002284039,38
0,48,0.5782,-0.0576604977250099,-0.00182079279329628,0,0,0,0,-0.002284039,38
0,49,0.59,-0.0585806183516979,-0.00184882525354624,0,0,0,0,-0.002284039,38
0,50,0.6018,-0.0598074421286583,-0.00187520193867385,0,0,0,0,-0.002284039,38
0,51,0.6136,-0.0607275627553463,-0.00189912505447865,0,0,0,0,-0.002284039,38
0,52,0.6254,-0.0622610934078693,-0.00192304817028344,0,0,0,0,-0.002284039,38
0,53,0.6372,-0.0631812140345573,-0.00194758467841893,0,0,0,0,-0.002284039,38
0,54,0.649,-0.0644080340862274,-0.00196966761723161,0,0,0,0,-0.002284039,38
0,55,0.6608,-0.0656348615884781,-0.00199727108702064,0,0,0,0,-0.002284039,38
0,56,0.6726,-0.0668616890907288,-0.00201935390941799,0,0,0,0,-0.002284039,38
0,57,0.6844,-0.0674751028418541,-0.00204327702522278,0,0,0,0,-0.002284039,38
0,58,0.6962,-0.0693153366446495,-0.00206597335636616,0,0,0,0,-0.002284039,38
0,59,0.708,-0.0702354609966278,-0.00209173676557839,0,0,0,0,-0.002284039,38
0,60,0.7198,-0.0717689916491508,-0.00211443286389112,0,0,0,0,-0.002284039,38
0,61,0.7316,-0.0726891085505486,-0.00213835597969592,0,0,0,0,-0.002284039,38
0,62,0.7434,-0.0739159360527992,-0.00216289260424674,0,0,0,0,-0.002284039,38
0,63,0.7552,-0.0751427561044693,-0.00218190834857523,0,0,0,0,-0.002284039,38
0,64,0.767,-0.0760628804564476,-0.00220767175778747,0,0,0,0,-0.002284039,38
0,65,0.7788,-0.0772897005081177,-0.00222914107143879,0,0,0,0,-0.002284039,38
0,66,0.7906,-0.078209824860096,-0.00225306418724358,0,0,0,0,-0.002284039,38
0,67,0.8024,-0.079743355512619,-0.00227698730304837,0,0,0,0,-0.002284039,38
0,68,0.8142,-0.0809701830148697,-0.0022984566166997,0,0,0,0,-0.002284039,38
0,69,0.826,-0.0815835893154144,-0.00232237973250449,0,0,0,0,-0.002284039,38
0,70,0.8378,-0.0831171274185181,-0.00234568957239389,0,0,0,0,-0.002284039,38
0,71,0.8496,-0.0840372443199158,-0.00236409180797637,0,0,0,0,-0.002284039,38
0,72,0.8614,-0.0855707749724388,-0.00238862843252718,0,0,0,0,-0.002284039,38
0,73,0.8732,-0.0871043056249619,-0.00240825768560171,0,0,0,0,-0.002284039,38
0,74,0.885,-0.0877177193760872,-0.00243156729266047,0,0,0,0,-0.002284039,38
0,75,0.8968,-0.0889445468783379,-0.00245549040846527,0,0,0,0,-0.002284039,38
0,76,0.9086,-0.0904780775308609,-0.00247757323086262,0,0,0,0,-0.002284039,38
0,77,0.9204,-0.0920116081833839,-0.00249842926859856,0,0,0,0,-0.002284039,38
0,78,0.9322,-0.0926250219345093,-0.00252051209099591,0,0,0,0,-0.002284039,38
0,79,0.944,-0.0944652557373047,-0.00254075461998582,0,0,0,0,-0.002284039,38
0,80,0.9558,-0.09507866948843,-0.00256283767521381,0,0,0,0,-0.002284039,38
0,81,0.9676,-0.0963054969906807,-0.00258737406693399,0,0,0,0,-0.002284039,38
0,82,0.9794,-0.0978390276432037,-0.0026057765353471,0,0,0,0,-0.002284039,38
0,83,0.9912,-0.0984524413943291,-0.00262785935774446,0,0,0,0,-0.002284039,38
0,84,1.003,-0.100599385797977,-0.00256038387306035,0,0,0,0,-0.002284039,38
0,85,1.0148,-0.10090608894825,-0.00266895792447031,0,0,0,0,-0.002284039,38
0,86,1.0266,-0.102439627051353,-0.00269165425561368,0,0,0,0,-0.002284039,38
0,87,1.0384,-0.103359743952751,-0.0027118967846036,0,0,0,0,-0.002284039,38
0,88,1.0502,-0.103973157703877,-0.00273643340915442,0,0,0,0,-0.002284039,38
0,89,1.062,-0.1055066883564,-0.00275483564473689,0,0,0,0,-0.002284039,38
0,90,1.0738,-0.107040219008923,-0.00277446489781141,0,0,0,0,-0.002284039,38
0,91,1.0856,-0.10796033591032,-0.00279654772020876,0,0,0,0,-0.002284039,38
0,92,1.0974,-0.108880460262299,-0.00281617697328329,0,0,0,0,-0.002284039,38
0,93,1.1092,-0.110413990914822,-0.00284132687374949,0,0,0,0,-0.002284039,38
0,94,1.121,-0.111640810966492,-0.00285911583341658,0,0,0,0,-0.002284039,38
0,95,1.1328,-0.11256093531847,-0.00288303894922137,0,0,0,0,-0.002284039,38
0,96,1.1446,-0.114094465970993,-0.00290082790888846,0,0,0,0,-0.002284039,38
0,97,1.1564,-0.115014582872391,-0.00292413774877787,0,0,0,0,-0.002284039,38
0,98,1.1682,-0.116548113524914,-0.00294131319969893,0,0,0,0,-0.002284039,38
0,99,1.18,-0.117161527276039,-0.00296094245277345,0,0,0,0,-0.002284039,38
0,100,1.1918,-0.119001768529415,-0.00298363878391683,0,0,0,0,-0.002284039,38
0,101,1.2036,-0.119921885430813,-0.00300326780416071,0,0,0,0,-0.002284039,38
0,102,1.2154,-0.120842002332211,-0.00302167027257383,0,0,0,0,-0.002284039,38
0,103,1.2272,-0.122068829834461,-0.00304191280156374,0,0,0,0,-0.002284039,38
0,104,1.239,-0.123295657336712,-0.00305847497656941,0,0,0,0,-0.002284039,38
0,105,1.2508,-0.12421577423811,-0.00308301160112023,0,0,0,0,-0.002284039,38
0,106,1.2626,-0.125749304890633,-0.00309957377612591,0,0,0,0,-0.002284039,38
0,107,1.2744,-0.126362711191177,-0.00312717724591494,0,0,0,0,-0.002284039,38
0,108,1.2862,-0.128202959895134,-0.00314128585159779,0,0,0,0,-0.002284039,38
0,109,1.298,-0.128816366195679,-0.00316030159592628,0,0,0,0,-0.002284039,38
0,110,1.3098,-0.130963310599327,-0.00318177090957761,0,0,0,0,-0.002284039,38
0,111,1.3216,-0.131576731801033,-0.00319833308458328,0,0,0,0,-0.002284039,38
0,112,1.3334,-0.132496848702431,-0.0032228697091341,0,0,0,0,-0.002284039,38
0,113,1.3452,-0.133723676204681,-0.00323881837539375,0,0,0,0,-0.002284039,38
