Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.00551,-0.00122653169091791,-2.00990798475686E-05,0,0,0,0,-0.002284039,38
0,1,0.01102,-0.00091982533922419,-2.00990798475686E-05,0,0,0,0,-0.002284039,38
0,2,0.01653,-0.00276006339117885,-0.000200990791199729,0,0,0,0,-0.002284039,38
0,4,0.02755,-0.0052137142047286,-0.000261988490819931,0,0,0,0,-0.002284039,38
0,5,0.03306,-0.00644053937867284,-0.000286709022475407,0,0,0,0,-0.002284039,38
0,6,0.03857,-0.00736065860837698,-0.000305479450616986,0,0,0,0,-0.002284039,38
0,7,0.04408,-0.0085874842479825,-0.000325722066918388,0,0,0,0,-0.002284039,38
0,8,0.04959,-0.00981430895626545,-0.000344615196809173,0,0,0,0,-0.002284039,38
0,9,0.0551,-0.0107344286516309,-0.000361177313607186,0,0,0,0,-0.002284039,38
0,10,0.06061,-0.0119612533599138,-0.000377984833903611,0,0,0,0,-0.002284039,38
0,11,0.06612,-0.0128813730552793,-0.000389455643016845,0,0,0,0,-0.002284039,38
0,12,0.07163,-0.0141081977635622,-0.000400497083319351,0,0,0,0,-0.002284039,38
0,13,0.07714,-0.0150283174589276,-0.000413194735301659,0,0,0,0,-0.002284039,38
0,14,0.08265,-0.0165618490427732,-0.000426873826654628,0,0,0,0,-0.002284039,38
0,15,0.08816,-0.0174819678068161,-0.000434848188888282,0,0,0,0,-0.002284039,38
0,16,0.09367,-0.018402086570859,-0.000447177793830633,0,0,0,0,-0.002284039,38
0,17,0.09918,-0.0199356190860271,-0.000454845430795103,0,0,0,0,-0.002284039,38
0,18,0.10469,-0.0202423240989447,-0.000463065167423338,0,0,0,0,-0.002284039,38
0,19,0.1102,-0.0211624447256327,-0.000474045256851241,0,0,0,0,-0.002284039,38
0,20,0.11571,-0.0226959753781557,-0.0004821423208341,0,0,0,0,-0.002284039,38
0,21,0.12122,-0.0236160941421986,-0.000487294979393482,0,0,0,0,-0.002284039,38
0,22,0.12673,-0.0251496266573668,-0.000496925553306937,0,0,0,0,-0.002284039,38
0,23,0.13224,-0.0260697454214096,-0.000501955510117114,0,0,0,0,-0.002284039,38
0,24,0.13775,-0.0269898641854525,-0.000508273660670966,0,0,0,0,-0.002284039,38
0,25,0.14326,-0.0285233967006207,-0.000518701679538935,0,0,0,0,-0.002284039,38
0,26,0.14877,-0.029750220477581,-0.000521646055858582,0,0,0,0,-0.002284039,38
0,27,0.15428,-0.030670341104269,-0.000528025557287037,0,0,0,0,-0.002284039,38
0,28,0.15979,-0.0315904580056667,-0.000534589111339301,0,0,0,0,-0.002284039,38
0,29,0.1653,-0.0325105786323547,-0.000538637628778815,0,0,0,0,-0.002284039,38
0,30,0.17081,-0.0337374024093151,-0.000544587732292712,0,0,0,0,-0.002284039,38
0,31,0.17632,-0.0349642299115658,-0.000548636249732226,0,0,0,0,-0.002284039,38
0,32,0.18183,-0.0364977605640888,-0.000555138394702226,0,0,0,0,-0.002284039,38
0,33,0.18734,-0.0364977605640888,-0.000559800362680107,0,0,0,0,-0.002284039,38
0,34,0.19285,-0.0383379980921745,-0.000566425209399313,0,0,0,0,-0.002284039,38
0,35,0.19836,-0.0392581187188625,-0.000568878836929798,0,0,0,0,-0.002284039,38
0,36,0.20387,-0.0407916493713856,-0.00057378615019843,0,0,0,0,-0.002284039,38
0,37,0.20938,-0.0420184731483459,-0.000576485181227326,0,0,0,0,-0.002284039,38
0,38,0.21489,-0.0426318868994713,-0.000580410996917635,0,0,0,0,-0.002284039,38
0,39,0.2204,-0.0441654175519943,-0.000587403948884457,0,0,0,0,-0.002284039,38
0,40,0.22591,-0.0447788313031197,-0.000587833288591355,0,0,0,0,-0.002284039,38
0,41,0.23142,-0.0460056588053703,-0.000593476695939898,0,0,0,0,-0.002284039,38
0,42,0.23693,-0.046925775706768,-0.000597034522797912,0,0,0,0,-0.002284039,38
0,43,0.24244,-0.0484593063592911,-0.000598752056248486,0,0,0,0,-0.002284039,38
0,44,0.24795,-0.0499928407371044,-0.000602125830482692,0,0,0,0,-0.002284039,38
0,45,0.25346,-0.0506062507629395,-0.000606297049671412,0,0,0,0,-0.002284039,38
0,46,0.25897,-0.0512196645140648,-0.000611817755270749,0,0,0,0,-0.002284039,38
0,47,0.26448,-0.0530599020421505,-0.000612553849350661,0,0,0,0,-0.002284039,38
0,48,0.26999,-0.0536733157932758,-0.00062040553893894,0,0,0,0,-0.002284039,38
0,49,0.2755,-0.0545934364199638,-0.000620589533355087,0,0,0,0,-0.002284039,38
0,50,0.28101,-0.0558202601969242,-0.00062181637622416,0,0,0,0,-0.002284039,38
0,51,0.28652,-0.0573537908494473,-0.00062807317590341,0,0,0,0,-0.002284039,38
0,52,0.29203,-0.0579672046005726,-0.000630772206932306,0,0,0,0,-0.002284039,38
0,53,0.29754,-0.0595007352530956,-0.000633348536211997,0,0,0,0,-0.002284039,38
0,54,0.30305,-0.0598074421286583,-0.000635372824035585,0,0,0,0,-0.002284039,38
0,55,0.30856,-0.061647679656744,-0.000640402780845761,0,0,0,0,-0.002284039,38
0,56,0.31407,-0.0619543865323067,-0.000643531209789217,0,0,0,0,-0.002284039,38
0,57,0.31958,-0.0637946277856827,-0.000646904925815761,0,0,0,0,-0.002284039,38
0,58,0.32509,-0.0650214478373528,-0.000649972003884614,0,0,0,0,-0.002284039,38
0,59,0.3306,-0.0656348615884781,-0.000653039081953466,0,0,0,0,-0.002284039,38
0,60,0.33611,-0.0665549784898758,-0.000653591123409569,0,0,0,0,-0.002284039,38
0,61,0.34162,-0.0680885165929794,-0.000660706718917936,0,0,0,0,-0.002284039,38
0,62,0.34713,-0.0690086334943771,-0.000660829420667142,0,0,0,0,-0.002284039,38
