Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.1,0,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,1,0.2,-0.0101213091984391,-0.000981460325419903,0,0,0,0,-0.002284039,39
0,2,0.3,-0.0199359115213156,-0.00134950794745237,0,0,0,0,-0.002284039,39
0,3,0.4,-0.0300572216510773,-0.00171755545306951,0,0,0,0,-0.002284039,39
0,4,0.5,-0.0401785299181938,-0.00214694440364838,0,0,0,0,-0.002284039,39
0,5,0.6,-0.049993135035038,-0.00245365081354976,0,0,0,0,-0.002284039,39
0,6,0.7,-0.0601144433021545,-0.00276035699062049,0,0,0,0,-0.002284039,39
0,7,0.8,-0.0699290484189987,-0.00306706340052187,0,0,0,0,-0.002284039,39
0,8,0.9,-0.0800503566861153,-0.00331242848187685,0,0,0,0,-0.002284039,39
0,9,1,-0.0898649543523788,-0.00361913489177823,0,0,0,0,-0.002284039,39
0,10,1.1,-0.099986270070076,-0.00386449997313321,0,0,0,0,-0.002284039,39
0,11,1.2,-0.110107578337193,-0.00410986505448818,0,0,0,0,-0.002284039,39
0,12,1.3,-0.119922176003456,-0.00441657146438956,0,0,0,0,-0.002284039,39
0,13,1.4,-0.130043491721153,-0.00466193631291389,0,0,0,0,-0.002284039,39
0,14,1.5,-0.139858096837997,-0.00490730162709951,0,0,0,0,-0.002284039,39
0,15,1.6,-0.149979397654533,-0.00515266647562385,0,0,0,0,-0.002284039,39
0,16,1.7,-0.160100713372231,-0.00539803178980947,0,0,0,0,-0.002284039,39
0,17,1.8,-0.169915318489075,-0.0056433966383338,0,0,0,0,-0.002284039,39
0,18,1.9,-0.180036619305611,-0.00582742039114237,0,0,0,0,-0.002284039,39
0,19,2,-0.189851224422455,-0.00607278570532799,0,0,0,0,-0.002284039,39
0,20,2.1,-0.199972540140152,-0.00631815055385232,0,0,0,0,-0.002284039,39
0,21,2.2,-0.209787130355835,-0.00656351586803794,0,0,0,0,-0.002284039,39
0,22,2.3,-0.219908446073532,-0.00674753962084651,0,0,0,0,-0.002284039,39
0,23,2.4,-0.230029761791229,-0.00699290446937084,0,0,0,0,-0.002284039,39
0,24,2.5,-0.239844352006912,-0.00723826978355646,0,0,0,0,-0.002284039,39
0,25,2.6,-0.249965667724609,-0.00748363463208079,0,0,0,0,-0.002284039,39
0,26,2.7,-0.259780257940292,-0.00766765838488936,0,0,0,0,-0.002284039,39
0,27,2.8,-0.26990157365799,-0.00785168260335922,0,0,0,0,-0.002284039,39
0,28,2.9,-0.279716193675995,-0.00809704698622227,0,0,0,0,-0.002284039,39
0,29,3,-0.28983747959137,-0.00828107073903084,0,0,0,0,-0.002284039,39
0,30,3.1,-0.299958795309067,-0.00852643605321646,0,0,0,0,-0.002284039,39
0,31,3.2,-0.309773415327072,-0.00871045980602503,0,0,0,0,-0.002284039,39
0,32,3.3,-0.319894701242447,-0.0088944835588336,0,0,0,0,-0.002284039,39
0,33,3.4,-0.329709321260452,-0.00913984887301922,0,0,0,0,-0.002284039,39
0,34,3.5,-0.339830636978149,-0.00932387262582779,0,0,0,0,-0.002284039,39
0,35,3.6,-0.349951922893524,-0.00956923794001341,0,0,0,0,-0.002284039,39
0,36,3.7,-0.35976654291153,-0.00975326169282198,0,0,0,0,-0.002284039,39
0,37,3.8,-0.369887858629227,-0.00993728544563055,0,0,0,0,-0.002284039,39
0,38,3.9,-0.37970244884491,-0.0101213091984391,0,0,0,0,-0.002284039,39
0,39,4,-0.389823764562607,-0.0103053329512477,0,0,0,0,-0.002284039,39
0,40,4.1,-0.39963835477829,-0.0105506982654333,0,0,0,0,-0.002284039,39
0,41,4.2,-0.409759670495987,-0.0107347220182419,0,0,0,0,-0.002284039,39
0,42,4.3,-0.419880986213684,-0.0109187457710505,0,0,0,0,-0.002284039,39
0,43,4.4,-0.429695576429367,-0.011102769523859,0,0,0,0,-0.002284039,39
0,44,4.5,-0.439816892147064,-0.0112867932766676,0,0,0,0,-0.002284039,39
0,45,4.6,-0.449631482362747,-0.0114708170294762,0,0,0,0,-0.002284039,39
0,46,4.7,-0.459752798080444,-0.0116548407822847,0,0,0,0,-0.002284039,39
0,47,4.8,-0.469874113798141,-0.0118388645350933,0,0,0,0,-0.002284039,39
0,48,4.9,-0.479688704013824,-0.0120842298492789,0,0,0,0,-0.002284039,39
0,49,5,-0.489810019731522,-0.0122069120407104,0,0,0,0,-0.002284039,39
0,50,5.1,-0.499624639749527,-0.0124522773548961,0,0,0,0,-0.002284039,39
0,51,5.2,-0.509745955467224,-0.0126363011077046,0,0,0,0,-0.002284039,39
0,52,5.3,-0.519560515880585,-0.0128203248605132,0,0,0,0,-0.002284039,39
0,53,5.4,-0.529681861400604,-0.0130043486133218,0,0,0,0,-0.002284039,39
0,54,5.5,-0.539803147315979,-0.0131883723661304,0,0,0,0,-0.002284039,39
0,55,5.6,-0.549617767333984,-0.013433737680316,0,0,0,0,-0.002284039,39
0,56,5.7,-0.559739053249359,-0.0136177614331245,0,0,0,0,-0.002284039,39
0,57,5.8,-0.569553673267365,-0.0138017851859331,0,0,0,0,-0.002284039,39
0,58,5.9,-0.579674959182739,-0.0140471505001187,0,0,0,0,-0.002284039,39
0,59,6,-0.589489579200745,-0.0142311742529273,0,0,0,0,-0.002284039,39
0,60,6.1,-0.599610924720764,-0.0144151980057359,0,0,0,0,-0.002284039,39
0,61,6.2,-0.609732210636139,-0.0146605633199215,0,0,0,0,-0.002284039,39
0,62,6.3,-0.619546830654144,-0.014783245511353,0,0,0,0,-0.002284039,39
0,63,6.4,-0.629668116569519,-0.0150286108255386,0,0,0,0,-0.002284039,39
0,64,6.5,-0.639482736587524,-0.0152126345783472,0,0,0,0,-0.002284039,39
0,65,6.6,-0.649604022502899,-0.0153966583311558,0,0,0,0,-0.002284039,39
0,66,6.7,-0.659725308418274,-0.0156420227140188,0,0,0,0,-0.002284039,39
0,67,6.8,-0.669539928436279,-0.0158260464668274,0,0,0,0,-0.002284039,39
0,68,6.9,-0.679661273956299,-0.0160714127123356,0,0,0,0,-0.002284039,39
0,69,7,-0.689475834369659,-0.0162554364651442,0,0,0,0,-0.002284039,39
0,70,7.1,-0.699597179889679,-0.0164394602179527,0,0,0,0,-0.002284039,39
0,71,7.2,-0.70941174030304,-0.0166848246008158,0,0,0,0,-0.002284039,39
0,72,7.3,-0.719533085823059,-0.0168688483536243,0,0,0,0,-0.002284039,39
0,73,7.4,-0.729347705841064,-0.0171142145991325,0,0,0,0,-0.002284039,39
0,74,7.5,-0.739468991756439,-0.0172982383519411,0,0,0,0,-0.002284039,39
0,75,7.6,-0.749590277671814,-0.0175436027348042,0,0,0,0,-0.002284039,39
0,76,7.7,-0.759404897689819,-0.0177889671176672,0,0,0,0,-0.002284039,39
0,77,7.8,-0.769526183605194,-0.0179729908704758,0,0,0,0,-0.002284039,39
0,78,7.9,-0.779340803623199,-0.018218357115984,0,0,0,0,-0.002284039,39
0,79,8,-0.789462149143219,-0.0184023808687925,0,0,0,0,-0.002284039,39
0,80,8.1,-0.799583435058594,-0.0185864046216011,0,0,0,0,-0.002284039,39
0,81,8.2,-0.809398055076599,-0.0188317690044641,0,0,0,0,-0.002284039,39
0,82,8.3,-0.819519340991974,-0.0190157927572727,0,0,0,0,-0.002284039,39
0,83,8.4,-0.829333961009979,-0.0192611590027809,0,0,0,0,-0.002284039,39
0,84,8.5,-0.839455246925354,-0.019506523385644,0,0,0,0,-0.002284039,39
0,85,8.6,-0.849269866943359,-0.0196905471384525,0,0,0,0,-0.002284039,39
0,86,8.7,-0.859391152858734,-0.0199359115213156,0,0,0,0,-0.002284039,39
0,87,8.8,-0.869512498378754,-0.0200585946440697,0,0,0,0,-0.002284039,39
0,88,8.9,-0.879327058792114,-0.0203039590269327,0,0,0,0,-0.002284039,39
0,89,9,-0.889448404312134,-0.0205493252724409,0,0,0,0,-0.002284039,39
0,90,9.1,-0.899569690227509,-0.0207333490252495,0,0,0,0,-0.002284039,39
0,91,9.2,-0.909384310245514,-0.0209173727780581,0,0,0,0,-0.002284039,39
0,92,9.3,-0.919505596160889,-0.0211013965308666,0,0,0,0,-0.002284039,39
0,93,9.4,-0.929320216178894,-0.0213467609137297,0,0,0,0,-0.002284039,39
0,94,9.5,-0.939441502094269,-0.0215307846665382,0,0,0,0,-0.002284039,39
0,95,9.6,-0.949256122112274,-0.0217148084193468,0,0,0,0,-0.002284039,39
0,96,9.7,-0.959377408027649,-0.021960174664855,0,0,0,0,-0.002284039,39
