Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.0055,-0.00122682540677488,-0.000331733579514548,0,0,0,0,-0.002284039,38
0,1,0.011,-0.00214694440364838,-0.000339033198542893,0,0,0,0,-0.002284039,38
0,2,0.0165,-0.00368047598749399,-0.000339401245582849,0,0,0,0,-0.002284039,38
0,3,0.022,-0.00429388880729675,-0.000338174402713776,0,0,0,0,-0.002284039,38
0,4,0.0275,-0.00552071398124099,-0.00033897184766829,0,0,0,0,-0.002284039,38
0,5,0.033,-0.00705424603074789,-0.000341609527822584,0,0,0,0,-0.002284039,38
0,6,0.0385,-0.00766765838488936,-0.000336763565428555,0,0,0,0,-0.002284039,38
0,7,0.044,-0.00920119043439627,-0.00034338841214776,0,0,0,0,-0.002284039,38
0,8,0.0495,-0.0101213091984391,-0.000344983302056789,0,0,0,0,-0.002284039,38
0,9,0.055,-0.0113481348380446,-0.000344921951182187,0,0,0,0,-0.002284039,38
0,10,0.0605,-0.0122682536020875,-0.000347682303981856,0,0,0,0,-0.002284039,38
0,11,0.066,-0.013495079241693,-0.000351240101736039,0,0,0,0,-0.002284039,38
0,12,0.0715,-0.0144151980057359,-0.000352098868461326,0,0,0,0,-0.002284039,38
0,13,0.077,-0.0153353167697787,-0.00035798765020445,0,0,0,0,-0.002284039,38
0,14,0.0825,-0.0168688483536243,-0.000356944830855355,0,0,0,0,-0.002284039,38
0,15,0.088,-0.0177889671176672,-0.000358969089575112,0,0,0,0,-0.002284039,38
0,16,0.0935,-0.0187090858817101,-0.000364919193089008,0,0,0,0,-0.002284039,38
0,17,0.099,-0.0199359115213156,-0.000361729471478611,0,0,0,0,-0.002284039,38
0,18,0.1045,-0.0211627371609211,-0.000366084685083479,0,0,0,0,-0.002284039,38
0,19,0.11,-0.0217761509120464,-0.000372096139471978,0,0,0,0,-0.002284039,38
0,20,0.1155,-0.0233096815645695,-0.000371114670997486,0,0,0,0,-0.002284039,38
0,21,0.121,-0.0239230953156948,-0.000375531235476956,0,0,0,0,-0.002284039,38
0,22,0.1265,-0.0254566259682179,-0.000379273056751117,0,0,0,0,-0.002284039,38
0,23,0.132,-0.0260700397193432,-0.000381788064260036,0,0,0,0,-0.002284039,38
0,24,0.1375,-0.0279102772474289,-0.000379027682356536,0,0,0,0,-0.002284039,38
0,25,0.143,-0.0288303960114717,-0.000385284511139616,0,0,0,0,-0.002284039,38
0,26,0.1485,-0.0300572216510773,-0.000389333028579131,0,0,0,0,-0.002284039,38
0,27,0.154,-0.0306706335395575,-0.000392952177207917,0,0,0,0,-0.002284039,38
0,28,0.1595,-0.031897459179163,-0.000393810943933204,0,0,0,0,-0.002284039,38
0,29,0.165,-0.0331242829561234,-0.000397859461372718,0,0,0,0,-0.002284039,38
0,30,0.1705,-0.034351110458374,-0.000403502868721262,0,0,0,0,-0.002284039,38
0,31,0.176,-0.0352712273597717,-0.000404177611926571,0,0,0,0,-0.002284039,38
0,32,0.1815,-0.0364980548620224,-0.000407796760555357,0,0,0,0,-0.002284039,38
0,33,0.187,-0.0377248786389828,-0.000413010769989342,0,0,0,0,-0.002284039,38
0,34,0.1925,-0.0386449992656708,-0.000417181960074231,0,0,0,0,-0.002284039,38
0,35,0.198,-0.0395651161670685,-0.000417427334468812,0,0,0,0,-0.002284039,38
0,36,0.2035,-0.0407919436693192,-0.000420617085183039,0,0,0,0,-0.002284039,38
0,37,0.209,-0.0410986505448818,-0.000425401696702465,0,0,0,0,-0.002284039,38
0,38,0.2145,-0.0432455949485302,-0.000428652769187465,0,0,0,0,-0.002284039,38
0,39,0.22,-0.0441657118499279,-0.000430554355261847,0,0,0,0,-0.002284039,38
0,40,0.2255,-0.0450858324766159,-0.000433805456850678,0,0,0,0,-0.002284039,38
0,41,0.231,-0.0469260700047016,-0.000439326162450016,0,0,0,0,-0.002284039,38
0,42,0.2365,-0.047539483755827,-0.000439878233009949,0,0,0,0,-0.002284039,38
0,43,0.242,-0.0487663075327873,-0.000440798350609839,0,0,0,0,-0.002284039,38
0,44,0.2475,-0.0496864281594753,-0.000449570157798007,0,0,0,0,-0.002284039,38
0,45,0.253,-0.0509132519364357,-0.000448527338448912,0,0,0,0,-0.002284039,38
0,46,0.2585,-0.0521400794386864,-0.000453802698757499,0,0,0,0,-0.002284039,38
