Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.0118,-0.00153323798440397,-0.000300020095892251,0,0,0,0,-0.002284039,38
0,1,0.0236,-0.00245335698127747,-0.000365471205441281,0,0,0,0,-0.002284039,38
0,2,0.0354,-0.00398688856512308,-0.000422825309215114,0,0,0,0,-0.002284039,38
0,3,0.0472,-0.00490700779482722,-0.000473615858936682,0,0,0,0,-0.002284039,38
0,4,0.059,-0.00582712702453136,-0.000528516306076199,0,0,0,0,-0.002284039,38
0,5,0.0708,-0.00674724578857422,-0.000574890291318297,0,0,0,0,-0.002284039,38
0,6,0.0826,-0.00797407142817974,-0.000627398432698101,0,0,0,0,-0.002284039,38
0,7,0.0944,-0.0085874842479825,-0.000665000639855862,0,0,0,0,-0.002284039,38
0,8,0.1062,-0.0107344286516309,-0.000711804023012519,0,0,0,0,-0.002284039,38
0,9,0.118,-0.011041134595871,-0.000752473250031471,0,0,0,0,-0.002284039,38
0,10,0.1298,-0.0128813730552793,-0.000795289466623217,0,0,0,0,-0.002284039,38
0,11,0.1416,-0.0138014918193221,-0.000835406652186066,0,0,0,0,-0.002284039,38
0,12,0.1534,-0.0150283174589276,-0.000874665100127459,0,0,0,0,-0.002284039,38
0,13,0.1652,-0.0159484352916479,-0.000912451301701367,0,0,0,0,-0.002284039,38
0,14,0.177,-0.0171752609312534,-0.000954408722463995,0,0,0,0,-0.002284039,38
0,15,0.1888,-0.018402086570859,-0.000988330459222198,0,0,0,0,-0.002284039,38
0,16,0.2006,-0.0196289122104645,-0.00102212943602353,0,0,0,0,-0.002284039,38
0,17,0.2124,-0.02085573785007,-0.0010631054174155,0,0,0,0,-0.002284039,38
0,18,0.2242,-0.0214691497385502,-0.00109770195558667,0,0,0,0,-0.002284039,38
0,19,0.236,-0.0230026822537184,-0.0011373283341527,0,0,0,0,-0.002284039,38
0,20,0.2478,-0.0242295078933239,-0.0011675083078444,0,0,0,0,-0.002284039,38
0,21,0.2596,-0.0257630385458469,-0.00120142998639494,0,0,0,0,-0.002284039,38
0,22,0.2714,-0.0266831573098898,-0.0012356584193185,0,0,0,0,-0.002284039,38
0,23,0.2832,-0.0279099829494953,-0.00127307663206011,0,0,0,0,-0.002284039,38
0,24,0.295,-0.0294435154646635,-0.00130215240642428,0,0,0,0,-0.002284039,38
0,25,0.3068,-0.0303636342287064,-0.00133711693342775,0,0,0,0,-0.002284039,38
0,26,0.3186,-0.0315904580056667,-0.00136821693740785,0,0,0,0,-0.002284039,38
0,27,0.3304,-0.0328172855079174,-0.00139968504663557,0,0,0,0,-0.002284039,38
0,28,0.3422,-0.0340441092848778,-0.00143385212868452,0,0,0,0,-0.002284039,38
0,29,0.354,-0.0349642299115658,-0.00146133301313967,0,0,0,0,-0.002284039,38
0,30,0.3658,-0.0361910536885262,-0.00149556144606322,0,0,0,0,-0.002284039,38
0,31,0.3776,-0.0374178811907768,-0.00152236758731306,0,0,0,0,-0.002284039,38
0,32,0.3894,-0.0386447049677372,-0.00155500113032758,0,0,0,0,-0.002284039,38
0,33,0.4012,-0.0398715287446976,-0.00158426084090024,0,0,0,0,-0.002284039,38
0,34,0.413,-0.0410983562469482,-0.00161450216546655,0,0,0,0,-0.002284039,38
0,35,0.4248,-0.0420184731483459,-0.0016430871328339,0,0,0,0,-0.002284039,38
0,36,0.4366,-0.0432453006505966,-0.00167388049885631,0,0,0,0,-0.002284039,38
0,37,0.4484,-0.0447788313031197,-0.0017052871407941,0,0,0,0,-0.002284039,38
0,38,0.4602,-0.0456989519298077,-0.00173221598379314,0,0,0,0,-0.002284039,38
0,39,0.472,-0.046925775706768,-0.00175908347591758,0,0,0,0,-0.002284039,38
0,40,0.4838,-0.0481526032090187,-0.00178963143844157,0,0,0,0,-0.002284039,38
0,41,0.4956,-0.0493794269859791,-0.00181833910755813,0,0,0,0,-0.002284039,38
0,42,0.5074,-0.0499928407371044,-0.00184821186121553,0,0,0,0,-0.002284039,38
0,43,0.5192,-0.0515263713896275,-0.00187826901674271,0,0,0,0,-0.002284039,38
0,44,0.531,-0.0524464920163155,-0.00190587260294706,0,0,0,0,-0.002284039,38
0,45,0.5428,-0.0539800226688385,-0.00193102250341326,0,0,0,0,-0.002284039,38
0,46,0.5546,-0.0555135533213615,-0.00195923959836364,0,0,0,0,-0.002284039,38
0,47,0.5664,-0.0558202601969242,-0.00198684306815267,0,0,0,0,-0.002284039,38
0,48,0.5782,-0.0579672046005726,-0.0020126064773649,0,0,0,0,-0.002284039,38
