Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.0045,-0.00091982533922419,-0.000295971549348906,0,0,0,0,-0.002284039,38
0,1,0.009,-0.00183994439430535,-0.000300878862617537,0,0,0,0,-0.002284039,38
0,2,0.0135,-0.00276006339117885,-0.000301430933177471,0,0,0,0,-0.002284039,38
0,3,0.018,-0.00368018238805234,-0.000307687732856721,0,0,0,0,-0.002284039,38
0,4,0.0225,-0.00460030138492584,-0.000304436660371721,0,0,0,0,-0.002284039,38
0,5,0.027,-0.00552042061462998,-0.000303761888062581,0,0,0,0,-0.002284039,38
0,6,0.0315,-0.00644053937867284,-0.000306583591736853,0,0,0,0,-0.002284039,38
0,7,0.036,-0.00736065860837698,-0.000308730552205816,0,0,0,0,-0.002284039,38
0,8,0.0405,-0.00797407142817974,-0.000309957365971059,0,0,0,0,-0.002284039,38
0,9,0.045,-0.00920089613646269,-0.000312226999085397,0,0,0,0,-0.002284039,38
0,10,0.0495,-0.00950760301202536,-0.000311184179736301,0,0,0,0,-0.002284039,38
0,11,0.054,-0.0101210158318281,-0.000314741977490485,0,0,0,0,-0.002284039,38
0,12,0.0585,-0.0116545474156737,-0.000317563681164756,0,0,0,0,-0.002284039,38
0,13,0.063,-0.0122679602354765,-0.000317747704684734,0,0,0,0,-0.002284039,38
0,14,0.0675,-0.0134947849437594,-0.000322225620038807,0,0,0,0,-0.002284039,38
0,15,0.072,-0.0144149046391249,-0.0003264581609983,0,0,0,0,-0.002284039,38
0,16,0.0765,-0.0159484352916479,-0.000323391112033278,0,0,0,0,-0.002284039,38
0,17,0.081,-0.0156417302787304,-0.000329341215547174,0,0,0,0,-0.002284039,38
0,18,0.0855,-0.0168685559183359,-0.000328850466758013,0,0,0,0,-0.002284039,38
0,19,0.09,-0.0177886746823788,-0.00032854377059266,0,0,0,0,-0.002284039,38
0,20,0.0945,-0.0190155003219843,-0.000336334109306335,0,0,0,0,-0.002284039,38
0,21,0.099,-0.0196289122104645,-0.000339339836500585,0,0,0,0,-0.002284039,38
0,22,0.1035,-0.0202423240989447,-0.000341057399054989,0,0,0,0,-0.002284039,38
0,23,0.108,-0.0214691497385502,-0.00034596468321979,0,0,0,0,-0.002284039,38
0,24,0.1125,-0.0220825634896755,-0.000346946151694283,0,0,0,0,-0.002284039,38
0,25,0.117,-0.0226959753781557,-0.000346700777299702,0,0,0,0,-0.002284039,38
