Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.017,-0.00122653169091791,-0.000587219896260649,0,0,0,0,-0.002284039,38
0,1,0.034,-0.00337347597815096,-0.00065567676210776,0,0,0,0,-0.002284039,38
0,2,0.051,-0.00460030138492584,-0.00071904226206243,0,0,0,0,-0.002284039,38
0,3,0.068,-0.00674724578857422,-0.000783880008384585,0,0,0,0,-0.002284039,38
0,4,0.085,-0.00797407142817974,-0.000846264068968594,0,0,0,0,-0.002284039,38
0,5,0.102,-0.0101210158318281,-0.000904906308278441,0,0,0,0,-0.002284039,38
0,6,0.119,-0.0116545474156737,-0.000965695537161082,0,0,0,0,-0.002284039,38
0,7,0.136,-0.0128813730552793,-0.00102409243118018,0,0,0,0,-0.002284039,38
0,8,0.153,-0.014721610583365,-0.00107991299591959,0,0,0,0,-0.002284039,38
0,9,0.17,-0.0162551421672106,-0.00113444530870765,0,0,0,0,-0.002284039,38
0,10,0.187,-0.018402086570859,-0.00119167671073228,0,0,0,0,-0.002284039,38
0,11,0.204,-0.0202423240989447,-0.00124651589430869,0,0,0,0,-0.002284039,38
0,12,0.221,-0.0217758566141129,-0.0012969997478649,0,0,0,0,-0.002284039,38
0,13,0.238,-0.0233093872666359,-0.00135159341152757,0,0,0,0,-0.002284039,38
0,14,0.255,-0.0251496266573668,-0.00140453095082194,0,0,0,0,-0.002284039,38
0,15,0.272,-0.0269898641854525,-0.00145630293991417,0,0,0,0,-0.002284039,38
0,16,0.289,-0.028216689825058,-0.00150868843775243,0,0,0,0,-0.002284039,38
0,17,0.306,-0.0303636342287064,-0.00155941769480705,0,0,0,0,-0.002284039,38
0,18,0.323,-0.0318971648812294,-0.00160922680515796,0,0,0,0,-0.002284039,38
0,19,0.34,-0.0334306992590427,-0.00165756372734904,0,0,0,0,-0.002284039,38
0,20,0.357,-0.0355776399374008,-0.00170565524604172,0,0,0,0,-0.002284039,38
0,21,0.374,-0.0368044674396515,-0.00175423757173121,0,0,0,0,-0.002284039,38
0,22,0.391,-0.0386447049677372,-0.00180281978100538,0,0,0,0,-0.002284039,38
0,23,0.408,-0.0401782356202602,-0.00185244483873248,0,0,0,0,-0.002284039,38
0,24,0.425,-0.0423251800239086,-0.00189973844680935,0,0,0,0,-0.002284039,38
0,25,0.442,-0.043858714401722,-0.00195065175648779,0,0,0,0,-0.002284039,38
0,26,0.459,-0.045392245054245,-0.00199236371554434,0,0,0,0,-0.002284039,38
0,27,0.476,-0.0472324825823307,-0.00203898316249251,0,0,0,0,-0.002284039,38
0,28,0.493,-0.0490727201104164,-0.00208376231603324,0,0,0,0,-0.002284039,38
0,29,0.51,-0.0506062507629395,-0.00213222182355821,0,0,0,0,-0.002284039,38
0,30,0.527,-0.0524464920163155,-0.00217761448584497,0,0,0,0,-0.002284039,38
0,31,0.544,-0.0536733157932758,-0.00221809977665544,0,0,0,0,-0.002284039,38
0,32,0.561,-0.0552068464457989,-0.00226533249951899,0,0,0,0,-0.002284039,38
0,33,0.578,-0.0573537908494473,-0.00230888463556767,0,0,0,0,-0.002284039,38
0,34,0.595,-0.0588873252272606,-0.00235550408251584,0,0,0,0,-0.002284039,38
0,35,0.612,-0.061034269630909,-0.00239905645139515,0,0,0,0,-0.002284039,38
0,36,0.629,-0.062567800283432,-0.00244138180278242,0,0,0,0,-0.002284039,38
0,37,0.646,-0.0637946277856827,-0.00248248060233891,0,0,0,0,-0.002284039,38
0,38,0.663,-0.0656348615884781,-0.00252603273838758,0,0,0,0,-0.002284039,38
0,39,0.68,-0.0677818059921265,-0.00256651802919805,0,0,0,0,-0.002284039,38
0,40,0.697,-0.0690086334943771,-0.00261375075206161,0,0,0,0,-0.002284039,38
0,41,0.714,-0.0708488672971725,-0.00264994218014181,0,0,0,0,-0.002284039,38
0,42,0.731,-0.0723824054002762,-0.00269104074686766,0,0,0,0,-0.002284039,38
0,43,0.748,-0.0742226392030716,-0.00273336633108556,0,0,0,0,-0.002284039,38
0,44,0.765,-0.0757561698555946,-0.00277569168247283,0,0,0,0,-0.002284039,38
0,45,0.782,-0.0775964111089706,-0.00281433667987585,0,0,0,0,-0.002284039,38
0,46,0.799,-0.0794366449117661,-0.0028585025575012,0,0,0,0,-0.002284039,38
0,47,0.816,-0.0812768861651421,-0.00289714755490422,0,0,0,0,-0.002284039,38
0,48,0.833,-0.0828104168176651,-0.00293824612163007,0,0,0,0,-0.002284039,38
0,49,0.85,-0.0849573612213135,-0.00297873141244054,0,0,0,0,-0.002284039,38
0,50,0.867,-0.0855707749724388,-0.00301798968575895,0,0,0,0,-0.002284039,38
0,51,0.884,-0.0877177193760872,-0.003057248191908,0,0,0,0,-0.002284039,38
0,52,0.901,-0.0898646637797356,-0.00309589318931103,0,0,0,0,-0.002284039,38
0,53,0.918,-0.0910914912819862,-0.00313699175603688,0,0,0,0,-0.002284039,38
0,54,0.935,-0.0932384356856346,-0.00317625026218593,0,0,0,0,-0.002284039,38
0,55,0.952,-0.0944652557373047,-0.0032167355529964,0,0,0,0,-0.002284039,38
0,56,0.969,-0.0963054969906807,-0.00325415376573801,0,0,0,0,-0.002284039,38
0,57,0.986,-0.0978390276432037,-0.00329525233246386,0,0,0,0,-0.002284039,38
0,58,1.003,-0.0993725582957268,-0.00333205703645945,0,0,0,0,-0.002284039,38
0,59,1.02,-0.101212799549103,-0.00337192881852388,0,0,0,0,-0.002284039,38
0,60,1.037,-0.103359743952751,-0.00340812024660409,0,0,0,0,-0.002284039,38
0,61,1.054,-0.104586571455002,-0.00344799202866852,0,0,0,0,-0.002284039,38
