Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.0058,-0.000613119045738131,-0.000456747016869485,0,0,0,0,-0.002284039,38
0,1,0.0116,-0.00214665080420673,-0.000535999948624521,0,0,0,0,-0.002284039,38
0,2,0.0174,-0.00276006339117885,-0.000605438253842294,0,0,0,0,-0.002284039,38
0,3,0.0232,-0.00429359497502446,-0.000671073386911303,0,0,0,0,-0.002284039,38
0,4,0.029,-0.0052137142047286,-0.000736340531148016,0,0,0,0,-0.002284039,38
0,5,0.0348,-0.00644053937867284,-0.00079627096420154,0,0,0,0,-0.002284039,38
0,6,0.0406,-0.00766736501827836,-0.000855403952300549,0,0,0,0,-0.002284039,38
0,7,0.0464,-0.00828077737241983,-0.000910120317712426,0,0,0,0,-0.002284039,38
0,8,0.0522,-0.00981430895626545,-0.000967597123235464,0,0,0,0,-0.002284039,38
0,9,0.058,-0.011041134595871,-0.0010250739287585,0,0,0,0,-0.002284039,38
0,10,0.0638,-0.0125746661797166,-0.00107782741542906,0,0,0,0,-0.002284039,38
0,11,0.0696,-0.0134947849437594,-0.00113469071220607,0,0,0,0,-0.002284039,38
0,12,0.0754,-0.0150283174589276,-0.00118388643022627,0,0,0,0,-0.002284039,38
0,13,0.0812,-0.0156417302787304,-0.00124068837612867,0,0,0,0,-0.002284039,38
0,14,0.087,-0.0168685559183359,-0.00128743052482605,0,0,0,0,-0.002284039,38
0,15,0.0928,-0.0180953796952963,-0.00133754627313465,0,0,0,0,-0.002284039,38
0,16,0.0986,-0.0196289122104645,-0.00139177194796503,0,0,0,0,-0.002284039,38
0,17,0.1044,-0.0205490309745073,-0.00143814599141479,0,0,0,0,-0.002284039,38
0,18,0.1102,-0.0217758566141129,-0.00148764834739268,0,0,0,0,-0.002284039,38
0,19,0.116,-0.0230026822537184,-0.00153531052637845,0,0,0,0,-0.002284039,38
0,20,0.1218,-0.0242295078933239,-0.00158536504022777,0,0,0,0,-0.002284039,38
0,21,0.1276,-0.0248429197818041,-0.00162824254948646,0,0,0,0,-0.002284039,38
0,22,0.1334,-0.0257630385458469,-0.00167565932497382,0,0,0,0,-0.002284039,38
0,23,0.1392,-0.0276032760739326,-0.00172313745133579,0,0,0,0,-0.002284039,38
0,24,0.145,-0.028216689825058,-0.00176889810245484,0,0,0,0,-0.002284039,38
0,25,0.1508,-0.029750220477581,-0.00181153032463044,0,0,0,0,-0.002284039,38
0,26,0.1566,-0.030670341104269,-0.00186354713514447,0,0,0,0,-0.002284039,38
0,27,0.1624,-0.0322038717567921,-0.00190587260294706,0,0,0,0,-0.002284039,38
0,28,0.1682,-0.0331239923834801,-0.00195003836415708,0,0,0,0,-0.002284039,38
0,29,0.174,-0.0337374024093151,-0.00199236371554434,0,0,0,0,-0.002284039,38
0,30,0.1798,-0.0355776399374008,-0.00203530257567763,0,0,0,0,-0.002284039,38
0,31,0.1856,-0.0364977605640888,-0.00208008172921836,0,0,0,0,-0.002284039,38
0,32,0.1914,-0.0380312912166119,-0.00212056702002883,0,0,0,0,-0.002284039,38
0,33,0.1972,-0.0389514118432999,-0.00216534617356956,0,0,0,0,-0.002284039,38
0,34,0.203,-0.0398715287446976,-0.00220460467971861,0,0,0,0,-0.002284039,38
0,35,0.2088,-0.0410983562469482,-0.00225183740258217,0,0,0,0,-0.002284039,38
0,36,0.2146,-0.0417117699980736,-0.00228986889123917,0,0,0,0,-0.002284039,38
0,37,0.2204,-0.043858714401722,-0.00233219447545707,0,0,0,0,-0.002284039,38
0,38,0.2262,-0.0447788313031197,-0.00237390655092895,0,0,0,0,-0.002284039,38
0,39,0.232,-0.045392245054245,-0.00241316482424736,0,0,0,0,-0.002284039,38
0,40,0.2378,-0.0466190688312054,-0.00245242333039641,0,0,0,0,-0.002284039,38
0,41,0.2436,-0.0484593063592911,-0.00249168160371482,0,0,0,0,-0.002284039,38
0,42,0.2494,-0.0493794269859791,-0.00253523397259414,0,0,0,0,-0.002284039,38
0,43,0.2552,-0.0502995476126671,-0.00257265218533576,0,0,0,0,-0.002284039,38
0,44,0.261,-0.0515263713896275,-0.00261375075206161,0,0,0,0,-0.002284039,38
0,45,0.2668,-0.0533666089177132,-0.00265055568888783,0,0,0,0,-0.002284039,38
0,46,0.2726,-0.0539800226688385,-0.00268981396220624,0,0,0,0,-0.002284039,38
0,47,0.2784,-0.0549001395702362,-0.00272784568369389,0,0,0,0,-0.002284039,38
0,48,0.2842,-0.0561269670724869,-0.00276526366360486,0,0,0,0,-0.002284039,38
0,49,0.29,-0.0576604977250099,-0.00280636246316135,0,0,0,0,-0.002284039,38
0,50,0.2958,-0.0585806183516979,-0.00284316716715693,0,0,0,0,-0.002284039,38
0,51,0.3016,-0.0595007352530956,-0.00288242567330599,0,0,0,0,-0.002284039,38
0,52,0.3074,-0.0604208558797836,-0.00291800359264016,0,0,0,0,-0.002284039,38
0,53,0.3132,-0.0619543865323067,-0.00295603508129716,0,0,0,0,-0.002284039,38
0,54,0.319,-0.0628745034337044,-0.00299468007870018,0,0,0,0,-0.002284039,38
0,55,0.3248,-0.0644080340862274,-0.00302964472211897,0,0,0,0,-0.002284039,38
0,56,0.3306,-0.0656348615884781,-0.00306644942611456,0,0,0,0,-0.002284039,38
0,57,0.3364,-0.0668616890907288,-0.0031014138367027,0,0,0,0,-0.002284039,38
0,58,0.3422,-0.0674751028418541,-0.00314128585159779,0,0,0,0,-0.002284039,38
0,59,0.348,-0.0690086334943771,-0.00317625026218593,0,0,0,0,-0.002284039,38
0,60,0.3538,-0.0702354609966278,-0.00321366847492754,0,0,0,0,-0.002284039,38
