Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.032,-0.00153323798440397,0.000332776427967474,0,0,0,0,-0.002284039,38
0,1,0.064,-0.00306676980108023,0.00021493986423593,0,0,0,0,-0.002284039,38
0,2,0.096,-0.00490700779482722,0.000103666803624947,0,0,0,0,-0.002284039,38
0,3,0.128,-0.00613383296877146,3.15908118864172E-06,0,0,0,0,-0.002284039,38
0,4,0.16,-0.00736065860837698,-2.00990798475686E-05,0,0,0,0,-0.002284039,38
0,5,0.192,-0.00950760301202536,-0.000196402470464818,0,0,0,0,-0.002284039,38
0,6,0.224,-0.011041134595871,-0.000289285351755098,0,0,0,0,-0.002284039,38
0,7,0.256,-0.0128813730552793,-0.000383260194212198,0,0,0,0,-0.002284039,38
0,8,0.288,-0.0144149046391249,-0.000473677209811285,0,0,0,0,-0.002284039,38
0,9,0.32,-0.0162551421672106,-0.000564462272450328,0,0,0,0,-0.002284039,38
0,10,0.352,-0.0171752609312534,-0.000651689595542848,0,0,0,0,-0.002284039,38
0,11,0.384,-0.0190155003219843,-0.000736769929062575,0,0,0,0,-0.002284039,38
0,12,0.416,-0.0205490309745073,-0.000822340953163803,0,0,0,0,-0.002284039,38
0,13,0.448,-0.0226959753781557,-0.000905887805856764,0,0,0,0,-0.002284039,38
0,14,0.48,-0.0233093872666359,-0.000986674218438566,0,0,0,0,-0.002284039,38
0,15,0.512,-0.0254563316702843,-0.00106838077772409,0,0,0,0,-0.002284039,38
0,16,0.544,-0.0269898641854525,-0.00114567077253014,0,0,0,0,-0.002284039,38
0,17,0.576,-0.0285233967006207,-0.00122762273531407,0,0,0,0,-0.002284039,38
0,18,0.608,-0.0303636342287064,-0.00130313378758729,0,0,0,0,-0.002284039,38
0,19,0.64,-0.0315904580056667,-0.00138275476638228,0,0,0,0,-0.002284039,38
0,20,0.672,-0.0331239923834801,-0.00145501480437815,0,0,0,0,-0.002284039,38
0,21,0.704,-0.0346575230360031,-0.00153371563646942,0,0,0,0,-0.002284039,38
0,22,0.736,-0.0364977605640888,-0.00160744786262512,0,0,0,0,-0.002284039,38
0,23,0.768,-0.0377245843410492,-0.00168351107276976,0,0,0,0,-0.002284039,38
0,24,0.8,-0.0392581187188625,-0.00175270403269678,0,0,0,0,-0.002284039,38
0,25,0.832,-0.0410983562469482,-0.00182612950447947,0,0,0,0,-0.002284039,38
0,26,0.864,-0.0426318868994713,-0.00190096534788609,0,0,0,0,-0.002284039,38
0,27,0.896,-0.044472124427557,-0.00197273469530046,0,0,0,0,-0.002284039,38
0,28,0.928,-0.0456989519298077,-0.00204450380988419,0,0,0,0,-0.002284039,38
0,29,0.96,-0.0475391894578934,-0.00210952572524548,0,0,0,0,-0.002284039,38
0,30,0.992,-0.0490727201104164,-0.00218190834857523,0,0,0,0,-0.002284039,38
0,31,1.024,-0.0509129576385021,-0.0022493836004287,0,0,0,0,-0.002284039,38
0,32,1.056,-0.0521397851407528,-0.00231808586977422,0,0,0,0,-0.002284039,38
0,33,1.088,-0.0536733157932758,-0.00238556135445833,0,0,0,0,-0.002284039,38
0,34,1.12,-0.0555135533213615,-0.00245365011505783,0,0,0,0,-0.002284039,38
0,35,1.152,-0.0567403808236122,-0.00251867179758847,0,0,0,0,-0.002284039,38
0,36,1.184,-0.0585806183516979,-0.00258676079101861,0,0,0,0,-0.002284039,38
0,37,1.216,-0.060114149004221,-0.00265116896480322,0,0,0,0,-0.002284039,38
0,38,1.248,-0.0619543865323067,-0.00271741766482592,0,0,0,0,-0.002284039,38
0,39,1.28,-0.0634879171848297,-0.00277875876054168,0,0,0,0,-0.002284039,38
0,40,1.312,-0.0650214478373528,-0.00284623424522579,0,0,0,0,-0.002284039,38
0,41,1.344,-0.0665549784898758,-0.00290818884968758,0,0,0,0,-0.002284039,38
0,42,1.376,-0.0680885165929794,-0.00297321076504886,0,0,0,0,-0.002284039,38
0,43,1.408,-0.0696220472455025,-0.00303455186076462,0,0,0,0,-0.002284039,38
0,44,1.44,-0.0714622810482979,-0.00309957377612591,0,0,0,0,-0.002284039,38
0,45,1.472,-0.0736092254519463,-0.00316030159592628,0,0,0,0,-0.002284039,38
0,46,1.504,-0.0745293498039246,-0.00322225620038807,0,0,0,0,-0.002284039,38
0,47,1.536,-0.0757561698555946,-0.00328482431359589,0,0,0,0,-0.002284039,38
0,48,1.568,-0.0775964111089706,-0.0033461656421423,0,0,0,0,-0.002284039,38
0,49,1.6,-0.0794366449117661,-0.00340689346194267,0,0,0,0,-0.002284039,38
0,50,1.632,-0.0809701830148697,-0.00346823479048908,0,0,0,0,-0.002284039,38
0,51,1.664,-0.0821970030665398,-0.00352896261028945,0,0,0,0,-0.002284039,38
0,52,1.696,-0.0837305337190628,-0.0035890769213438,0,0,0,0,-0.002284039,38
0,53,1.728,-0.0858774781227112,-0.00364796468056738,0,0,0,0,-0.002284039,38
0,54,1.76,-0.0874110162258148,-0.00370685220696032,0,0,0,0,-0.002284039,38
0,55,1.792,-0.0889445468783379,-0.00376880681142211,0,0,0,0,-0.002284039,38
0,56,1.824,-0.0910914912819862,-0.00382769457064569,0,0,0,0,-0.002284039,38
0,57,1.856,-0.0926250219345093,-0.00388474180363119,0,0,0,0,-0.002284039,38
0,58,1.888,-0.0938518494367599,-0.00394424283877015,0,0,0,0,-0.002284039,38
0,59,1.92,-0.0956920832395554,-0.00400067679584026,0,0,0,0,-0.002284039,38
0,60,1.952,-0.0956920832395554,-0.00406201835721731,0,0,0,0,-0.002284039,38
0,61,1.984,-0.0987591445446014,-0.00412029260769486,0,0,0,0,-0.002284039,38
0,62,2.016,-0.0999859720468521,-0.00417488627135754,0,0,0,0,-0.002284039,38
0,63,2.048,-0.101519502699375,-0.00423438707366586,0,0,0,0,-0.002284039,38
0,64,2.08,-0.103053033351898,-0.00428714044392109,0,0,0,0,-0.002284039,38
0,65,2.112,-0.104893274605274,-0.00434848200529814,0,0,0,0,-0.002284039,38
0,66,2.144,-0.106426805257797,-0.00440368894487619,0,0,0,0,-0.002284039,38
0,67,2.176,-0.10796033591032,-0.00446073664352298,0,0,0,0,-0.002284039,38
0,68,2.208,-0.109800577163696,-0.00451594358310103,0,0,0,0,-0.002284039,38
0,69,2.24,-0.111027404665947,-0.00457115052267909,0,0,0,0,-0.002284039,38
0,70,2.272,-0.112867638468742,-0.0046306517906487,0,0,0,0,-0.002284039,38
0,71,2.304,-0.114401169121265,-0.00468524545431137,0,0,0,0,-0.002284039,38
0,72,2.336,-0.116241410374641,-0.00474229268729687,0,0,0,0,-0.002284039,38
0,73,2.368,-0.117774941027164,-0.00479443278163671,0,0,0,0,-0.002284039,38
0,74,2.4,-0.119308471679688,-0.00485025346279144,0,0,0,0,-0.002284039,38
0,75,2.432,-0.120535299181938,-0.0049054604023695,0,0,0,0,-0.002284039,38
0,76,2.464,-0.122068829834461,-0.00495944079011679,0,0,0,0,-0.002284039,38
0,77,2.496,-0.12421577423811,-0.00501219462603331,0,0,0,0,-0.002284039,38
0,78,2.528,-0.12544259428978,-0.0050692418590188,0,0,0,0,-0.002284039,38
0,79,2.56,-0.126976132392883,-0.00512199522927403,0,0,0,0,-0.002284039,38
0,80,2.592,-0.128202959895134,-0.00517842918634415,0,0,0,0,-0.002284039,38
0,81,2.624,-0.130349904298782,-0.00522995600476861,0,0,0,0,-0.002284039,38
0,82,2.656,-0.132190138101578,-0.00528516294434667,0,0,0,0,-0.002284039,38
0,83,2.688,-0.134030371904373,-0.00533730303868651,0,0,0,0,-0.002284039,38
0,84,2.72,-0.135563910007477,-0.0053943507373333,0,0,0,0,-0.002284039,38
0,85,2.752,-0.136790737509727,-0.00544710410758853,0,0,0,0,-0.002284039,38
