Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.0055,-0.00122653169091791,-2.00990798475686E-05,0,0,0,0,-0.002284039,38
0,2,0.0165,-0.00337347597815096,-8.77180063980632E-05,0,0,0,0,-0.002284039,38
0,3,0.022,-0.00398688856512308,-9.97040915535763E-05,0,0,0,0,-0.002284039,38
0,4,0.0275,-0.00552042061462998,-0.000109500288090203,0,0,0,0,-0.002284039,38
0,5,0.033,-0.00644053937867284,-0.000120517186587676,0,0,0,0,-0.002284039,38
0,6,0.0385,-0.00797407142817974,-0.000126166720292531,0,0,0,0,-0.002284039,38
0,7,0.044,-0.0085874842479825,-0.000132889719679952,0,0,0,0,-0.002284039,38
0,8,0.0495,-0.0101210158318281,-0.000140949952765368,0,0,0,0,-0.002284039,38
0,9,0.055,-0.011041134595871,-0.000144176505273208,0,0,0,0,-0.002284039,38
0,10,0.0605,-0.0119612533599138,-0.00014721903426107,0,0,0,0,-0.002284039,38
0,11,0.066,-0.0128813730552793,-0.00015354945207946,0,0,0,0,-0.002284039,38
0,12,0.0715,-0.0141081977635622,-0.000157285132445395,0,0,0,0,-0.002284039,38
0,13,0.077,-0.0159484352916479,-0.000158107111928985,0,0,0,0,-0.002284039,38
0,14,0.0825,-0.0162551421672106,-0.000162861062563024,0,0,0,0,-0.002284039,38
0,15,0.088,-0.0171752609312534,-0.00016402654000558,0,0,0,0,-0.002284039,38
0,16,0.0935,-0.0187087934464216,-0.000165639823535457,0,0,0,0,-0.002284039,38
0,17,0.099,-0.0202423240989447,-0.000169093327713199,0,0,0,0,-0.002284039,38
0,18,0.1045,-0.0202423240989447,-0.00016955952742137,0,0,0,0,-0.002284039,38
0,19,0.11,-0.0214691497385502,-0.000168737547937781,0,0,0,0,-0.002284039,38
0,20,0.1155,-0.0233093872666359,-0.000174068103660829,0,0,0,0,-0.002284039,38
0,21,0.121,-0.0242295078933239,-0.000172822881722823,0,0,0,0,-0.002284039,38
0,22,0.1265,-0.0248429197818041,-0.000175534165464342,0,0,0,0,-0.002284039,38
0,23,0.132,-0.0260697454214096,-0.000176196655957028,0,0,0,0,-0.002284039,38
0,24,0.1375,-0.0279099829494953,-0.000179190101334825,0,0,0,0,-0.002284039,38
0,25,0.143,-0.0279099829494953,-0.000180073417141102,0,0,0,0,-0.002284039,38
0,26,0.1485,-0.0291368085891008,-0.000181643757969141,0,0,0,0,-0.002284039,38
0,27,0.1595,-0.0315904580056667,-0.000180834002094343,0,0,0,0,-0.002284039,38
0,28,0.165,-0.0322038717567921,-0.000184085089131258,0,0,0,0,-0.002284039,38
0,29,0.1705,-0.0337374024093151,-0.000184023738256656,0,0,0,0,-0.002284039,38
0,30,0.176,-0.0352709367871284,-0.000180404604179785,0,0,0,0,-0.002284039,38
0,31,0.1815,-0.0361910536885262,-0.000182980948011391,0,0,0,0,-0.002284039,38
0,32,0.187,-0.0371111743152142,-0.000185005206731148,0,0,0,0,-0.002284039,38
0,33,0.1925,-0.0380312912166119,-0.000182919597136788,0,0,0,0,-0.002284039,38
0,34,0.198,-0.0395648255944252,-0.00018586398800835,0,0,0,0,-0.002284039,38
0,35,0.2035,-0.0410983562469482,-0.000184882519533858,0,0,0,0,-0.002284039,38
0,36,0.209,-0.0414050631225109,-0.000182428877451457,0,0,0,0,-0.002284039,38
0,37,0.2145,-0.0423251800239086,-0.000182244853931479,0,0,0,0,-0.002284039,38
0,38,0.22,-0.0435520075261593,-0.000182060830411501,0,0,0,0,-0.002284039,38
0,39,0.2255,-0.0447788313031197,-0.000184453136171214,0,0,0,0,-0.002284039,38
0,40,0.231,-0.0456989519298077,-0.000184759846888483,0,0,0,0,-0.002284039,38
0,41,0.2365,-0.046925775706768,-0.000182612900971435,0,0,0,0,-0.002284039,38
0,42,0.242,-0.047845896333456,-0.000181938143214211,0,0,0,0,-0.002284039,38
0,43,0.2475,-0.0496861338615417,-0.000181631432496943,0,0,0,0,-0.002284039,38
0,44,0.253,-0.0512196645140648,-0.000180527291377075,0,0,0,0,-0.002284039,38
0,45,0.2585,-0.0515263713896275,-0.000182796924491413,0,0,0,0,-0.002284039,38
0,46,0.264,-0.0527531951665878,-0.000181754119694233,0,0,0,0,-0.002284039,38
0,47,0.2695,-0.0536733157932758,-0.000184759846888483,0,0,0,0,-0.002284039,38
0,48,0.275,-0.0545934364199638,-0.000182674237294123,0,0,0,0,-0.002284039,38
0,49,0.2805,-0.0558202601969242,-0.00018132473633159,0,0,0,0,-0.002284039,38
0,50,0.286,-0.0567403808236122,-0.000180527291377075,0,0,0,0,-0.002284039,38
0,51,0.2915,-0.0576604977250099,-0.000179545837454498,0,0,0,0,-0.002284039,38
0,52,0.297,-0.0585806183516979,-0.00017715351714287,0,0,0,0,-0.002284039,38
0,53,0.3025,-0.0604208558797836,-0.000179116439539939,0,0,0,0,-0.002284039,38
0,54,0.308,-0.061647679656744,-0.000180465955054387,0,0,0,0,-0.002284039,38
0,55,0.3135,-0.0628745034337044,-0.00017715351714287,0,0,0,0,-0.002284039,38
0,56,0.319,-0.064101330935955,-0.000176846820977516,0,0,0,0,-0.002284039,38
0,57,0.3245,-0.0653281584382057,-0.000175742679857649,0,0,0,0,-0.002284039,38
0,58,0.33,-0.0659415721893311,-0.000171632811543532,0,0,0,0,-0.002284039,38
0,59,0.3355,-0.0668616890907288,-0.000175435969140381,0,0,0,0,-0.002284039,38
0,60,0.341,-0.0680885165929794,-0.000172982312506065,0,0,0,0,-0.002284039,38
0,61,0.3465,-0.0693153366446495,-0.000174945234903134,0,0,0,0,-0.002284039,38
0,62,0.352,-0.0699287503957748,-0.000169485865626484,0,0,0,0,-0.002284039,38
0,63,0.3575,-0.0708488672971725,-0.000172798288986087,0,0,0,0,-0.002284039,38
0,64,0.363,-0.0723824054002762,-0.000167584279552102,0,0,0,0,-0.002284039,38
0,65,0.3685,-0.0733025223016739,-0.000168504411703907,0,0,0,0,-0.002284039,38
0,66,0.374,-0.0739159360527992,-0.000171510124346241,0,0,0,0,-0.002284039,38
0,67,0.3795,-0.0757561698555946,-0.000170467319549061,0,0,0,0,-0.002284039,38
0,68,0.385,-0.0769829973578453,-0.000168749771546572,0,0,0,0,-0.002284039,38
0,69,0.3905,-0.078209824860096,-0.000167645630426705,0,0,0,0,-0.002284039,38
0,70,0.396,-0.0794366449117661,-0.000166602825629525,0,0,0,0,-0.002284039,38
0,71,0.4015,-0.0806634724140167,-0.000164333192515187,0,0,0,0,-0.002284039,38
0,72,0.407,-0.0809701830148697,-0.000165130637469701,0,0,0,0,-0.002284039,38
0,73,0.4125,-0.0818902999162674,-0.000165621371706948,0,0,0,0,-0.002284039,38
0,74,0.418,-0.0831171274185181,-0.000163597098435275,0,0,0,0,-0.002284039,38
0,75,0.4235,-0.0840372443199158,-0.000164087832672521,0,0,0,0,-0.002284039,38
0,76,0.429,-0.0855707749724388,-0.000165191973792389,0,0,0,0,-0.002284039,38
0,77,0.4345,-0.0864908918738365,-0.000163903809152544,0,0,0,0,-0.002284039,38
0,78,0.44,-0.0874110162258148,-0.000159916628035717,0,0,0,0,-0.002284039,38
0,79,0.4455,-0.0889445468783379,-0.000160284675075673,0,0,0,0,-0.002284039,38
0,80,0.451,-0.0904780775308609,-0.000164087832672521,0,0,0,0,-0.002284039,38
0,81,0.4565,-0.0913981944322586,-0.000160100651555695,0,0,0,0,-0.002284039,38
0,82,0.462,-0.0926250219345093,-0.000160223338752985,0,0,0,0,-0.002284039,38
0,83,0.4675,-0.0932384356856346,-0.000159057846758515,0,0,0,0,-0.002284039,38
0,84,0.473,-0.0941585525870323,-0.000158689799718559,0,0,0,0,-0.002284039,38
0,85,0.4785,-0.0959987938404083,-0.000158321752678603,0,0,0,0,-0.002284039,38
0,86,0.484,-0.0963054969906807,-0.000158567112521268,0,0,0,0,-0.002284039,38
0,87,0.4895,-0.0978390276432037,-0.000157831018441357,0,0,0,0,-0.002284039,38
0,88,0.495,-0.0984524413943291,-0.000157340298756026,0,0,0,0,-0.002284039,38
0,89,0.5005,-0.0996792688965797,-0.00015697225171607,0,0,0,0,-0.002284039,38
0,90,0.506,-0.101212799549103,-0.000156236157636158,0,0,0,0,-0.002284039,38
0,91,0.5115,-0.101826213300228,-0.000156113470438868,0,0,0,0,-0.002284039,38
0,92,0.517,-0.102746330201626,-0.000153537141159177,0,0,0,0,-0.002284039,38
0,93,0.5225,-0.104586571455002,-0.000157585658598691,0,0,0,0,-0.002284039,38
0,94,0.528,-0.105813391506672,-0.00015592944691889,0,0,0,0,-0.002284039,38
0,95,0.5335,-0.106426805257797,-0.00015697225171607,0,0,0,0,-0.002284039,38
0,96,0.539,-0.10796033591032,-0.000154702618601732,0,0,0,0,-0.002284039,38
0,97,0.5445,-0.108880460262299,-0.000153230430441909,0,0,0,0,-0.002284039,38
0,98,0.55,-0.109493866562843,-0.000153291766764596,0,0,0,0,-0.002284039,38
0,99,0.5555,-0.111027404665947,-0.000150163366924971,0,0,0,0,-0.002284039,38
0,100,0.561,-0.111947521567345,-0.000151144820847549,0,0,0,0,-0.002284039,38
