Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.075,0,-6.13412703387439E-05,0,0,0,0,-0.002284039,39
0,1,0.15,-0.014721903949976,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,2,0.225,-0.0297505147755146,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,3,0.3,-0.0447791256010532,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,4,0.375,-0.0598077364265919,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,5,0.45,-0.0748363435268402,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,6,0.525,-0.0895582512021065,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,7,0.6,-0.104586862027645,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,8,0.675,-0.119615472853184,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,9,0.75,-0.13433738052845,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,10,0.825,-0.149365991353989,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,11,0.9,-0.164394602179527,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,12,0.975,-0.179116502404213,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,13,1.05,-0.194145113229752,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,14,1.125,-0.20917372405529,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,15,1.2,-0.224202334880829,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,16,1.275,-0.238924235105515,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,17,1.35,-0.253952860832214,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,18,1.425,-0.268981456756592,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,19,1.5,-0.283703356981277,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,20,1.575,-0.298731982707977,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,21,1.65,-0.313760578632355,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,22,1.725,-0.328789204359055,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,23,1.8,-0.34351110458374,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,24,1.875,-0.358539700508118,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,25,1.95,-0.373568326234818,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,26,2.025,-0.388596922159195,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,27,2.1,-0.403318822383881,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,28,2.175,-0.41834744811058,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,29,2.25,-0.433376044034958,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,30,2.325,-0.448404669761658,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,31,2.4,-0.463126569986343,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,32,2.475,-0.478155195713043,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,33,2.55,-0.493183791637421,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,34,2.625,-0.508212387561798,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,35,2.7,-0.522934317588806,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,36,2.775,-0.537962913513184,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,37,2.85,-0.552991509437561,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,38,2.925,-0.567713439464569,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,39,3,-0.582742035388947,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,40,3.075,-0.597770631313324,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,41,3.15,-0.612799286842346,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,42,3.225,-0.627827882766724,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,43,3.3,-0.642549753189087,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,44,3.375,-0.657578408718109,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,45,3.45,-0.672300279140472,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,46,3.525,-0.687328934669495,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,47,3.6,-0.702357530593872,-0.000981460325419903,0,0,0,0,-0.002284039,39
0,48,3.675,-0.717079401016235,-0.00104280153755099,0,0,0,0,-0.002284039,39
0,49,3.75,-0.732108056545258,-0.00104280153755099,0,0,0,0,-0.002284039,39
0,50,3.825,-0.747136652469635,-0.00110414286609739,0,0,0,0,-0.002284039,39
0,51,3.9,-0.762165248394012,-0.00116548407822847,0,0,0,0,-0.002284039,39
