Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.00775,-0.000613119045738131,-2.00990798475686E-05,0,0,0,0,-0.002284039,38
0,1,0.0155,-0.00276006339117885,-0.000200990791199729,0,0,0,0,-0.002284039,38
0,3,0.031,-0.00613383296877146,-0.00076983286999166,0,0,0,0,-0.002284039,38
0,4,0.03875,-0.00674724578857422,-0.000886197260115296,0,0,0,0,-0.002284039,38
0,5,0.0465,-0.00920089613646269,-0.000996488844975829,0,0,0,0,-0.002284039,38
0,6,0.05425,-0.011041134595871,-0.00110776186920702,0,0,0,0,-0.002284039,38
0,7,0.062,-0.0122679602354765,-0.0011981789721176,0,0,0,0,-0.002284039,38
0,8,0.06975,-0.0134947849437594,-0.00128663307987154,0,0,0,0,-0.002284039,38
0,9,0.0775,-0.014721610583365,-0.00137557787820697,0,0,0,0,-0.002284039,38
0,10,0.08525,-0.0165618490427732,-0.00145875662565231,0,0,0,0,-0.002284039,38
0,11,0.093,-0.0180953796952963,-0.00153494253754616,0,0,0,0,-0.002284039,38
0,12,0.10075,-0.0202423240989447,-0.00161321391351521,0,0,0,0,-0.002284039,38
0,13,0.1085,-0.0214691497385502,-0.0016859034076333,0,0,0,0,-0.002284039,38
0,14,0.11625,-0.0226959753781557,-0.00175227457657456,0,0,0,0,-0.002284039,38
0,15,0.124,-0.0242295078933239,-0.00182367581874132,0,0,0,0,-0.002284039,38
0,16,0.13175,-0.0254563316702843,-0.00189053732901812,0,0,0,0,-0.002284039,38
0,17,0.1395,-0.0272965710610151,-0.00195065175648779,0,0,0,0,-0.002284039,38
0,18,0.14725,-0.0291368085891008,-0.00201076618395746,0,0,0,0,-0.002284039,38
0,19,0.155,-0.030670341104269,-0.00207210751250386,0,0,0,0,-0.002284039,38
0,20,0.16275,-0.0325105786323547,-0.00213222182355821,0,0,0,0,-0.002284039,38
0,21,0.1705,-0.0331239923834801,-0.00218436191789806,0,0,0,0,-0.002284039,38
0,22,0.17825,-0.0349642299115658,-0.00223895558156073,0,0,0,0,-0.002284039,38
0,23,0.186,-0.0368044674396515,-0.00229477626271546,0,0,0,0,-0.002284039,38
0,24,0.19375,-0.0383379980921745,-0.00234507606364787,0,0,0,0,-0.002284039,38
0,25,0.2015,-0.0398715287446976,-0.00240273680537939,0,0,0,0,-0.002284039,38
0,26,0.20925,-0.0414050631225109,-0.00244567566551268,0,0,0,0,-0.002284039,38
0,27,0.217,-0.042938593775034,-0.00249168160371482,0,0,0,0,-0.002284039,38
0,28,0.22475,-0.044472124427557,-0.00254382169805467,0,0,0,0,-0.002284039,38
0,29,0.2325,-0.0456989519298077,-0.00259166792966425,0,0,0,0,-0.002284039,38
0,30,0.24025,-0.0481526032090187,-0.00263951416127384,0,0,0,0,-0.002284039,38
0,31,0.248,-0.0490727201104164,-0.00268736039288342,0,0,0,0,-0.002284039,38
0,32,0.25575,-0.0506062507629395,-0.00273336633108556,0,0,0,0,-0.002284039,38
0,33,0.2635,-0.0524464920163155,-0.00277937226928771,0,0,0,0,-0.002284039,38
0,34,0.27125,-0.0533666089177132,-0.00282353791408241,0,0,0,0,-0.002284039,38
0,35,0.279,-0.0558202601969242,-0.00286954385228455,0,0,0,0,-0.002284039,38
0,36,0.28675,-0.0567403808236122,-0.00291432300582528,0,0,0,0,-0.002284039,38
0,37,0.2945,-0.0579672046005726,-0.00295296800322831,0,0,0,0,-0.002284039,38
0,38,0.30225,-0.0595007352530956,-0.00300265452824533,0,0,0,0,-0.002284039,38
