Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.075,0.000307000009343028,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,1,0.15,-0.014721610583365,-0.00171755545306951,0,0,0,0,-0.002284039,39
0,2,0.225,-0.029750220477581,-0.0028830396477133,0,0,0,0,-0.002284039,39
0,3,0.3,-0.0447788313031197,-0.00386449997313321,0,0,0,0,-0.002284039,39
0,4,0.375,-0.0598074421286583,-0.00472327740862966,0,0,0,0,-0.002284039,39
0,5,0.45,-0.0748360529541969,-0.00552071398124099,0,0,0,0,-0.002284039,39
0,6,0.525,-0.0898646637797356,-0.00631815055385232,0,0,0,0,-0.002284039,39
0,7,0.6,-0.104586571455002,-0.00711558712646365,0,0,0,0,-0.002284039,39
0,8,0.675,-0.11961518228054,-0.00785168260335922,0,0,0,0,-0.002284039,39
0,9,0.75,-0.134643793106079,-0.00858777761459351,0,0,0,0,-0.002284039,39
0,10,0.825,-0.149672403931618,-0.00932387262582779,0,0,0,0,-0.002284039,39
0,11,0.9,-0.164701014757156,-0.0100599676370621,0,0,0,0,-0.002284039,39
0,12,0.975,-0.179729625582695,-0.0107960635796189,0,0,0,0,-0.002284039,39
0,13,1.05,-0.194758236408234,-0.0114708170294762,0,0,0,0,-0.002284039,39
0,14,1.125,-0.209480136632919,-0.0122069120407104,0,0,0,0,-0.002284039,39
0,15,1.2,-0.224815458059311,-0.0129430079832673,0,0,0,0,-0.002284039,39
0,16,1.275,-0.239537358283997,-0.0136177614331245,0,0,0,0,-0.002284039,39
0,17,1.35,-0.254565954208374,-0.0143538564443588,0,0,0,0,-0.002284039,39
0,18,1.425,-0.269594579935074,-0.0150899523869157,0,0,0,0,-0.002284039,39
0,19,1.5,-0.284623175859451,-0.015887388959527,0,0,0,0,-0.002284039,39
0,20,1.575,-0.299651801586151,-0.0166234839707613,0,0,0,0,-0.002284039,39
0,21,1.65,-0.314680397510529,-0.0173595789819956,0,0,0,0,-0.002284039,39
0,22,1.725,-0.329402327537537,-0.0181570146232843,0,0,0,0,-0.002284039,39
0,23,1.8,-0.344430923461914,-0.0188931096345186,0,0,0,0,-0.002284039,39
0,24,1.875,-0.359459549188614,-0.0196905471384525,0,0,0,0,-0.002284039,39
0,25,1.95,-0.374488145112991,-0.0204879827797413,0,0,0,0,-0.002284039,39
0,26,2.025,-0.389516770839691,-0.0212854202836752,0,0,0,0,-0.002284039,39
0,27,2.1,-0.404545366764069,-0.022082855924964,0,0,0,0,-0.002284039,39
0,28,2.175,-0.419573992490768,-0.0229416340589523,0,0,0,0,-0.002284039,39
0,29,2.25,-0.434602588415146,-0.0238004121929407,0,0,0,0,-0.002284039,39
0,30,2.325,-0.449631214141846,-0.0246591903269291,0,0,0,0,-0.002284039,39
0,31,2.4,-0.464659810066223,-0.0255179665982723,0,0,0,0,-0.002284039,39
0,32,2.475,-0.479381710290909,-0.0264380872249603,0,0,0,0,-0.002284039,39
0,33,2.55,-0.494410336017609,-0.0273582059890032,0,0,0,0,-0.002284039,39
0,34,2.625,-0.509438931941986,-0.028278324753046,0,0,0,0,-0.002284039,39
0,35,2.7,-0.524467527866364,-0.0292597841471434,0,0,0,0,-0.002284039,39
0,36,2.775,-0.539496183395386,-0.0303025860339403,0,0,0,0,-0.002284039,39
0,37,2.85,-0.554524779319763,-0.0314067304134369,0,0,0,0,-0.002284039,39
0,38,2.925,-0.569246649742126,-0.0325108729302883,0,0,0,0,-0.002284039,39
0,39,3,-0.584275305271149,-0.0336763560771942,0,0,0,0,-0.002284039,39
0,40,3.075,-0.599303901195526,-0.0349031798541546,0,0,0,0,-0.002284039,39
