Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.075,0.000307000009343028,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,1,0.15,-0.014721610583365,-0.00110414286609739,0,0,0,0,-0.002284039,39
0,2,0.225,-0.029750220477581,-0.00141084915958345,0,0,0,0,-0.002284039,39
0,3,0.3,-0.044472124427557,-0.00165621424093843,0,0,0,0,-0.002284039,39
0,4,0.375,-0.0595007352530956,-0.001840237993747,0,0,0,0,-0.002284039,39
0,5,0.45,-0.0745293498039246,-0.00202426174655557,0,0,0,0,-0.002284039,39
0,6,0.525,-0.0892512500286102,-0.00226962682791054,0,0,0,0,-0.002284039,39
0,7,0.6,-0.104279860854149,-0.00245365081354976,0,0,0,0,-0.002284039,39
0,8,0.675,-0.119308471679688,-0.00263767456635833,0,0,0,0,-0.002284039,39
0,9,0.75,-0.134337082505226,-0.0028216983191669,0,0,0,0,-0.002284039,39
0,10,0.825,-0.149365693330765,-0.00306706340052187,0,0,0,0,-0.002284039,39
0,11,0.9,-0.16408759355545,-0.00325108715333045,0,0,0,0,-0.002284039,39
0,12,0.975,-0.179116204380989,-0.00343511090613902,0,0,0,0,-0.002284039,39
0,13,1.05,-0.194144815206528,-0.00361913489177823,0,0,0,0,-0.002284039,39
0,14,1.125,-0.208866730332375,-0.00386449997313321,0,0,0,0,-0.002284039,39
0,15,1.2,-0.223895341157913,-0.00404852349311113,0,0,0,0,-0.002284039,39
0,16,1.275,-0.238923951983452,-0.00423254771158099,0,0,0,0,-0.002284039,39
0,17,1.35,-0.25395256280899,-0.00447791256010532,0,0,0,0,-0.002284039,39
0,18,1.425,-0.268674463033676,-0.00466193631291389,0,0,0,0,-0.002284039,39
0,19,1.5,-0.283703058958054,-0.00484596006572247,0,0,0,0,-0.002284039,39
0,20,1.575,-0.298731684684753,-0.00509132537990808,0,0,0,0,-0.002284039,39
0,21,1.65,-0.313760280609131,-0.00527534913271666,0,0,0,0,-0.002284039,39
0,22,1.725,-0.328482210636139,-0.00545937288552523,0,0,0,0,-0.002284039,39
0,23,1.8,-0.343510806560516,-0.00570473773404956,0,0,0,0,-0.002284039,39
0,24,1.875,-0.358539432287216,-0.00588876195251942,0,0,0,0,-0.002284039,39
0,25,1.95,-0.373568028211594,-0.00607278570532799,0,0,0,0,-0.002284039,39
0,26,2.025,-0.388289928436279,-0.00631815055385232,0,0,0,0,-0.002284039,39
0,27,2.1,-0.403318554162979,-0.00650217430666089,0,0,0,0,-0.002284039,39
0,28,2.175,-0.418347150087357,-0.00668619805946946,0,0,0,0,-0.002284039,39
0,29,2.25,-0.433069050312042,-0.00687022181227803,0,0,0,0,-0.002284039,39
0,30,2.325,-0.448097676038742,-0.00705424603074789,0,0,0,0,-0.002284039,39
0,31,2.4,-0.46312627196312,-0.00723826978355646,0,0,0,0,-0.002284039,39
0,32,2.475,-0.477848172187805,-0.00742229353636503,0,0,0,0,-0.002284039,39
0,33,2.55,-0.492876797914505,-0.0076063172891736,0,0,0,0,-0.002284039,39
0,34,2.625,-0.507905423641205,-0.00772899994626641,0,0,0,0,-0.002284039,39
0,35,2.7,-0.522934019565582,-0.0079130232334137,0,0,0,0,-0.002284039,39
0,36,2.775,-0.53765594959259,-0.00809704698622227,0,0,0,0,-0.002284039,39
0,37,2.85,-0.552684545516968,-0.00821973010897636,0,0,0,0,-0.002284039,39
0,38,2.925,-0.567713141441345,-0.00840375386178494,0,0,0,0,-0.002284039,39
0,39,3,-0.582741737365723,-0.00858777761459351,0,0,0,0,-0.002284039,39
0,40,3.075,-0.597463667392731,-0.00877180136740208,0,0,0,0,-0.002284039,39
