Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,1,0.000307000009343028,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,1,2,-0.0493794269859791,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,2,3,-0.0993725582957268,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,3,4,-0.149365693330765,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,4,5,-0.199358820915222,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,5,6,-0.249351963400841,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,6,7,-0.299345105886459,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,7,8,-0.349338233470917,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,8,9,-0.399331361055374,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,9,10,-0.449324488639832,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,10,11,-0.499317616224289,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,11,12,-0.549310743808746,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,12,13,-0.599303901195526,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,13,14,-0.648990333080292,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,14,15,-0.699290156364441,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,15,16,-0.748976588249207,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,16,17,-0.798969745635986,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,17,18,-0.848962843418121,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,18,19,-0.898956000804901,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,19,20,-0.948949098587036,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,20,21,-0.998942255973816,-0.000920118996873498,0,0,0,0,-0.002284039,39
1,21,22,-0.949562549591064,-0.000858777726534754,0,0,0,0,-0.002284039,39
1,22,23,-0.899569392204285,-0.00079743645619601,0,0,0,0,-0.002284039,39
1,23,24,-0.84957629442215,-0.000736095244064927,0,0,0,0,-0.002284039,39
1,24,25,-0.79958313703537,-0.000674753973726183,0,0,0,0,-0.002284039,39
1,25,26,-0.74958997964859,-0.000613412703387439,0,0,0,0,-0.002284039,39
1,26,27,-0.699596881866455,-0.000552071433048695,0,0,0,0,-0.002284039,39
1,27,28,-0.649603724479675,-0.000429388863267377,0,0,0,0,-0.002284039,39
1,28,29,-0.59961062669754,-0.000368047622032464,0,0,0,0,-0.002284039,39
1,29,30,-0.549617469310761,-0.000245365081354976,0,0,0,0,-0.002284039,39
1,30,31,-0.499931037425995,-0.000184023811016232,0,0,0,0,-0.002284039,39
1,31,32,-0.449631214141846,-0.000245365081354976,0,0,0,0,-0.002284039,39
1,32,33,-0.39994478225708,-0.00030670635169372,0,0,0,0,-0.002284039,39
1,33,34,-0.349951654672623,-0.00030670635169372,0,0,0,0,-0.002284039,39
1,34,35,-0.299958497285843,-0.00030670635169372,0,0,0,0,-0.002284039,39
1,35,36,-0.249965369701386,-0.00030670635169372,0,0,0,0,-0.002284039,39
1,36,37,-0.199972242116928,-0.000245365081354976,0,0,0,0,-0.002284039,39
1,37,38,-0.14997909963131,-0.000245365081354976,0,0,0,0,-0.002284039,39
1,38,39,-0.0999859720468521,-0.000245365081354976,0,0,0,0,-0.002284039,39
1,39,40,-0.0499928407371044,-0.000184023811016232,0,0,0,0,-0.002284039,39
1,40,41,2.93659866201779E-07,0,0,0,0,0,-0.002284039,39
1,41,42,0.0496867224574089,0.000490730162709951,0,0,0,0,-0.002284039,39
1,42,43,0.0996798574924469,0.00226962682791054,0,0,0,0,-0.002284039,39
1,43,44,0.149366274476051,0.00619546789675951,0,0,0,0,-0.002284039,39
1,44,45,0.199666127562523,0.0131883723661304,0,0,0,0,-0.002284039,39
1,45,46,0.249352544546127,0.0225735865533352,0,0,0,0,-0.002284039,39
1,46,47,0.299345672130585,0.0333083085715771,0,0,0,0,-0.002284039,39
1,47,48,0.349338829517365,0.0450858324766159,0,0,0,0,-0.002284039,39
1,48,49,0.399331957101822,0.0192611590027809,0,0,0,0,-0.002284039,39
1,49,50,0.449325084686279,0.0313453897833824,0,0,0,0,-0.002284039,39
1,50,51,0.499318212270737,0.0425708405673504,0,0,0,0,-0.002284039,39
1,51,52,0.549311339855194,0.0432455949485302,0,0,0,0,-0.002284039,39
1,52,53,0.599304497241974,0.038890365511179,0,0,0,0,-0.002284039,39
1,53,54,0.649297595024109,0.0339830629527569,0,0,0,0,-0.002284039,39
1,54,55,0.699290752410889,0.0301185622811317,0,0,0,0,-0.002284039,39
1,55,56,0.748977184295654,0.0284010078758001,0,0,0,0,-0.002284039,39
1,56,57,0.798970282077789,0.0231869984418154,0,0,0,0,-0.002284039,39
1,57,58,0.848963439464569,0.0212854202836752,0,0,0,0,-0.002284039,39
1,58,59,0.898956596851349,0.019751887768507,0,0,0,0,-0.002284039,39
1,59,60,0.948949694633484,0.0204266421496868,0,0,0,0,-0.002284039,39
1,60,61,0.998942852020264,0.0226349271833897,0,0,0,0,-0.002284039,39
2,61,62,0.948949694633484,0.0172368958592415,0,0,0,0,-0.002284039,39
2,62,63,0.898956596851349,0.0056433966383338,0,0,0,0,-0.002284039,39
2,63,64,0.849270164966583,-0.00950789637863636,0,0,0,0,-0.002284039,39
2,64,65,0.798970282077789,-0.0172368958592415,0,0,0,0,-0.002284039,39
2,65,66,0.749283909797668,-0.0117161823436618,0,0,0,0,-0.002284039,39
2,66,67,0.699290752410889,-0.00595010304823518,0,0,0,0,-0.002284039,39
2,67,68,0.649297595024109,-0.00171755545306951,0,0,0,0,-0.002284039,39
2,68,69,0.599304497241974,-0.000429388863267377,0,0,0,0,-0.002284039,39
2,69,70,0.549311339855194,0,0,0,0,0,-0.002284039,39
2,70,71,0.499318212270737,0.000122682540677488,0,0,0,0,-0.002284039,39
2,71,72,0.449325084686279,0.000184023811016232,0,0,0,0,-0.002284039,39
2,72,73,0.399331957101822,0.000184023811016232,0,0,0,0,-0.002284039,39
2,73,74,0.349338829517365,0.000184023811016232,0,0,0,0,-0.002284039,39
2,74,75,0.299345672130585,0.000184023811016232,0,0,0,0,-0.002284039,39
2,75,76,0.249352544546127,0.000122682540677488,0,0,0,0,-0.002284039,39
2,76,77,0.199666127562523,0.000122682540677488,0,0,0,0,-0.002284039,39
2,77,78,0.149366274476051,0.000122682540677488,0,0,0,0,-0.002284039,39
2,78,79,0.0996798574924469,6.13412703387439E-05,0,0,0,0,-0.002284039,39
2,79,80,0.0496867224574089,6.13412703387439E-05,0,0,0,0,-0.002284039,39
2,80,81,2.93659866201779E-07,0,0,0,0,0,-0.002284039,39
2,81,82,-0.0499928407371044,-6.13412703387439E-05,0,0,0,0,-0.002284039,39
2,82,83,-0.0999859720468521,-0.000122682540677488,0,0,0,0,-0.002284039,39
2,83,84,-0.14997909963131,-0.000245365081354976,0,0,0,0,-0.002284039,39
2,84,85,-0.199972242116928,-0.000368047622032464,0,0,0,0,-0.002284039,39
2,85,86,-0.249658674001694,-0.000429388863267377,0,0,0,0,-0.002284039,39
2,86,87,-0.299651801586151,-0.000429388863267377,0,0,0,0,-0.002284039,39
2,87,88,-0.349951654672623,-0.000429388863267377,0,0,0,0,-0.002284039,39
2,88,89,-0.39994478225708,-0.000429388863267377,0,0,0,0,-0.002284039,39
2,89,90,-0.449631214141846,-0.000490730162709951,0,0,0,0,-0.002284039,39
2,90,91,-0.499624341726303,-0.000490730162709951,0,0,0,0,-0.002284039,39
2,91,92,-0.549617469310761,-0.000552071433048695,0,0,0,0,-0.002284039,39
2,92,93,-0.59961062669754,-0.000613412703387439,0,0,0,0,-0.002284039,39
2,93,94,-0.649603724479675,-0.000674753973726183,0,0,0,0,-0.002284039,39
2,94,95,-0.699596881866455,-0.000674753973726183,0,0,0,0,-0.002284039,39
2,95,96,-0.74958997964859,-0.000674753973726183,0,0,0,0,-0.002284039,39
2,96,97,-0.79958313703537,-0.000674753973726183,0,0,0,0,-0.002284039,39
2,97,98,-0.84957629442215,-0.000736095244064927,0,0,0,0,-0.002284039,39
2,98,99,-0.899569392204285,-0.000736095244064927,0,0,0,0,-0.002284039,39
