Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,1,0.000307000009343028,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,1,2,-0.199358820915222,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,2,3,-0.399331361055374,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,3,4,-0.598997175693512,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,4,5,-0.798969745635986,-0.00134950794745237,0,0,0,0,-0.002284039,39
0,5,6,-0.998942255973816,-0.00165621424093843,0,0,0,0,-0.002284039,39
1,6,7,-0.79958313703537,-0.00104280153755099,0,0,0,0,-0.002284039,39
1,7,8,-0.59961062669754,-0.000552071433048695,0,0,0,0,-0.002284039,39
1,8,9,-0.399638056755066,-0.00030670635169372,0,0,0,0,-0.002284039,39
1,9,10,-0.199972242116928,-0.000245365081354976,0,0,0,0,-0.002284039,39
1,10,11,2.93659866201779E-07,0.000184023811016232,0,0,0,0,-0.002284039,39
1,11,12,0.19935941696167,0.0236777290701866,0,0,0,0,-0.002284039,39
1,12,13,0.399331957101822,0.0812771767377853,0,0,0,0,-0.002284039,39
1,13,14,0.599304497241974,0.0383996330201626,0,0,0,0,-0.002284039,39
1,14,15,0.798970282077789,0.079130232334137,0,0,0,0,-0.002284039,39
1,15,16,0.998942852020264,0.0795596241950989,0,0,0,0,-0.002284039,39
2,16,17,0.799583733081818,0.0785168260335922,0,0,0,0,-0.002284039,39
2,17,18,0.587342917919159,0.0323881879448891,0,0,0,0,-0.002284039,39
2,18,19,0.375102162361145,-0.0458832681179047,0,0,0,0,-0.002284039,39
2,19,20,0.162861362099648,-0.101029068231583,0,0,0,0,-0.002284039,39
2,20,21,-0.0493794269859791,-0.0556365288794041,0,0,0,0,-0.002284039,39
2,21,22,-0.261926919221878,-0.0123295951634645,0,0,0,0,-0.002284039,39
2,22,23,-0.474167704582214,-0.00521400757133961,0,0,0,0,-0.002284039,39
2,23,24,-0.686715185642242,-0.0028216983191669,0,0,0,0,-0.002284039,39
2,24,25,-0.898956000804901,-0.00196292065083981,0,0,0,0,-0.002284039,39
2,25,26,-0.898956000804901,-0.00128816661890596,0,0,0,0,-0.002284039,39
