Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,1,0.000613706361036748,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,1,2,-0.0993725582957268,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,2,3,-0.19905212521553,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,3,4,-0.299038380384445,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,4,5,-0.399024665355682,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,5,6,-0.499010920524597,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,6,7,-0.598690509796143,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,7,8,-0.698676764965057,-0.000981460325419903,0,0,0,0,-0.002284039,39
0,8,9,-0.798663020133972,-0.00159487291239202,0,0,0,0,-0.002284039,39
0,9,10,-0.898649275302887,-0.00177889678161591,0,0,0,0,-0.002284039,39
0,10,11,-0.998635530471802,-0.00153353170026094,0,0,0,0,-0.002284039,39
0,11,12,-1.09862184524536,-0.00141084915958345,0,0,0,0,-0.002284039,39
0,12,13,-1.19860804080963,-0.00141084915958345,0,0,0,0,-0.002284039,39
0,13,14,-1.29859435558319,-0.00165621424093843,0,0,0,0,-0.002284039,39
0,14,15,-1.39827394485474,-0.00196292065083981,0,0,0,0,-0.002284039,39
0,15,16,-1.49826014041901,-0.00276035699062049,0,0,0,0,-0.002284039,39
0,16,17,-1.59824645519257,-0.00484596006572247,0,0,0,0,-0.002284039,39
0,17,18,-1.69823276996613,-0.00913984887301922,0,0,0,0,-0.002284039,39
0,18,19,-1.79791224002838,-0.0160714127123356,0,0,0,0,-0.002284039,39
0,19,20,-1.89789855480194,-0.0278489347547293,0,0,0,0,-0.002284039,39
0,20,21,-1.99788475036621,-0.0772286579012871,0,0,0,0,-0.002284039,39
1,21,22,-1.89820528030396,-0.0296891741454601,0,0,0,0,-0.002284039,39
1,22,23,-1.7982189655304,0.0156420227140188,0,0,0,0,-0.002284039,39
1,23,24,-1.69853937625885,-0.00803570635616779,0,0,0,0,-0.002284039,39
1,24,25,-1.59855318069458,-0.00386449997313321,0,0,0,0,-0.002284039,39
1,25,26,-1.49856686592102,-0.001840237993747,0,0,0,0,-0.002284039,39
1,26,27,-1.39858067035675,-0.00116548407822847,0,0,0,0,-0.002284039,39
1,27,28,-1.29859435558319,-0.000920118996873498,0,0,0,0,-0.002284039,39
1,28,29,-1.19860804080963,-0.000858777726534754,0,0,0,0,-0.002284039,39
1,29,30,-1.09892857074738,-0.000674753973726183,0,0,0,0,-0.002284039,39
1,30,31,-0.998942255973816,-0.000613412703387439,0,0,0,0,-0.002284039,39
1,31,32,-0.898956000804901,-0.000613412703387439,0,0,0,0,-0.002284039,39
1,32,33,-0.798969745635986,-0.000490730162709951,0,0,0,0,-0.002284039,39
1,33,34,-0.698983430862427,-0.00030670635169372,0,0,0,0,-0.002284039,39
1,34,35,-0.598997175693512,0.000122682540677488,0,0,0,0,-0.002284039,39
1,35,36,-0.499317616224289,0.000490730162709951,0,0,0,0,-0.002284039,39
1,36,37,-0.399331361055374,0.000429388863267377,0,0,0,0,-0.002284039,39
1,37,38,-0.299345105886459,0.000368047622032464,0,0,0,0,-0.002284039,39
1,38,39,-0.199358820915222,0.000490730162709951,0,0,0,0,-0.002284039,39
1,39,40,-0.0993725582957268,0.000490730162709951,0,0,0,0,-0.002284039,39
1,40,41,0.000307000009343028,0.000981460325419903,0,0,0,0,-0.002284039,39
1,41,42,0.0999865606427193,0.00705424603074789,0,0,0,0,-0.002284039,39
1,42,43,0.199972823262215,0.0270514991134405,0,0,0,0,-0.002284039,39
1,43,44,0.299959093332291,0.0548390932381153,0,0,0,0,-0.002284039,39
1,44,45,0.399945348501205,0.0846509486436844,0,0,0,0,-0.002284039,39
1,45,46,0.499931633472443,0.114094756543636,0,0,0,0,-0.002284039,39
1,46,47,0.599611163139343,0.0831174179911613,0,0,0,0,-0.002284039,39
1,47,48,0.699904143810272,0.0274808872491121,0,0,0,0,-0.002284039,39
1,48,49,0.799583733081818,0.0383382923901081,0,0,0,0,-0.002284039,39
1,49,50,0.899569988250732,0.0529375150799751,0,0,0,0,-0.002284039,39
1,50,51,0.999556243419647,0.0639175996184349,0,0,0,0,-0.002284039,39
2,51,52,0.899569988250732,0.0698677077889442,0,0,0,0,-0.002284039,39
2,52,53,0.799583733081818,0.0711558684706688,0,0,0,0,-0.002284039,39
2,53,54,0.699597477912903,0.0537349507212639,0,0,0,0,-0.002284039,39
2,54,55,0.599611163139343,0.026990158483386,0,0,0,0,-0.002284039,39
2,55,56,0.499931633472443,0.0056433966383338,0,0,0,0,-0.002284039,39
2,56,57,0.399945348501205,-0.0215307846665382,0,0,0,0,-0.002284039,39
2,57,58,0.299959093332291,-0.0463126562535763,0,0,0,0,-0.002284039,39
2,58,59,0.200279533863068,-0.0694996565580368,0,0,0,0,-0.002284039,39
2,59,60,0.100293263792992,-0.0935454368591309,0,0,0,0,-0.002284039,39
2,60,61,0.000307000009343028,-0.0555751882493496,0,0,0,0,-0.002284039,39
