Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.5,0.000307000009343028,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,1,1,-0.0490727201104164,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,2,1.5,-0.0993725582957268,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,3,2,-0.149058982729912,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,4,2.5,-0.19905212521553,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,5,3,-0.249045252799988,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,6,3.5,-0.299038380384445,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,7,4,-0.349031507968903,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,8,4.5,-0.399024665355682,-0.000981460325419903,0,0,0,0,-0.002284039,39
0,9,5,-0.44901779294014,-0.00116548407822847,0,0,0,0,-0.002284039,39
0,10,5.5,-0.499010920524597,-0.00134950794745237,0,0,0,0,-0.002284039,39
0,11,6,-0.549004077911377,-0.00153353170026094,0,0,0,0,-0.002284039,39
0,12,6.5,-0.598997175693512,-0.001840237993747,0,0,0,0,-0.002284039,39
0,13,7,-0.648990333080292,-0.00196292065083981,0,0,0,0,-0.002284039,39
0,14,7.5,-0.698983430862427,-0.00202426174655557,0,0,0,0,-0.002284039,39
0,15,8,-0.748669862747192,-0.00214694440364838,0,0,0,0,-0.002284039,39
0,16,8.5,-0.798663020133972,-0.00239230948500335,0,0,0,0,-0.002284039,39
0,17,9,-0.848656177520752,-0.00263767456635833,0,0,0,0,-0.002284039,39
0,18,9.5,-0.898649275302887,-0.0028830396477133,0,0,0,0,-0.002284039,39
0,19,10,-0.948642432689667,-0.00318974582478404,0,0,0,0,-0.002284039,39
0,20,10.5,-0.998635530471802,-0.00368047598749399,0,0,0,0,-0.002284039,39
0,21,11,-1.04862868785858,-0.00441657146438956,0,0,0,0,-0.002284039,39
0,22,11.5,-1.09862184524536,-0.00545937288552523,0,0,0,0,-0.002284039,39
0,23,12,-1.14861500263214,-0.00693156337365508,0,0,0,0,-0.002284039,39
0,24,12.5,-1.19860804080963,-0.00907850731164217,0,0,0,0,-0.002284039,39
0,25,13,-1.2482944726944,-0.0122682536020875,0,0,0,0,-0.002284039,39
0,26,13.5,-1.29828763008118,-0.0387063398957253,0,0,0,0,-0.002284039,39
0,27,14,-1.34828078746796,-0.0696223378181458,0,0,0,0,-0.002284039,39
0,28,14.5,-1.39827394485474,-0.0995568782091141,0,0,0,0,-0.002284039,39
0,29,15,-1.44826710224152,-0.129184707999229,0,0,0,0,-0.002284039,39
0,30,15.5,-1.49826014041901,-0.158689856529236,0,0,0,0,-0.002284039,39
0,31,16,-1.54825329780579,-0.187949642539024,0,0,0,0,-0.002284039,39
0,32,16.5,-1.59824645519257,-0.216534674167633,0,0,0,0,-0.002284039,39
0,33,17,-1.64823961257935,-0.0988207831978798,0,0,0,0,-0.002284039,39
0,34,17.5,-1.69792604446411,-0.0537962913513184,0,0,0,0,-0.002284039,39
0,35,18,-1.74853253364563,-0.0625680908560753,0,0,0,0,-0.002284039,39
0,36,18.5,-1.79791224002838,-0.0818292498588562,0,0,0,0,-0.002284039,39
0,37,19,-1.84790539741516,-0.103666745126247,0,0,0,0,-0.002284039,39
0,38,19.5,-1.89789855480194,-0.122866563498974,0,0,0,0,-0.002284039,39
0,39,20,-1.94789171218872,-0.136361643671989,0,0,0,0,-0.002284039,39
0,40,20.5,-1.99788475036621,-0.145256116986275,0,0,0,0,-0.002284039,39
1,41,21,-1.94789171218872,-0.137649804353714,0,0,0,0,-0.002284039,39
1,42,21.5,-1.89820528030396,-0.143906608223915,0,0,0,0,-0.002284039,39
1,43,22,-1.84821212291718,-0.150531470775604,0,0,0,0,-0.002284039,39
1,44,22.5,-1.7982189655304,-0.147648438811302,0,0,0,0,-0.002284039,39
1,45,23,-1.74822580814362,-0.144765391945839,0,0,0,0,-0.002284039,39
1,46,23.5,-1.69823276996613,-0.145685508847237,0,0,0,0,-0.002284039,39
1,47,24,-1.64823961257935,-0.135993584990501,0,0,0,0,-0.002284039,39
1,48,24.5,-1.59824645519257,-0.128203243017197,0,0,0,0,-0.002284039,39
1,49,25,-1.54825329780579,-0.117039136588573,0,0,0,0,-0.002284039,39
1,50,25.5,-1.49826014041901,-0.0981460288167,0,0,0,0,-0.002284039,39
1,51,26,-1.44826710224152,-0.0865525305271149,0,0,0,0,-0.002284039,39
1,52,26.5,-1.39858067035675,-0.0664325952529907,0,0,0,0,-0.002284039,39
1,53,27,-1.34858751296997,-0.0517106875777245,0,0,0,0,-0.002284039,39
1,54,27.5,-1.29859435558319,-0.0313453897833824,0,0,0,0,-0.002284039,39
1,55,28,-1.24860119819641,-0.00883314292877913,0,0,0,0,-0.002284039,39
1,56,28.5,-1.19860804080963,0.0149059277027845,0,0,0,0,-0.002284039,39
1,57,29,-1.14892160892487,0.0391357280313969,0,0,0,0,-0.002284039,39
1,58,29.5,-1.09892857074738,0.063672237098217,0,0,0,0,-0.002284039,39
1,59,30,-1.0489354133606,0.0880860611796379,0,0,0,0,-0.002284039,39
1,60,30.5,-0.998942255973816,0.113297320902348,0,0,0,0,-0.002284039,39
1,61,31,-0.948949098587036,0.13826322555542,0,0,0,0,-0.002284039,39
1,62,31.5,-0.899262666702271,0.159364610910416,0,0,0,0,-0.002284039,39
1,63,32,-0.849269568920136,0.181570157408714,0,0,0,0,-0.002284039,39
1,64,32.5,-0.799276411533356,0.207701534032822,0,0,0,0,-0.002284039,39
1,65,33,-0.749283313751221,0.205554589629173,0,0,0,0,-0.002284039,39
1,66,33.5,-0.699290156364441,0.193347677588463,0,0,0,0,-0.002284039,39
1,67,34,-0.649296998977661,0.203591674566269,0,0,0,0,-0.002284039,39
1,68,34.5,-0.599303901195526,0.220767229795456,0,0,0,0,-0.002284039,39
1,69,35,-0.549617469310761,0.236838638782501,0,0,0,0,-0.002284039,39
1,70,35.5,-0.499624341726303,0.246223852038383,0,0,0,0,-0.002284039,39
1,71,36,-0.449324488639832,0.240703135728836,0,0,0,0,-0.002284039,39
1,72,36.5,-0.399331361055374,0.00398718239739537,0,0,0,0,-0.002284039,39
1,73,37,-0.349338233470917,0.00325108715333045,0,0,0,0,-0.002284039,39
1,74,37.5,-0.299345105886459,0.00294438097625971,0,0,0,0,-0.002284039,39
1,75,38,-0.249351963400841,0.00294438097625971,0,0,0,0,-0.002284039,39
1,76,38.5,-0.199358820915222,0.0028830396477133,0,0,0,0,-0.002284039,39
1,77,39,-0.149365693330765,0.00276035699062049,0,0,0,0,-0.002284039,39
1,78,39.5,-0.0993725582957268,0.00269901589490473,0,0,0,0,-0.002284039,39
1,79,40,-0.0493794269859791,0.00269901589490473,0,0,0,0,-0.002284039,39
1,80,40.5,0.000307000009343028,0.00269901589490473,0,0,0,0,-0.002284039,39
1,81,41,0.0503001324832439,0.00294438097625971,0,0,0,0,-0.002284039,39
1,82,41.5,0.0999865606427193,0.00343511090613902,0,0,0,0,-0.002284039,39
1,83,42,0.149979695677757,0.00349645223468542,0,0,0,0,-0.002284039,39
1,84,42.5,0.199972823262215,0.00349645223468542,0,0,0,0,-0.002284039,39
1,85,43,0.249965965747833,0.00343511090613902,0,0,0,0,-0.002284039,39
1,86,43.5,0.299959093332291,0.00355779356323183,0,0,0,0,-0.002284039,39
1,87,44,0.349952220916748,0.00502998381853104,0,0,0,0,-0.002284039,39
1,88,44.5,0.399945348501205,0.00337376981042326,0,0,0,0,-0.002284039,39
1,89,45,0.449938505887985,0.00355779356323183,0,0,0,0,-0.002284039,39
1,90,45.5,0.499931633472443,0.0037418173160404,0,0,0,0,-0.002284039,39
1,91,46,0.549924790859222,0.0038031586445868,0,0,0,0,-0.002284039,39
1,92,46.5,0.599917888641357,0.00392584130167961,0,0,0,0,-0.002284039,39
1,93,47,0.649911046028137,0.00441657146438956,0,0,0,0,-0.002284039,39
1,94,47.5,0.699904143810272,0.00527534913271666,0,0,0,0,-0.002284039,39
1,95,48,0.749590575695038,0.0076063172891736,0,0,0,0,-0.002284039,39
1,96,48.5,0.799583733081818,0.0145378801971674,0,0,0,0,-0.002284039,39
1,97,49,0.849576830863953,0.0257633328437805,0,0,0,0,-0.002284039,39
1,98,49.5,0.899569988250732,0.0374795161187649,0,0,0,0,-0.002284039,39
1,99,50,0.949563145637512,0.0510359331965446,0,0,0,0,-0.002284039,39
1,100,50.5,0.999556243419647,0.0687635615468025,0,0,0,0,-0.002284039,39
2,101,51,0.949563145637512,0.0421414524316788,0,0,0,0,-0.002284039,39
2,102,51.5,0.899569988250732,0.0190157927572727,0,0,0,0,-0.002284039,39
2,103,52,0.849576830863953,-0.00104280153755099,0,0,0,0,-0.002284039,39
2,104,52.5,0.799890398979187,-0.0155806820839643,0,0,0,0,-0.002284039,39
2,105,53,0.749590575695038,-0.0190157927572727,0,0,0,0,-0.002284039,39
2,106,53.5,0.699904143810272,-0.0128816664218903,0,0,0,0,-0.002284039,39
2,107,54,0.649911046028137,-0.00840375386178494,0,0,0,0,-0.002284039,39
2,108,54.5,0.599917888641357,-0.00539803178980947,0,0,0,0,-0.002284039,39
2,109,55,0.549924790859222,-0.00343511090613902,0,0,0,0,-0.002284039,39
2,110,55.5,0.499931633472443,-0.00214694440364838,0,0,0,0,-0.002284039,39
2,111,56,0.449938505887985,-0.00147219048812985,0,0,0,0,-0.002284039,39
2,112,56.5,0.399945348501205,-0.00104280153755099,0,0,0,0,-0.002284039,39
2,113,57,0.349952220916748,-0.00079743645619601,0,0,0,0,-0.002284039,39
2,114,57.5,0.299959093332291,-0.000613412703387439,0,0,0,0,-0.002284039,39
2,115,58,0.249965965747833,-0.000552071433048695,0,0,0,0,-0.002284039,39
2,116,58.5,0.199972823262215,-0.000490730162709951,0,0,0,0,-0.002284039,39
2,117,59,0.149979695677757,-0.000552071433048695,0,0,0,0,-0.002284039,39
2,118,59.5,0.100293263792992,-0.000674753973726183,0,0,0,0,-0.002284039,39
2,119,60,0.0499934256076813,-0.000981460325419903,0,0,0,0,-0.002284039,39
2,120,60.5,0.000307000009343028,-0.00122682540677488,0,0,0,0,-0.002284039,39
2,121,61,-0.0493794269859791,-0.00141084915958345,0,0,0,0,-0.002284039,39
2,122,61.5,-0.0993725582957268,-0.00159487291239202,0,0,0,0,-0.002284039,39
2,123,62,-0.149365693330765,-0.00153353170026094,0,0,0,0,-0.002284039,39
2,124,62.5,-0.199358820915222,-0.00153353170026094,0,0,0,0,-0.002284039,39
2,125,63,-0.249351963400841,-0.00153353170026094,0,0,0,0,-0.002284039,39
2,126,63.5,-0.299345105886459,-0.00159487291239202,0,0,0,0,-0.002284039,39
2,127,64,-0.349338233470917,-0.00165621424093843,0,0,0,0,-0.002284039,39
2,128,64.5,-0.399331361055374,-0.00165621424093843,0,0,0,0,-0.002284039,39
2,129,65,-0.449324488639832,-0.00171755545306951,0,0,0,0,-0.002284039,39
2,130,65.5,-0.499317616224289,-0.00177889678161591,0,0,0,0,-0.002284039,39
2,131,66,-0.549310743808746,-0.00196292065083981,0,0,0,0,-0.002284039,39
2,132,66.5,-0.598997175693512,-0.00220828573219478,0,0,0,0,-0.002284039,39
2,133,67,-0.648990333080292,-0.00251499190926552,0,0,0,0,-0.002284039,39
2,134,67.5,-0.699290156364441,-0.0028216983191669,0,0,0,0,-0.002284039,39
2,135,68,-0.748976588249207,-0.00325108715333045,0,0,0,0,-0.002284039,39
2,136,68.5,-0.798969745635986,-0.00392584130167961,0,0,0,0,-0.002284039,39
2,137,69,-0.848962843418121,-0.00521400757133961,0,0,0,0,-0.002284039,39
2,138,69.5,-0.898956000804901,-0.0272968634963036,0,0,0,0,-0.002284039,39
2,139,70,-0.948642432689667,-0.0563726238906384,0,0,0,0,-0.002284039,39
2,140,70.5,-0.998635530471802,-0.0834241211414337,0,0,0,0,-0.002284039,39
