Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.25,0.000613706361036748,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,1,0.5,-0.0490727201104164,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,2,0.75,-0.0990658551454544,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,3,1,-0.149058982729912,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,4,1.25,-0.19905212521553,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,5,1.5,-0.249045252799988,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,6,1.75,-0.299038380384445,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,7,2,-0.349031507968903,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,8,2.25,-0.399024665355682,-0.00104280153755099,0,0,0,0,-0.002284039,39
0,9,2.5,-0.44901779294014,-0.00128816661890596,0,0,0,0,-0.002284039,39
0,10,2.75,-0.499010920524597,-0.00147219048812985,0,0,0,0,-0.002284039,39
0,11,3,-0.549004077911377,-0.00171755545306951,0,0,0,0,-0.002284039,39
0,12,3.25,-0.598690509796143,-0.00202426174655557,0,0,0,0,-0.002284039,39
0,13,3.5,-0.648990333080292,-0.00239230948500335,0,0,0,0,-0.002284039,39
0,14,3.75,-0.698983430862427,-0.00245365081354976,0,0,0,0,-0.002284039,39
0,15,4,-0.748669862747192,-0.00257633323781192,0,0,0,0,-0.002284039,39
0,16,4.25,-0.798663020133972,-0.00276035699062049,0,0,0,0,-0.002284039,39
0,17,4.5,-0.848656177520752,-0.00306706340052187,0,0,0,0,-0.002284039,39
0,18,4.75,-0.898649275302887,-0.00337376981042326,0,0,0,0,-0.002284039,39
0,19,5,-0.948642432689667,-0.0038031586445868,0,0,0,0,-0.002284039,39
0,20,5.25,-0.998635530471802,-0.00447791256010532,0,0,0,0,-0.002284039,39
0,21,5.5,-1.04862868785858,-0.00539803178980947,0,0,0,0,-0.002284039,39
0,22,5.75,-1.09862184524536,-0.00687022181227803,0,0,0,0,-0.002284039,39
0,23,6,-1.14861500263214,-0.00907850731164217,0,0,0,0,-0.002284039,39
0,24,6.25,-1.19860804080963,-0.0123295951634645,0,0,0,0,-0.002284039,39
0,25,6.5,-1.2482944726944,-0.0189544521272182,0,0,0,0,-0.002284039,39
0,26,6.75,-1.29828763008118,-0.0536122694611549,0,0,0,0,-0.002284039,39
0,27,7,-1.34828078746796,-0.0849576592445374,0,0,0,0,-0.002284039,39
0,28,7.25,-1.39827394485474,-0.115628287196159,0,0,0,0,-0.002284039,39
0,29,7.5,-1.44826710224152,-0.145685508847237,0,0,0,0,-0.002284039,39
0,30,7.75,-1.49826014041901,-0.175252005457878,0,0,0,0,-0.002284039,39
0,31,8,-1.54825329780579,-0.204757153987885,0,0,0,0,-0.002284039,39
0,32,8.25,-1.59824645519257,-0.233894258737564,0,0,0,0,-0.002284039,39
0,33,8.5,-1.64823961257935,-0.2628473341465,0,0,0,0,-0.002284039,39
0,34,8.75,-1.69792604446411,-0.291125655174255,0,0,0,0,-0.002284039,39
0,35,9,-1.7479190826416,-0.271925836801529,0,0,0,0,-0.002284039,39
0,36,9.25,-1.79791224002838,-0.158444494009018,0,0,0,0,-0.002284039,39
0,37,9.5,-1.80711340904236,-0.0917051956057549,0,0,0,0,-0.002284039,39
0,38,9.75,-1.45010733604431,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,39,10,-1.37128376960754,-0.000245365081354976,0,0,0,0,-0.002284039,39
