Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.075,0.000307000009343028,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,1,0.15,-0.014721610583365,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,2,0.225,-0.029750220477581,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,3,0.3,-0.0447788313031197,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,4,0.375,-0.0598074421286583,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,5,0.45,-0.0748360529541969,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,6,0.525,-0.0898646637797356,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,7,0.6,-0.104893274605274,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,8,0.675,-0.119921885430813,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,9,0.75,-0.134950488805771,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,10,0.825,-0.14997909963131,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,11,0.9,-0.165007710456848,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,12,0.975,-0.180036321282387,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,13,1.05,-0.195064932107925,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,14,1.125,-0.210093542933464,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,15,1.2,-0.225122153759003,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,16,1.275,-0.240150764584541,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,17,1.35,-0.25517937541008,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,18,1.425,-0.27020800113678,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,19,1.5,-0.285236597061157,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,20,1.575,-0.300265222787857,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,21,1.65,-0.315293818712235,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,22,1.725,-0.330322444438934,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,23,1.8,-0.345351040363312,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,24,1.875,-0.360379666090012,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,25,1.95,-0.375408262014389,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,26,2.025,-0.390743583440781,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,27,2.1,-0.405465483665466,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,28,2.175,-0.420494109392166,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,29,2.25,-0.435829401016235,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,30,2.325,-0.450858026742935,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,31,2.4,-0.465886622667313,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,32,2.475,-0.480915248394012,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,33,2.55,-0.49594384431839,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,34,2.625,-0.510972440242767,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,35,2.7,-0.52600109577179,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,36,2.775,-0.541029691696167,-0.000552071433048695,0,0,0,0,-0.002284039,39
