Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.1,0.000307000009343028,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,1,0.2,-0.0193222053349018,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,2,0.3,-0.0392581187188625,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,3,0.4,-0.059194028377533,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,4,0.5,-0.0794366449117661,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,5,0.6,-0.0993725582957268,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,6,0.7,-0.119308471679688,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,7,0.8,-0.139244377613068,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,8,0.9,-0.159180298447609,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,9,1,-0.179116204380989,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,10,1.1,-0.199358820915222,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,11,1.2,-0.219294741749763,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,12,1.3,-0.239230647683144,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,13,1.4,-0.259166568517685,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,14,1.5,-0.279102474451065,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,15,1.6,-0.299038380384445,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,16,1.7,-0.318974286317825,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,17,1.8,-0.33921691775322,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,18,1.9,-0.3591528236866,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,19,2,-0.37908872961998,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,20,2.1,-0.399024665355682,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,21,2.2,-0.418960571289063,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,22,2.3,-0.439203172922134,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,23,2.4,-0.459139108657837,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,24,2.5,-0.479075014591217,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,25,2.6,-0.499010920524597,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,26,2.7,-0.518946826457977,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,27,2.8,-0.539189457893372,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,28,2.9,-0.559125363826752,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,29,3,-0.579061269760132,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,30,3.1,-0.598997175693512,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,31,3.2,-0.618933081626892,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,32,3.3,-0.638868987560272,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,33,3.4,-0.658804953098297,-0.000981460325419903,0,0,0,0,-0.002284039,39
0,34,3.5,-0.679047524929047,-0.000981460325419903,0,0,0,0,-0.002284039,39
0,35,3.6,-0.698983430862427,-0.00104280153755099,0,0,0,0,-0.002284039,39
0,36,3.7,-0.718919396400452,-0.00110414286609739,0,0,0,0,-0.002284039,39
0,37,3.8,-0.738855302333832,-0.00116548407822847,0,0,0,0,-0.002284039,39
0,38,3.9,-0.758791208267212,-0.00134950794745237,0,0,0,0,-0.002284039,39
0,39,4,-0.778727114200592,-0.00147219048812985,0,0,0,0,-0.002284039,39
0,40,4.1,-0.798969745635986,-0.00159487291239202,0,0,0,0,-0.002284039,39
0,41,4.2,-0.818905651569366,-0.00177889678161591,0,0,0,0,-0.002284039,39
0,42,4.3,-0.838841557502747,-0.00208560307510197,0,0,0,0,-0.002284039,39
0,43,4.4,-0.858777463436127,-0.00239230948500335,0,0,0,0,-0.002284039,39
0,44,4.5,-0.878713369369507,-0.00276035699062049,0,0,0,0,-0.002284039,39
0,45,4.6,-0.898956000804901,-0.00312840472906828,0,0,0,0,-0.002284039,39
0,46,4.7,-0.918891906738281,-0.00361913489177823,0,0,0,0,-0.002284039,39
0,47,4.8,-0.938827812671661,-0.00429388880729675,0,0,0,0,-0.002284039,39
0,48,4.9,-0.958763718605042,-0.00490730162709951,0,0,0,0,-0.002284039,39
0,49,5,-0.978699624538422,-0.00576607929542661,0,0,0,0,-0.002284039,39
0,50,5.1,-0.998635530471802,-0.0066248569637537,0,0,0,0,-0.002284039,39
0,51,5.2,-1.01887822151184,-0.00772899994626641,0,0,0,0,-0.002284039,39
0,52,5.3,-1.03881406784058,-0.0164394602179527,0,0,0,0,-0.002284039,39
0,53,5.4,-1.0587500333786,-0.0265607684850693,0,0,0,0,-0.002284039,39
0,54,5.5,-1.07868587970734,-0.0383996330201626,0,0,0,0,-0.002284039,39
0,55,5.6,-1.09862184524536,-0.0491343550384045,0,0,0,0,-0.002284039,39
0,56,5.7,-1.1185576915741,-0.0603598095476627,0,0,0,0,-0.002284039,39
