Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,1,-0.154886409640312,-2.45306353008345E-07,0,0,0,0,-0.002284039,41
0,1,2,-0.154886409640312,-3.6798888913836E-07,0,0,0,0,-0.002284039,41
0,2,3,-0.154886409640312,-1.83965070732484E-07,0,0,0,0,-0.002284039,41
0,3,4,-0.154886409640312,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,4,5,-0.154886409640312,-3.06647621073353E-07,0,0,0,0,-0.002284039,41
0,5,6,-0.154886409640312,-3.6798888913836E-07,0,0,0,0,-0.002284039,41
0,6,7,-0.155193120241165,-1.83965070732484E-07,0,0,0,0,-0.002284039,41
0,7,8,-0.155193120241165,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,8,9,-0.155193120241165,-3.06647621073353E-07,0,0,0,0,-0.002284039,41
0,9,10,-0.155193120241165,-3.06647621073353E-07,0,0,0,0,-0.002284039,41
0,10,11,-0.155193120241165,-1.83965070732484E-07,0,0,0,0,-0.002284039,41
0,11,12,-0.155193120241165,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,12,13,-0.15580652654171,-9.81401512945013E-07,0,0,0,0,-0.002284039,41
0,13,14,-0.157033354043961,-1.59481419359508E-06,0,0,0,0,-0.002284039,41
0,14,15,-0.157340064644814,-6.13353961398388E-07,0,0,0,0,-0.002284039,41
0,15,16,-0.157953470945358,-3.6798888913836E-07,0,0,0,0,-0.002284039,41
0,16,17,-0.157340064644814,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,17,18,-0.156726643443108,-1.83965070732484E-07,0,0,0,0,-0.002284039,41
0,18,19,-0.156419932842255,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,19,20,-0.156419932842255,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,20,21,-0.156419932842255,-2.45306353008345E-07,0,0,0,0,-0.002284039,41
0,21,22,-0.156113237142563,-1.83965070732484E-07,0,0,0,0,-0.002284039,41
0,22,23,-0.156113237142563,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,23,24,-0.156113237142563,-1.83965070732484E-07,0,0,0,0,-0.002284039,41
0,24,25,-0.156113237142563,-2.45306353008345E-07,0,0,0,0,-0.002284039,41
0,25,26,-0.156113237142563,-2.45306353008345E-07,0,0,0,0,-0.002284039,41
0,26,27,-0.156113237142563,-1.83965070732484E-07,0,0,0,0,-0.002284039,41
0,27,28,-0.156113237142563,-1.83965070732484E-07,0,0,0,0,-0.002284039,41
0,28,29,-0.156113237142563,-2.45306353008345E-07,0,0,0,0,-0.002284039,41
0,29,30,-0.15580652654171,-2.45306353008345E-07,0,0,0,0,-0.002284039,41
0,30,31,-0.156113237142563,-1.83965070732484E-07,0,0,0,0,-0.002284039,41
0,31,32,-0.15580652654171,-2.45306353008345E-07,0,0,0,0,-0.002284039,41
0,32,33,-0.156726643443108,-1.04274283785344E-06,0,0,0,0,-0.002284039,41
0,33,34,-0.157646760344505,-9.81401512945013E-07,0,0,0,0,-0.002284039,41
0,34,35,-0.158260181546211,-7.9737776559341E-07,0,0,0,0,-0.002284039,41
0,35,36,-0.158566877245903,-8.58719033658417E-07,0,0,0,0,-0.002284039,41
0,36,37,-0.157953470945358,-3.6798888913836E-07,0,0,0,0,-0.002284039,41
0,37,38,-0.157646760344505,-3.06647621073353E-07,0,0,0,0,-0.002284039,41
0,38,39,-0.157340064644814,-3.6798888913836E-07,0,0,0,0,-0.002284039,41
0,39,40,-0.157033354043961,-3.06647621073353E-07,0,0,0,0,-0.002284039,41
0,40,41,-0.157033354043961,-2.45306353008345E-07,0,0,0,0,-0.002284039,41
0,41,42,-0.156726643443108,-3.06647621073353E-07,0,0,0,0,-0.002284039,41
0,42,43,-0.156726643443108,-2.45306353008345E-07,0,0,0,0,-0.002284039,41
0,43,44,-0.156726643443108,-1.83965070732484E-07,0,0,0,0,-0.002284039,41
0,44,45,-0.156726643443108,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,45,46,-0.156726643443108,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,46,47,-0.156726643443108,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,47,48,-0.156726643443108,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,48,49,-0.156726643443108,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,49,50,-0.156726643443108,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,50,51,-0.156726643443108,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,51,52,-0.156726643443108,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,52,53,-0.157340064644814,-6.13353961398388E-07,0,0,0,0,-0.002284039,41
0,53,54,-0.158260181546211,-5.52012693333381E-07,0,0,0,0,-0.002284039,41
0,54,55,-0.158873587846756,-1.22676658520504E-06,0,0,0,0,-0.002284039,41
0,55,56,-0.159487009048462,-1.28810791011347E-06,0,0,0,0,-0.002284039,41
0,56,57,-0.158873587846756,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,57,58,-0.158260181546211,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,58,59,-0.157953470945358,-2.45306353008345E-07,0,0,0,0,-0.002284039,41
0,59,60,-0.157646760344505,-2.45306353008345E-07,0,0,0,0,-0.002284039,41
0,60,61,-0.157646760344505,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,61,62,-0.157646760344505,-1.83965070732484E-07,0,0,0,0,-0.002284039,41
0,62,63,-0.157646760344505,-3.06647621073353E-07,0,0,0,0,-0.002284039,41
0,63,64,-0.157340064644814,-2.45306353008345E-07,0,0,0,0,-0.002284039,41
0,64,65,-0.157340064644814,-2.45306353008345E-07,0,0,0,0,-0.002284039,41
0,65,66,-0.157340064644814,-3.06647621073353E-07,0,0,0,0,-0.002284039,41
0,66,67,-0.157340064644814,-3.6798888913836E-07,0,0,0,0,-0.002284039,41
0,67,68,-0.157340064644814,-3.06647621073353E-07,0,0,0,0,-0.002284039,41
0,68,69,-0.157340064644814,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,69,70,-0.157340064644814,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,70,71,-0.157340064644814,-1.83965070732484E-07,0,0,0,0,-0.002284039,41
0,71,72,-0.157340064644814,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,72,73,-0.158566877245903,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,73,74,-0.159180298447609,-5.52012693333381E-07,0,0,0,0,-0.002284039,41
0,74,75,-0.159793704748154,-1.7174967297251E-06,0,0,0,0,-0.002284039,41
0,75,76,-0.160100415349007,-1.22676658520504E-06,0,0,0,0,-0.002284039,41
0,76,77,-0.159487009048462,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,77,78,-0.158873587846756,-1.83965070732484E-07,0,0,0,0,-0.002284039,41
0,78,79,-0.158566877245903,-3.6798888913836E-07,0,0,0,0,-0.002284039,41
0,79,80,-0.158566877245903,-3.06647621073353E-07,0,0,0,0,-0.002284039,41
0,80,81,-0.158260181546211,-1.83965070732484E-07,0,0,0,0,-0.002284039,41
0,81,82,-0.158260181546211,-1.83965070732484E-07,0,0,0,0,-0.002284039,41
0,82,83,-0.158260181546211,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,83,84,-0.158260181546211,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,84,85,-0.158260181546211,1.84082537657559E-07,0,0,0,0,-0.002284039,41
0,85,86,-0.158260181546211,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,86,87,-0.158260181546211,-3.06647621073353E-07,0,0,0,0,-0.002284039,41
0,87,88,-0.158260181546211,-1.83965070732484E-07,0,0,0,0,-0.002284039,41
0,88,89,-0.158260181546211,-1.83965070732484E-07,0,0,0,0,-0.002284039,41
0,89,90,-0.158260181546211,-3.6798888913836E-07,0,0,0,0,-0.002284039,41
0,90,91,-0.158260181546211,-3.6798888913836E-07,0,0,0,0,-0.002284039,41
0,91,92,-0.158260181546211,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,92,93,-0.159180298447609,2.45423791511712E-07,0,0,0,0,-0.002284039,41
0,93,94,-0.160100415349007,-8.58719033658417E-07,0,0,0,0,-0.002284039,41
0,94,95,-0.160713821649551,-2.08554433811514E-06,0,0,0,0,-0.002284039,41
0,95,96,-0.161020532250404,-7.9737776559341E-07,0,0,0,0,-0.002284039,41
0,96,97,-0.160100415349007,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,97,98,-0.159793704748154,-3.06647621073353E-07,0,0,0,0,-0.002284039,41
0,98,99,-0.159487009048462,-3.6798888913836E-07,0,0,0,0,-0.002284039,41
0,99,100,-0.159180298447609,-2.45306353008345E-07,0,0,0,0,-0.002284039,41
0,100,101,-0.159180298447609,-1.83965070732484E-07,0,0,0,0,-0.002284039,41
0,101,102,-0.159180298447609,-2.45306353008345E-07,0,0,0,0,-0.002284039,41
0,102,103,-0.159180298447609,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,103,104,-0.158873587846756,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,104,105,-0.158873587846756,1.22741269592552E-07,0,0,0,0,-0.002284039,41
0,105,106,-0.158873587846756,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,106,107,-0.158873587846756,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,107,108,-0.158873587846756,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,108,109,-0.158873587846756,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,109,110,-0.158873587846756,-3.6798888913836E-07,0,0,0,0,-0.002284039,41
0,110,111,-0.158873587846756,-4.29330157203367E-07,0,0,0,0,-0.002284039,41
0,111,112,-0.158873587846756,-2.45306353008345E-07,0,0,0,0,-0.002284039,41
0,112,113,-0.160100415349007,1.22741269592552E-07,0,0,0,0,-0.002284039,41
0,113,114,-0.161020532250404,-1.47213165746507E-06,0,0,0,0,-0.002284039,41
0,114,115,-0.16163395345211,-2.02420301320672E-06,0,0,0,0,-0.002284039,41
0,115,116,-0.161940649151802,-3.6798888913836E-07,0,0,0,0,-0.002284039,41
0,116,117,-0.161020532250404,1.84082537657559E-07,0,0,0,0,-0.002284039,41
0,117,118,-0.16040712594986,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,118,119,-0.16040712594986,-1.83965070732484E-07,0,0,0,0,-0.002284039,41
0,119,120,-0.160100415349007,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,120,121,-0.160100415349007,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,121,122,-0.159793704748154,-3.6798888913836E-07,0,0,0,0,-0.002284039,41
0,122,123,-0.159793704748154,-3.6798888913836E-07,0,0,0,0,-0.002284039,41
0,123,124,-0.159793704748154,-2.45306353008345E-07,0,0,0,0,-0.002284039,41
0,124,125,-0.159793704748154,-2.45306353008345E-07,0,0,0,0,-0.002284039,41
0,125,126,-0.159793704748154,-3.6798888913836E-07,0,0,0,0,-0.002284039,41
0,126,127,-0.159793704748154,-1.83965070732484E-07,0,0,0,0,-0.002284039,41
0,127,128,-0.159793704748154,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,128,129,-0.159793704748154,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,129,130,-0.159793704748154,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,130,131,-0.159793704748154,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,131,132,-0.159793704748154,1.22741269592552E-07,0,0,0,0,-0.002284039,41
0,132,133,-0.161020532250404,-1.83965070732484E-07,0,0,0,0,-0.002284039,41
0,133,134,-0.161940649151802,-1.59481419359508E-06,0,0,0,0,-0.002284039,41
0,134,135,-0.162247359752655,-1.41079044624348E-06,0,0,0,0,-0.002284039,41
0,135,136,-0.162554070353508,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,136,137,-0.16163395345211,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,137,138,-0.161020532250404,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,138,139,-0.161020532250404,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,139,140,-0.160713821649551,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,140,141,-0.160713821649551,-1.83965070732484E-07,0,0,0,0,-0.002284039,41
0,141,142,-0.160713821649551,-4.29330157203367E-07,0,0,0,0,-0.002284039,41
0,142,143,-0.16040712594986,-3.06647621073353E-07,0,0,0,0,-0.002284039,41
0,143,144,-0.16040712594986,-2.45306353008345E-07,0,0,0,0,-0.002284039,41
0,144,145,-0.16040712594986,-3.6798888913836E-07,0,0,0,0,-0.002284039,41
0,145,146,-0.16040712594986,-4.29330157203367E-07,0,0,0,0,-0.002284039,41
0,146,147,-0.16040712594986,-3.06647621073353E-07,0,0,0,0,-0.002284039,41
0,147,148,-0.16040712594986,-2.45306353008345E-07,0,0,0,0,-0.002284039,41
0,148,149,-0.16040712594986,-3.06647621073353E-07,0,0,0,0,-0.002284039,41
0,149,150,-0.16040712594986,-3.06647621073353E-07,0,0,0,0,-0.002284039,41
0,150,151,-0.16040712594986,-1.83965070732484E-07,0,0,0,0,-0.002284039,41
0,151,152,-0.16040712594986,-1.83965070732484E-07,0,0,0,0,-0.002284039,41
0,152,153,-0.16163395345211,-7.9737776559341E-07,0,0,0,0,-0.002284039,41
0,153,154,-0.162554070353508,-1.41079044624348E-06,0,0,0,0,-0.002284039,41
0,154,155,-0.1628607660532,-8.58719033658417E-07,0,0,0,0,-0.002284039,41
0,155,156,-0.163167476654053,-3.06647621073353E-07,0,0,0,0,-0.002284039,41
0,156,157,-0.162247359752655,-2.45306353008345E-07,0,0,0,0,-0.002284039,41
0,157,158,-0.16163395345211,-2.45306353008345E-07,0,0,0,0,-0.002284039,41
0,158,159,-0.16163395345211,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,159,160,-0.161327242851257,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,160,161,-0.161327242851257,-1.83965070732484E-07,0,0,0,0,-0.002284039,41
0,161,162,-0.161327242851257,-2.45306353008345E-07,0,0,0,0,-0.002284039,41
0,162,163,-0.161020532250404,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,163,164,-0.161020532250404,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,164,165,-0.161020532250404,-2.45306353008345E-07,0,0,0,0,-0.002284039,41
0,165,166,-0.161020532250404,-2.45306353008345E-07,0,0,0,0,-0.002284039,41
0,166,167,-0.161020532250404,-1.83965070732484E-07,0,0,0,0,-0.002284039,41
