Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,1,0.0104283094406128,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,1,2,0.00889477785676718,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,2,3,0.00674783298745751,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,3,4,0.00398747622966766,-1.83965070732484E-07,0,0,0,0,-0.002284039,41
0,4,5,0.000307000009343028,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,5,6,-0.00368018238805234,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,6,7,-0.0085874842479825,-3.06647621073353E-07,0,0,0,0,-0.002284039,41
0,7,8,-0.0138014918193221,-4.29330157203367E-07,0,0,0,0,-0.002284039,41
0,8,9,-0.018402086570859,-3.6798888913836E-07,0,0,0,0,-0.002284039,41
0,9,10,-0.0230026822537184,-2.45306353008345E-07,0,0,0,0,-0.002284039,41
0,10,11,-0.0272965710610151,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,11,12,-0.0318971648812294,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,12,13,-0.0361910536885262,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,13,14,-0.0404849424958229,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,14,15,-0.0441654175519943,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,15,16,-0.0472324825823307,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,16,17,-0.0493794269859791,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,17,18,-0.0506062507629395,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,18,19,-0.0506062507629395,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,19,20,-0.0499928407371044,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,20,21,-0.0496861338615417,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,21,22,-0.0493794269859791,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,22,23,-0.0496861338615417,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,23,24,-0.0506062507629395,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
