Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.00525,-0.000613119045738131,-0.000317809055559337,0,0,0,0,-0.002284039,38
0,1,0.0105,-0.00214665080420673,-0.00031879052403383,0,0,0,0,-0.002284039,38
0,2,0.01575,-0.00276006339117885,-0.000316336867399514,0,0,0,0,-0.002284039,38
0,3,0.021,-0.00398688856512308,-0.000316827587084845,0,0,0,0,-0.002284039,38
0,4,0.02625,-0.0052137142047286,-0.000313085765810683,0,0,0,0,-0.002284039,38
0,5,0.0315,-0.00613383296877146,-0.000310325413011014,0,0,0,0,-0.002284039,38
0,6,0.03675,-0.0070539521984756,-0.000312104326440021,0,0,0,0,-0.002284039,38
0,7,0.042,-0.00766736501827836,-0.00031044808565639,0,0,0,0,-0.002284039,38
0,8,0.04725,-0.00920089613646269,-0.000309343944536522,0,0,0,0,-0.002284039,38
0,9,0.0525,-0.00981430895626545,-0.000308546528685838,0,0,0,0,-0.002284039,38
0,10,0.05775,-0.0113478405401111,-0.000309896015096456,0,0,0,0,-0.002284039,38
0,11,0.063,-0.0128813730552793,-0.000307687732856721,0,0,0,0,-0.002284039,38
0,12,0.06825,-0.0138014918193221,-0.000310754810925573,0,0,0,0,-0.002284039,38
0,13,0.0735,-0.0144149046391249,-0.000309896015096456,0,0,0,0,-0.002284039,38
0,14,0.07875,-0.0153350234031677,-0.000310325413011014,0,0,0,0,-0.002284039,38
0,15,0.084,-0.0162551421672106,-0.000309405295411125,0,0,0,0,-0.002284039,38
0,16,0.08925,-0.018402086570859,-0.000311245530610904,0,0,0,0,-0.002284039,38
0,17,0.0945,-0.0187087934464216,-0.000312840420519933,0,0,0,0,-0.002284039,38
0,18,0.09975,-0.0199356190860271,-0.000311000156216323,0,0,0,0,-0.002284039,38
0,19,0.105,-0.02085573785007,-0.000312595046125352,0,0,0,0,-0.002284039,38
0,20,0.11025,-0.0214691497385502,-0.00031277906964533,0,0,0,0,-0.002284039,38
0,21,0.1155,-0.0233093872666359,-0.000312963093165308,0,0,0,0,-0.002284039,38
