Potential (V),Current (A)
-1.506541491,-0.041902222
-1.503781199,-0.0420065
-1.500100732,-0.042012636
-1.497033596,-0.041963562
-1.49458003,-0.041889951
-1.490899563,-0.04179794
-1.487832427,-0.041712061
-1.485072136,-0.041601647
-1.482005,-0.041478965
-1.479244709,-0.041436028
-1.476177573,-0.041313343
-1.472803831,-0.041202929
-1.469430089,-0.041086383
-1.466362953,-0.040975966
-1.462989211,-0.040853284
-1.460535645,-0.040718332
-1.457161784,-0.040577248
-1.454094768,-0.040448431
-1.451027751,-0.040313482
-1.44765389,-0.04017853
-1.444893599,-0.040068116
-1.442133188,-0.039945435
-1.438759446,-0.03982275
-1.43569243,-0.039693933
-1.432318568,-0.039552849
-1.429865003,-0.039454702
-1.426491141,-0.039289083
-1.423424125,-0.039166398
-1.420357108,-0.03903145
-1.417596698,-0.038939439
-1.414222956,-0.038822889
-1.41115582,-0.038712475
-1.407782078,-0.038583659
-1.405328393,-0.038479377
-1.401954651,-0.038375098
-1.398887634,-0.038295355
-1.395820498,-0.03820334
-1.392753482,-0.038074523
-1.389686465,-0.037964109
-1.386312604,-0.037841428
-1.383245587,-0.037718747
-1.380485296,-0.037602197
-1.377111435,-0.037473381
-1.374044418,-0.037356831
-1.370977283,-0.03726482
-1.367910266,-0.037148271
-1.364536524,-0.037025589
-1.361776114,-0.03690904
-1.358709097,-0.036823165
-1.35564208,-0.03670048
-1.352574944,-0.036608469
-1.35012126,-0.036516458
-1.346440792,-0.036430579
-1.34306705,-0.0363263
-1.340306759,-0.036222018
-1.336932898,-0.03608707
-1.334172606,-0.036007326
-1.330798864,-0.035890777
-1.327731729,-0.035786495
-1.324971437,-0.035706751
-1.321904302,-0.035577934
-1.318837285,-0.035485923
-1.315463543,-0.035387777
-1.312396407,-0.035295766
-1.309636116,-0.035197619
-1.30656898,-0.035093341
-1.302888513,-0.034982923
-1.300128222,-0.03490318
-1.29675436,-0.034798902
-1.293994069,-0.034713022
-1.291233659,-0.034608744
-1.287553191,-0.034516733
-1.2847929,-0.034449257
-1.281419039,-0.034332708
-1.278658748,-0.034246828
-1.27497828,-0.034154817
-1.27221787,-0.034062807
-1.269150853,-0.03396466
-1.266083717,-0.033872649
-1.262709975,-0.033762235
-1.26025641,-0.033651821
-1.256882548,-0.033523005
-1.253815532,-0.033424858
-1.251361847,-0.033332843
-1.247681379,-0.033265371
-1.244614363,-0.033161089
-1.241547227,-0.033081345
-1.238173485,-0.032989334
-1.2357198,-0.03287892
-1.232346058,-0.032786909
-1.228972316,-0.032694895
-1.226211905,-0.032609019
-1.223451614,-0.032510873
-1.220384479,-0.032418862
-1.216704011,-0.032320715
-1.213636994,-0.032222569
-1.210569978,-0.03213669
-1.207502842,-0.032032412
-1.204435825,-0.031946532
-1.20136869,-0.031848386
-1.198301673,-0.031762507
-1.195541263,-0.031664364
-1.192474246,-0.031572349
-1.189100504,-0.031480338
-1.185726762,-0.031388327
-1.182659626,-0.031284045
-1.180512667,-0.031198168
-1.176832199,-0.031100024
-1.173765182,-0.031008011
-1.170698047,-0.030909864
-1.167324305,-0.030817853
-1.164257288,-0.030731976
-1.161496878,-0.03063383
-1.158429861,-0.030535683
-1.155056119,-0.030449806
-1.152295709,-0.030363929
-1.148921967,-0.030265782
-1.145548224,-0.030173769
-1.14309454,-0.030087892
-1.140027523,-0.029983612
-1.136653662,-0.029897735
-1.13327992,-0.029805722
-1.130826235,-0.029707575
-1.127145767,-0.029627832
