Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.0236,-0.00091982533922419,-8.01607602625154E-05,0,0,0,0,-0.002284039,38
0,1,0.0472,-0.00214665080420673,-0.000109481887193397,0,0,0,0,-0.002284039,38
0,2,0.0708,-0.00337347597815096,-0.000133092136820778,0,0,0,0,-0.002284039,38
0,3,0.0944,-0.00490700779482722,-0.000157315807882696,0,0,0,0,-0.002284039,38
0,4,0.118,-0.00552042061462998,-0.000179533613845706,0,0,0,0,-0.002284039,38
0,5,0.1416,-0.0070539521984756,-0.000195997607079335,0,0,0,0,-0.002284039,38
0,6,0.1652,-0.00797407142817974,-0.000214203653740697,0,0,0,0,-0.002284039,38
0,7,0.1888,-0.0085874842479825,-0.000228618853725493,0,0,0,0,-0.002284039,38
0,8,0.2124,-0.0104277217760682,-0.000245426344918087,0,0,0,0,-0.002284039,38
0,9,0.236,-0.0113478405401111,-0.000255240971455351,0,0,0,0,-0.002284039,38
0,10,0.2596,-0.0125746661797166,-0.000273213954642415,0,0,0,0,-0.002284039,38
0,11,0.2832,-0.0138014918193221,-0.000284194044070318,0,0,0,0,-0.002284039,38
0,12,0.3068,-0.014721610583365,-0.000298363855108619,0,0,0,0,-0.002284039,38
0,13,0.3304,-0.0162551421672106,-0.000310386763885617,0,0,0,0,-0.002284039,38
0,14,0.354,-0.0171752609312534,-0.000319649290759116,0,0,0,0,-0.002284039,38
0,15,0.3776,-0.0187087934464216,-0.000329095841152593,0,0,0,0,-0.002284039,38
0,16,0.4012,-0.0193222053349018,-0.000342958985129371,0,0,0,0,-0.002284039,38
0,17,0.4248,-0.02085573785007,-0.000357006123522297,0,0,0,0,-0.002284039,38
0,18,0.4484,-0.022389268502593,-0.000368599634384736,0,0,0,0,-0.002284039,38
0,19,0.472,-0.0236160941421986,-0.000375776551663876,0,0,0,0,-0.002284039,38
0,20,0.4956,-0.0242295078933239,-0.000383137492462993,0,0,0,0,-0.002284039,38
0,21,0.5192,-0.0254563316702843,-0.000394424307160079,0,0,0,0,-0.002284039,38
0,22,0.5428,-0.0272965710610151,-0.000403932179324329,0,0,0,0,-0.002284039,38
0,23,0.5664,-0.028216689825058,-0.000413808127632365,0,0,0,0,-0.002284039,38
