Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.0236,-0.00091982533922419,-8.63930326886475E-05,0,0,0,0,-0.002284039,38
0,1,0.0472,-0.00122653169091791,-0.000129914667923003,0,0,0,0,-0.002284039,38
0,2,0.0708,-0.00306676980108023,-0.000166492463904433,0,0,0,0,-0.002284039,38
0,3,0.0944,-0.00429359497502446,-0.000197531146113761,0,0,0,0,-0.002284039,38
0,4,0.118,-0.00552042061462998,-0.000225735813728534,0,0,0,0,-0.002284039,38
0,5,0.1416,-0.00644053937867284,-0.000252725963946432,0,0,0,0,-0.002284039,38
0,6,0.1652,-0.00797407142817974,-0.000281249667750672,0,0,0,0,-0.002284039,38
0,7,0.1888,-0.00920089613646269,-0.000301308260532096,0,0,0,0,-0.002284039,38
0,8,0.2124,-0.0104277217760682,-0.000327439629472792,0,0,0,0,-0.002284039,38
0,9,0.236,-0.0113478405401111,-0.000347988941939548,0,0,0,0,-0.002284039,38
0,10,0.2596,-0.0125746661797166,-0.00037031716783531,0,0,0,0,-0.002284039,38
0,11,0.2832,-0.0141081977635622,-0.000392768066376448,0,0,0,0,-0.002284039,38
0,12,0.3068,-0.0150283174589276,-0.000414237525546923,0,0,0,0,-0.002284039,38
0,13,0.3304,-0.0156417302787304,-0.000436320377048105,0,0,0,0,-0.002284039,38
0,14,0.354,-0.0174819678068161,-0.000451348983915523,0,0,0,0,-0.002284039,38
0,15,0.3776,-0.0180953796952963,-0.000471775623736903,0,0,0,0,-0.002284039,38
0,16,0.4012,-0.0199356190860271,-0.000491036800667644,0,0,0,0,-0.002284039,38
0,17,0.4248,-0.0211624447256327,-0.000510482001118362,0,0,0,0,-0.002284039,38
0,18,0.4484,-0.0220825634896755,-0.000527657510247082,0,0,0,0,-0.002284039,38
0,19,0.472,-0.0239228010177612,-0.000545139773748815,0,0,0,0,-0.002284039,38
0,20,0.4956,-0.0242295078933239,-0.000563051435165107,0,0,0,0,-0.002284039,38
0,21,0.5192,-0.0254563316702843,-0.000580840394832194,0,0,0,0,-0.002284039,38
0,22,0.5428,-0.0269898641854525,-0.000599549501203001,0,0,0,0,-0.002284039,38
0,23,0.5664,-0.0276032760739326,-0.000614823482464999,0,0,0,0,-0.002284039,38
0,24,0.59,-0.0288301017135382,-0.00062948401318863,0,0,0,0,-0.002284039,38
0,25,0.6136,-0.0303636342287064,-0.000646966276690364,0,0,0,0,-0.002284039,38
0,26,0.6372,-0.0312837548553944,-0.000665859377477318,0,0,0,0,-0.002284039,38
0,27,0.6608,-0.0328172855079174,-0.00068027462111786,0,0,0,0,-0.002284039,38
0,28,0.6844,-0.0340441092848778,-0.000694628455676138,0,0,0,0,-0.002284039,38
0,29,0.708,-0.0349642299115658,-0.000712049368303269,0,0,0,0,-0.002284039,38
0,30,0.7316,-0.0361910536885262,-0.000729040883015841,0,0,0,0,-0.002284039,38
0,31,0.7552,-0.0371111743152142,-0.000741002440918237,0,0,0,0,-0.002284039,38
0,32,0.7788,-0.0377245843410492,-0.000758484704419971,0,0,0,0,-0.002284039,38
0,33,0.8024,-0.0398715287446976,-0.000770200917031616,0,0,0,0,-0.002284039,38
0,34,0.826,-0.0407916493713856,-0.000785106851253659,0,0,0,0,-0.002284039,38
0,35,0.8496,-0.0420184731483459,-0.000798479246441275,0,0,0,0,-0.002284039,38
0,36,0.8732,-0.0435520075261593,-0.000813875871244818,0,0,0,0,-0.002284039,38
0,37,0.8968,-0.0447788313031197,-0.000829149852506816,0,0,0,0,-0.002284039,38
0,38,0.9204,-0.0456989519298077,-0.000845589325763285,0,0,0,0,-0.002284039,38
0,39,0.944,-0.046925775706768,-0.000859329767990857,0,0,0,0,-0.002284039,38
0,40,0.9676,-0.0481526032090187,-0.000868653645738959,0,0,0,0,-0.002284039,38
0,41,0.9912,-0.0493794269859791,-0.000882578082382679,0,0,0,0,-0.002284039,38
0,42,1.0148,-0.0506062507629395,-0.00090116448700428,0,0,0,0,-0.002284039,38
0,43,1.0384,-0.0515263713896275,-0.000912942050490528,0,0,0,0,-0.002284039,38
