Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.00551,-0.00091982533922419,-0.000110414279333781,0,0,0,0,-0.002284039,38
0,1,0.01102,-0.00214665080420673,-0.000133067602291703,0,0,0,0,-0.002284039,38
0,2,0.01653,-0.00306676980108023,-0.000153120068716817,0,0,0,0,-0.002284039,38
0,3,0.02204,-0.00429359497502446,-0.000166056939633563,0,0,0,0,-0.002284039,38
0,4,0.02755,-0.00460030138492584,-0.000178435613634065,0,0,0,0,-0.002284039,38
0,5,0.03306,-0.00613383296877146,-0.000189250073162839,0,0,0,0,-0.002284039,38
0,6,0.03857,-0.00736065860837698,-0.000199665824766271,0,0,0,0,-0.002284039,38
0,7,0.04408,-0.00828077737241983,-0.000204082345589995,0,0,0,0,-0.002284039,38
0,8,0.04959,-0.0101210158318281,-0.00021567584190052,0,0,0,0,-0.002284039,38
0,9,0.0551,-0.011041134595871,-0.000224386298214085,0,0,0,0,-0.002284039,38
0,10,0.06061,-0.0122679602354765,-0.000228802877245471,0,0,0,0,-0.002284039,38
0,11,0.06612,-0.0131880789995193,-0.000235243700444698,0,0,0,0,-0.002284039,38
0,12,0.07163,-0.0141081977635622,-0.000241561850998551,0,0,0,0,-0.002284039,38
0,13,0.07714,-0.0150283174589276,-0.000247511954512447,0,0,0,0,-0.002284039,38
0,14,0.08265,-0.0162551421672106,-0.000252296566031873,0,0,0,0,-0.002284039,38
0,15,0.08816,-0.0168685559183359,-0.000254014128586277,0,0,0,0,-0.002284039,38
0,16,0.09367,-0.0187087934464216,-0.00026241788873449,0,0,0,0,-0.002284039,38
0,17,0.09918,-0.0196289122104645,-0.000266343733528629,0,0,0,0,-0.002284039,38
0,18,0.10469,-0.02085573785007,-0.000269042735453695,0,0,0,0,-0.002284039,38
0,19,0.1102,-0.0226959753781557,-0.000273520650807768,0,0,0,0,-0.002284039,38
0,20,0.11571,-0.0230026822537184,-0.000275360886007547,0,0,0,0,-0.002284039,38
0,21,0.12122,-0.0239228010177612,-0.000282476481515914,0,0,0,0,-0.002284039,38
0,22,0.12673,-0.0251496266573668,-0.000284132693195716,0,0,0,0,-0.002284039,38
0,23,0.13224,-0.0263764522969723,-0.000283457949990407,0,0,0,0,-0.002284039,38
0,24,0.13775,-0.0272965710610151,-0.000287322443909943,0,0,0,0,-0.002284039,38
