Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.0085,-0.00153353170026094,-0.000933000701479614,0,0,0,0,-0.002284039,38
0,1,0.017,-0.00337376981042326,-0.00102924508973956,0,0,0,0,-0.002284039,38
0,2,0.0255,-0.00490730162709951,-0.00111536832991987,0,0,0,0,-0.002284039,38
0,3,0.034,-0.00613412680104375,-0.0011975655797869,0,0,0,0,-0.002284039,38
0,4,0.0425,-0.00797436479479074,-0.00127350608818233,0,0,0,0,-0.002284039,38
0,5,0.051,-0.00981460325419903,-0.00135153217706829,0,0,0,0,-0.002284039,38
0,6,0.0595,-0.0116548407822847,-0.00142225867602974,0,0,0,0,-0.002284039,38
0,7,0.068,-0.0131883723661304,-0.00149574549868703,0,0,0,0,-0.002284039,38
0,8,0.0765,-0.0150286108255386,-0.00156874163076282,0,0,0,0,-0.002284039,38
0,9,0.085,-0.0168688483536243,-0.00164008152205497,0,0,0,0,-0.002284039,38
0,10,0.0935,-0.0180956739932299,-0.00170596200041473,0,0,0,0,-0.002284039,38
0,11,0.102,-0.0199359115213156,-0.00177331466693431,0,0,0,0,-0.002284039,38
0,12,0.1105,-0.0217761509120464,-0.00184164894744754,0,0,0,0,-0.002284039,38
0,13,0.119,-0.0236163884401321,-0.00190955365542322,0,0,0,0,-0.002284039,38
0,14,0.1275,-0.0248432140797377,-0.00197457545436919,0,0,0,0,-0.002284039,38
0,15,0.136,-0.026990158483386,-0.00203775684349239,0,0,0,0,-0.002284039,38
0,16,0.1445,-0.0288303960114717,-0.00210277875885367,0,0,0,0,-0.002284039,38
0,17,0.153,-0.0303639285266399,-0.00216596014797688,0,0,0,0,-0.002284039,38
0,18,0.1615,-0.031897459179163,-0.00222668796777725,0,0,0,0,-0.002284039,38
0,19,0.17,-0.033430989831686,-0.0022898695897311,0,0,0,0,-0.002284039,38
0,20,0.1785,-0.0355779342353344,-0.00234753033146262,0,0,0,0,-0.002284039,38
0,21,0.187,-0.0371114686131477,-0.00241009844467044,0,0,0,0,-0.002284039,38
0,22,0.1955,-0.0389517061412334,-0.0024634653236717,0,0,0,0,-0.002284039,38
0,23,0.204,-0.0404852367937565,-0.00252848700620234,0,0,0,0,-0.002284039,38
0,24,0.2125,-0.0426321811974049,-0.00258308090269566,0,0,0,0,-0.002284039,38
0,25,0.221,-0.0438590049743652,-0.00264380872249603,0,0,0,0,-0.002284039,38
0,26,0.2295,-0.0456992462277412,-0.0026984023861587,0,0,0,0,-0.002284039,38
0,27,0.238,-0.0472327768802643,-0.00275606312789023,0,0,0,0,-0.002284039,38
0,28,0.2465,-0.0484596006572247,-0.0028106567915529,0,0,0,0,-0.002284039,38
0,29,0.255,-0.050606545060873,-0.00287261162884533,0,0,0,0,-0.002284039,38
0,30,0.2635,-0.0524467825889587,-0.00292352493852377,0,0,0,0,-0.002284039,38
0,31,0.272,-0.0536736100912094,-0.00298241246491671,0,0,0,0,-0.002284039,38
0,32,0.2805,-0.0555138476192951,-0.00303945993073285,0,0,0,0,-0.002284039,38
0,33,0.289,-0.0576607920229435,-0.00309282680973411,0,0,0,0,-0.002284039,38
