Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.0085,-0.00183994439430535,-0.000468708574771881,0,0,0,0,-0.002284039,38
0,1,0.017,-0.00276006339117885,-0.000590409617871046,0,0,0,0,-0.002284039,38
0,2,0.0255,-0.00460030138492584,-0.000700271863024682,0,0,0,0,-0.002284039,38
0,3,0.034,-0.00613383296877146,-0.000805165444035083,0,0,0,0,-0.002284039,38
0,4,0.0425,-0.00797407142817974,-0.000905519758816808,0,0,0,0,-0.002284039,38
0,5,0.051,-0.0101210158318281,-0.000997470342554152,0,0,0,0,-0.002284039,38
0,6,0.0595,-0.0113478405401111,-0.00108426820952445,0,0,0,0,-0.002284039,38
0,7,0.068,-0.0131880789995193,-0.00117542129009962,0,0,0,0,-0.002284039,38
0,8,0.0765,-0.0150283174589276,-0.00125688256230205,0,0,0,0,-0.002284039,38
0,9,0.085,-0.0168685559183359,-0.00134404841810465,0,0,0,0,-0.002284039,38
0,10,0.0935,-0.0180953796952963,-0.00142219720873982,0,0,0,0,-0.002284039,38
0,11,0.102,-0.0199356190860271,-0.00149960990529507,0,0,0,0,-0.002284039,38
0,12,0.1105,-0.0214691497385502,-0.00157837208826095,0,0,0,0,-0.002284039,38
0,13,0.119,-0.0230026822537184,-0.00165437394753098,0,0,0,0,-0.002284039,38
0,14,0.1275,-0.0248429197818041,-0.0017290263203904,0,0,0,0,-0.002284039,38
0,15,0.136,-0.0260697454214096,-0.00180116354022175,0,0,0,0,-0.002284039,38
0,16,0.1445,-0.0288301017135382,-0.00187458912841976,0,0,0,0,-0.002284039,38
0,17,0.153,-0.030670341104269,-0.00194758467841893,0,0,0,0,-0.002284039,38
0,18,0.1615,-0.0318971648812294,-0.00202426128089428,0,0,0,0,-0.002284039,38
0,19,0.17,-0.0337374024093151,-0.00209050974808633,0,0,0,0,-0.002284039,38
0,20,0.1785,-0.0352709367871284,-0.00215737172402442,0,0,0,0,-0.002284039,38
0,21,0.187,-0.0368044674396515,-0.00222668750211596,0,0,0,0,-0.002284039,38
0,22,0.1955,-0.0383379980921745,-0.00229232269339263,0,0,0,0,-0.002284039,38
0,23,0.204,-0.0401782356202602,-0.00235734437592328,0,0,0,0,-0.002284039,38
0,24,0.2125,-0.0420184731483459,-0.00242481962777674,0,0,0,0,-0.002284039,38
0,25,0.221,-0.0432453006505966,-0.00249229511246085,0,0,0,0,-0.002284039,38
0,26,0.2295,-0.0450855381786823,-0.00255424971692264,0,0,0,0,-0.002284039,38
0,27,0.238,-0.0466190688312054,-0.0026186581235379,0,0,0,0,-0.002284039,38
0,28,0.2465,-0.0487660132348537,-0.0026799994520843,0,0,0,0,-0.002284039,38
0,29,0.255,-0.0499928407371044,-0.00274195405654609,0,0,0,0,-0.002284039,38
0,30,0.2635,-0.0521397851407528,-0.00280452216975391,0,0,0,0,-0.002284039,38
0,31,0.272,-0.0539800226688385,-0.00286586349830031,0,0,0,0,-0.002284039,38
0,32,0.2805,-0.0549001395702362,-0.0029278181027621,0,0,0,0,-0.002284039,38
0,33,0.289,-0.0576604977250099,-0.00299161300063133,0,0,0,0,-0.002284039,38
0,34,0.2975,-0.059194028377533,-0.00304804695770144,0,0,0,0,-0.002284039,38
0,35,0.306,-0.0607275627553463,-0.00310570769943297,0,0,0,0,-0.002284039,38
0,36,0.3145,-0.0622610934078693,-0.00316336867399514,0,0,0,0,-0.002284039,38
0,37,0.323,-0.0637946277856827,-0.00322041590698063,0,0,0,0,-0.002284039,38
0,38,0.3315,-0.0656348615884781,-0.00328237074427307,0,0,0,0,-0.002284039,38
0,39,0.34,-0.0674751028418541,-0.00333819119259715,0,0,0,0,-0.002284039,38
0,40,0.3485,-0.0693153366446495,-0.00340014579705894,0,0,0,0,-0.002284039,38
0,41,0.357,-0.0705421641469002,-0.00345596647821367,0,0,0,0,-0.002284039,38
0,42,0.3655,-0.0720756947994232,-0.00351240043528378,0,0,0,0,-0.002284039,38
0,43,0.374,-0.0739159360527992,-0.00356638082303107,0,0,0,0,-0.002284039,38
0,44,0.3825,-0.0760628804564476,-0.00362404156476259,0,0,0,0,-0.002284039,38
