Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.034,-0.00153323798440397,-0.000396632589399815,0,0,0,0,-0.002284039,38
0,1,0.068,-0.00306676980108023,-0.00048631351091899,0,0,0,0,-0.002284039,38
0,2,0.102,-0.00490700779482722,-0.000588140042964369,0,0,0,0,-0.002284039,38
0,3,0.136,-0.0070539521984756,-0.000670337292831391,0,0,0,0,-0.002284039,38
0,4,0.17,-0.00828077737241983,-0.00076449615880847,0,0,0,0,-0.002284039,38
0,5,0.204,-0.00981430895626545,-0.000851294083986431,0,0,0,0,-0.002284039,38
0,6,0.238,-0.0116545474156737,-0.00093293929239735,0,0,0,0,-0.002284039,38
0,7,0.272,-0.0131880789995193,-0.00101384846493602,0,0,0,0,-0.002284039,38
0,8,0.306,-0.0153350234031677,-0.0010932853911072,0,0,0,0,-0.002284039,38
0,9,0.34,-0.0171752609312534,-0.00117253826465458,0,0,0,0,-0.002284039,38
0,10,0.374,-0.0177886746823788,-0.00125025771558285,0,0,0,0,-0.002284039,38
0,11,0.408,-0.0202423240989447,-0.00132975599262863,0,0,0,0,-0.002284039,38
0,12,0.442,-0.0214691497385502,-0.00140011438634247,0,0,0,0,-0.002284039,38
0,13,0.476,-0.0233093872666359,-0.00147801777347922,0,0,0,0,-0.002284039,38
0,14,0.51,-0.0248429197818041,-0.00154911237768829,0,0,0,0,-0.002284039,38
0,15,0.544,-0.0269898641854525,-0.0016240100376308,0,0,0,0,-0.002284039,38
0,16,0.578,-0.0288301017135382,-0.00169406179338694,0,0,0,0,-0.002284039,38
0,17,0.612,-0.0303636342287064,-0.00176399073097855,0,0,0,0,-0.002284039,38
0,18,0.646,-0.0315904580056667,-0.00182803103234619,0,0,0,0,-0.002284039,38
0,19,0.68,-0.0334306992590427,-0.00190525921061635,0,0,0,0,-0.002284039,38
0,20,0.714,-0.0352709367871284,-0.00197396147996187,0,0,0,0,-0.002284039,38
0,21,0.748,-0.0371111743152142,-0.00204020994715393,0,0,0,0,-0.002284039,38
0,22,0.782,-0.0386447049677372,-0.00210768543183804,0,0,0,0,-0.002284039,38
0,23,0.816,-0.0404849424958229,-0.00217209360562265,0,0,0,0,-0.002284039,38
0,24,0.85,-0.0417117699980736,-0.00223956909030676,0,0,0,0,-0.002284039,38
0,25,0.884,-0.0435520075261593,-0.0023045907728374,0,0,0,0,-0.002284039,38
0,26,0.918,-0.0450855381786823,-0.00236777239479125,0,0,0,0,-0.002284039,38
0,27,0.952,-0.0472324825823307,-0.00242972699925303,0,0,0,0,-0.002284039,38
0,28,0.986,-0.0493794269859791,-0.00249352189712226,0,0,0,0,-0.002284039,38
0,29,1.02,-0.0506062507629395,-0.0025554767344147,0,0,0,0,-0.002284039,38
0,30,1.054,-0.0518330782651901,-0.00261927163228393,0,0,0,0,-0.002284039,38
0,31,1.088,-0.0539800226688385,-0.0026799994520843,0,0,0,0,-0.002284039,38
0,32,1.122,-0.0555135533213615,-0.00274563464336097,0,0,0,0,-0.002284039,38
0,33,1.156,-0.0573537908494473,-0.0028032953850925,0,0,0,0,-0.002284039,38
0,34,1.19,-0.0585806183516979,-0.0028646367136389,0,0,0,0,-0.002284039,38
0,35,1.224,-0.061034269630909,-0.00292536453343928,0,0,0,0,-0.002284039,38
0,36,1.258,-0.0622610934078693,-0.00298486556857824,0,0,0,0,-0.002284039,38
0,37,1.292,-0.064101330935955,-0.00304007274098694,0,0,0,0,-0.002284039,38
0,38,1.326,-0.0656348615884781,-0.00309834675863385,0,0,0,0,-0.002284039,38
0,39,1.36,-0.0671683922410011,-0.00315846130251884,0,0,0,0,-0.002284039,38
0,40,1.394,-0.0693153366446495,-0.00321857584640384,0,0,0,0,-0.002284039,38
0,41,1.428,-0.0711555778980255,-0.00327439629472792,0,0,0,0,-0.002284039,38
0,42,1.462,-0.0723824054002762,-0.00333144376054406,0,0,0,0,-0.002284039,38
0,43,1.496,-0.0742226392030716,-0.00338726420886815,0,0,0,0,-0.002284039,38
0,44,1.53,-0.0757561698555946,-0.0034455384593457,0,0,0,0,-0.002284039,38
0,45,1.564,-0.0775964111089706,-0.00350319920107722,0,0,0,0,-0.002284039,38
0,46,1.598,-0.0788232386112213,-0.00355840637348592,0,0,0,0,-0.002284039,38
0,47,1.632,-0.0809701830148697,-0.00361422682181001,0,0,0,0,-0.002284039,38
0,48,1.666,-0.0831171274185181,-0.00366820720955729,0,0,0,0,-0.002284039,38
0,49,1.7,-0.0843439474701881,-0.00372402789071202,0,0,0,0,-0.002284039,38
0,50,1.734,-0.0855707749724388,-0.00377862155437469,0,0,0,0,-0.002284039,38
0,51,1.768,-0.0877177193760872,-0.00383566878736019,0,0,0,0,-0.002284039,38
0,52,1.802,-0.0892512500286102,-0.00389026268385351,0,0,0,0,-0.002284039,38
0,53,1.836,-0.0910914912819862,-0.00394178926944733,0,0,0,0,-0.002284039,38
0,54,1.87,-0.0923183113336563,-0.00399576965719461,0,0,0,0,-0.002284039,38
0,55,1.904,-0.0947719663381577,-0.00405343063175678,0,0,0,0,-0.002284039,38
0,56,1.938,-0.0966122001409531,-0.00410434370860457,0,0,0,0,-0.002284039,38
0,57,1.972,-0.0978390276432037,-0.00415709707885981,0,0,0,0,-0.002284039,38
0,58,2.006,-0.0993725582957268,-0.00420801062136889,0,0,0,0,-0.002284039,38
0,59,2.04,-0.101519502699375,-0.00426321756094694,0,0,0,0,-0.002284039,38
0,60,2.074,-0.102746330201626,-0.00431535765528679,0,0,0,0,-0.002284039,38
0,61,2.108,-0.104279860854149,-0.00436811102554202,0,0,0,0,-0.002284039,38
0,62,2.142,-0.106426805257797,-0.0044190245680511,0,0,0,0,-0.002284039,38
0,63,2.176,-0.108573749661446,-0.00447423150762916,0,0,0,0,-0.002284039,38
0,64,2.21,-0.109493866562843,-0.00452330429106951,0,0,0,0,-0.002284039,38
0,65,2.244,-0.111027404665947,-0.00457912497222424,0,0,0,0,-0.002284039,38
0,66,2.278,-0.113174349069595,-0.0046306517906487,0,0,0,0,-0.002284039,38
0,67,2.312,-0.115321293473244,-0.00468033831566572,0,0,0,0,-0.002284039,38
0,68,2.346,-0.116548113524914,-0.00473063811659813,0,0,0,0,-0.002284039,38
0,69,2.38,-0.118695057928562,-0.00478155119344592,0,0,0,0,-0.002284039,38
0,70,2.414,-0.119921885430813,-0.00483491830527782,0,0,0,0,-0.002284039,38
0,71,2.448,-0.121455416083336,-0.00488705839961767,0,0,0,0,-0.002284039,38
0,72,2.482,-0.123295657336712,-0.00493306433781981,0,0,0,0,-0.002284039,38
0,73,2.516,-0.124829187989235,-0.00498459069058299,0,0,0,0,-0.002284039,38
0,74,2.55,-0.12666942179203,-0.0050348904915154,0,0,0,0,-0.002284039,38
0,75,2.584,-0.128509655594826,-0.00508764432743192,0,0,0,0,-0.002284039,38
0,76,2.618,-0.130349904298782,-0.00513794412836432,0,0,0,0,-0.002284039,38
0,77,2.652,-0.131576731801033,-0.00518640363588929,0,0,0,0,-0.002284039,38
0,78,2.686,-0.133723676204681,-0.00523915700614452,0,0,0,0,-0.002284039,38
0,79,2.72,-0.135257199406624,-0.00528516294434667,0,0,0,0,-0.002284039,38
0,80,2.754,-0.136790737509727,-0.00534159690141678,0,0,0,0,-0.002284039,38
0,81,2.788,-0.138017565011978,-0.00538392271846533,0,0,0,0,-0.002284039,38
0,82,2.822,-0.140164509415627,-0.00544096995145082,0,0,0,0,-0.002284039,38
0,83,2.856,-0.141391322016716,-0.00548390857875347,0,0,0,0,-0.002284039,38
0,84,2.89,-0.143231570720673,-0.00553482212126255,0,0,0,0,-0.002284039,38
0,85,2.924,-0.145685210824013,-0.00558512192219496,0,0,0,0,-0.002284039,38
0,86,2.958,-0.146912038326263,-0.00563358142971992,0,0,0,0,-0.002284039,38
0,87,2.992,-0.14875228703022,-0.00568020064383745,0,0,0,0,-0.002284039,38
0,88,3.026,-0.15120592713356,-0.00573111418634653,0,0,0,0,-0.002284039,38
0,89,3.06,-0.151819348335266,-0.00578080071136355,0,0,0,0,-0.002284039,38
0,90,3.094,-0.153659582138062,-0.00582926021888852,0,0,0,0,-0.002284039,38
0,91,3.128,-0.155193120241165,-0.00587894674390554,0,0,0,0,-0.002284039,38
0,92,3.162,-0.157340064644814,-0.00592372566461563,0,0,0,0,-0.002284039,38
0,93,3.196,-0.158566877245903,-0.00597402546554804,0,0,0,0,-0.002284039,38
0,94,3.23,-0.160100415349007,-0.00602248497307301,0,0,0,0,-0.002284039,38
0,95,3.264,-0.162247359752655,-0.00607339851558208,0,0,0,0,-0.002284039,38
0,96,3.298,-0.16408759355545,-0.006120631005615,0,0,0,0,-0.002284039,38
0,97,3.332,-0.165621131658554,-0.00616847723722458,0,0,0,0,-0.002284039,38
0,98,3.366,-0.167154654860497,-0.0062120296061039,0,0,0,0,-0.002284039,38
0,99,3.4,-0.1686881929636,-0.00626294268295169,0,0,0,0,-0.002284039,38
0,100,3.434,-0.170528426766396,-0.00631017563864589,0,0,0,0,-0.002284039,38
0,101,3.468,-0.172368675470352,-0.00635802187025547,0,0,0,0,-0.002284039,38
0,102,3.502,-0.173902198672295,-0.00640280079096556,0,0,0,0,-0.002284039,38
0,103,3.536,-0.176049143075943,-0.0064518740400672,0,0,0,0,-0.002284039,38
0,104,3.57,-0.177582681179047,-0.00649910653010011,0,0,0,0,-0.002284039,38
0,105,3.604,-0.179116204380989,-0.00654695276170969,0,0,0,0,-0.002284039,38
0,106,3.638,-0.181263148784637,-0.00659479899331927,0,0,0,0,-0.002284039,38
0,107,3.672,-0.182489976286888,-0.00664325896650553,0,0,0,0,-0.002284039,38
0,108,3.706,-0.184330210089684,-0.00669171847403049,0,0,0,0,-0.002284039,38
0,109,3.74,-0.18617045879364,-0.00673527084290981,0,0,0,0,-0.002284039,38
0,110,3.774,-0.187703981995583,-0.0067861839197576,0,0,0,0,-0.002284039,38
0,111,3.808,-0.189544230699539,-0.00682605570182204,0,0,0,0,-0.002284039,38
0,112,3.842,-0.191384464502335,-0.00687512895092368,0,0,0,0,-0.002284039,38
0,113,3.876,-0.192917987704277,-0.00692113488912582,0,0,0,0,-0.002284039,38
0,114,3.91,-0.193838119506836,-0.00697020767256618,0,0,0,0,-0.002284039,38
0,115,3.944,-0.195985063910484,-0.00701928092166781,0,0,0,0,-0.002284039,38
0,116,3.978,-0.198132008314133,-0.00706283282488585,0,0,0,0,-0.002284039,38
0,117,4.012,-0.199358820915222,-0.00710945250466466,0,0,0,0,-0.002284039,38
0,118,4.046,-0.201199069619179,-0.00715668499469757,0,0,0,0,-0.002284039,38
0,119,4.08,-0.203039303421974,-0.0071996240876615,0,0,0,0,-0.002284039,38
0,120,4.114,-0.20487953722477,-0.00724931061267853,0,0,0,0,-0.002284039,38
0,121,4.148,-0.206719785928726,-0.00729224923998117,0,0,0,0,-0.002284039,38
0,122,4.182,-0.207946598529816,-0.00733948219567537,0,0,0,0,-0.002284039,38
0,123,4.216,-0.209786847233772,-0.00738364784047008,0,0,0,0,-0.002284039,38
0,124,4.25,-0.211320370435715,-0.00742965377867222,0,0,0,0,-0.002284039,38
0,125,4.284,-0.213160619139671,-0.00747995357960463,0,0,0,0,-0.002284039,38
0,126,4.318,-0.214387431740761,-0.00752718653529882,0,0,0,0,-0.002284039,38
0,127,4.352,-0.216227680444717,-0.00757073890417814,0,0,0,0,-0.002284039,38
0,128,4.386,-0.218374624848366,-0.00761674484238029,0,0,0,0,-0.002284039,38
0,129,4.42,-0.219601452350616,-0.0076639773324132,0,0,0,0,-0.002284039,38
0,130,4.454,-0.221748396754265,-0.0077112102881074,0,0,0,0,-0.002284039,38
0,131,4.488,-0.223281919956207,-0.00775598920881748,0,0,0,0,-0.002284039,38
0,132,4.522,-0.224815458059311,-0.00779831502586603,0,0,0,0,-0.002284039,38
0,133,4.556,-0.226348981261253,-0.00784493423998356,0,0,0,0,-0.002284039,38
0,134,4.59,-0.227882519364357,-0.00788787286728621,0,0,0,0,-0.002284039,38
0,135,4.624,-0.230029463768005,-0.00793755985796452,0,0,0,0,-0.002284039,38
0,136,4.658,-0.232176408171654,-0.00798049848526716,0,0,0,0,-0.002284039,38
0,137,4.692,-0.233403235673904,-0.00802527740597725,0,0,0,0,-0.002284039,38
0,138,4.726,-0.2352434694767,-0.00807128380984068,0,0,0,0,-0.002284039,38
0,139,4.76,-0.236470296978951,-0.00811483617872,0,0,0,0,-0.002284039,38
0,140,4.794,-0.238310530781746,-0.00816022790968418,0,0,0,0,-0.002284039,38
0,141,4.828,-0.23984406888485,-0.00820500776171684,0,0,0,0,-0.002284039,38
0,142,4.862,-0.241991013288498,-0.00824917294085026,0,0,0,0,-0.002284039,38
0,143,4.896,-0.243831247091293,-0.00829517934471369,0,0,0,0,-0.002284039,38
0,144,4.93,-0.245058074593544,-0.00833873171359301,0,0,0,0,-0.002284039,38
0,145,4.964,-0.247511729598045,-0.00838473718613386,0,0,0,0,-0.002284039,38
0,146,4.998,-0.248738542199135,-0.00842583645135164,0,0,0,0,-0.002284039,38
0,147,5.032,-0.249965369701386,-0.00847245566546917,0,0,0,0,-0.002284039,38
0,148,5.066,-0.252112329006195,-0.00851539429277182,0,0,0,0,-0.002284039,38
0,149,5.1,-0.25395256280899,-0.00855956040322781,0,0,0,0,-0.002284039,38
0,150,5.134,-0.255486100912094,-0.00860495213419199,0,0,0,0,-0.002284039,38
0,151,5.168,-0.257019609212875,-0.00864850450307131,0,0,0,0,-0.002284039,38
0,152,5.202,-0.258859843015671,-0.00869451090693474,0,0,0,0,-0.002284039,38
0,153,5.236,-0.260700106620789,-0.00873438268899918,0,0,0,0,-0.002284039,38
0,154,5.27,-0.261926919221878,-0.00877854786813259,0,0,0,0,-0.002284039,38
0,155,5.304,-0.264073878526688,-0.00882700830698013,0,0,0,0,-0.002284039,38
0,156,5.338,-0.265607386827469,-0.00886933319270611,0,0,0,0,-0.002284039,38
0,157,5.372,-0.267140924930573,-0.00890981871634722,0,0,0,0,-0.002284039,38
0,158,5.406,-0.268674463033676,-0.00895521137863398,0,0,0,0,-0.002284039,38
0,159,5.44,-0.270514696836472,-0.00899569597095251,0,0,0,0,-0.002284039,38
0,160,5.474,-0.272048234939575,-0.00904354266822338,0,0,0,0,-0.002284039,38
0,161,5.508,-0.273888468742371,-0.00908402819186449,0,0,0,0,-0.002284039,38
0,162,5.542,-0.275422006845474,-0.00912328623235226,0,0,0,0,-0.002284039,38
0,163,5.576,-0.27726224064827,-0.00916806515306234,0,0,0,0,-0.002284039,38
0,164,5.61,-0.278795778751373,-0.00921161752194166,0,0,0,0,-0.002284039,38
0,165,5.644,-0.28094270825386,-0.00926007702946663,0,0,0,0,-0.002284039,38
0,166,5.678,-0.282476246356964,-0.00930546969175339,0,0,0,0,-0.002284039,38
0,167,5.712,-0.284009784460068,-0.00934411492198706,0,0,0,0,-0.002284039,38
0,168,5.746,-0.286156713962555,-0.00938643980771303,0,0,0,0,-0.002284039,38
0,169,5.78,-0.287690252065659,-0.00942876562476158,0,0,0,0,-0.002284039,38
0,170,5.814,-0.289223790168762,-0.00947599858045578,0,0,0,0,-0.002284039,38
0,171,5.848,-0.291064023971558,-0.00951280351728201,0,0,0,0,-0.002284039,38
0,172,5.882,-0.292904257774353,-0.00955880898982286,0,0,0,0,-0.002284039,38
0,173,5.916,-0.294744491577148,-0.00959990825504065,0,0,0,0,-0.002284039,38
0,174,5.95,-0.296278029680252,-0.00964407343417406,0,0,0,0,-0.002284039,38
0,175,5.984,-0.298118263483047,-0.00968823954463005,0,0,0,0,-0.002284039,38
0,176,6.018,-0.298731684684753,-0.00972688384354115,0,0,0,0,-0.002284039,38
0,177,6.052,-0.301185339689255,-0.0097692096605897,0,0,0,0,-0.002284039,38
0,178,6.086,-0.302718877792358,-0.00980908144265413,0,0,0,0,-0.002284039,38
0,179,6.12,-0.304559111595154,-0.00985324755311012,0,0,0,0,-0.002284039,38
0,180,6.154,-0.306399345397949,-0.00989802647382021,0,0,0,0,-0.002284039,38
0,181,6.188,-0.307932883501053,-0.00993973854929209,0,0,0,0,-0.002284039,38
0,182,6.222,-0.309466391801834,-0.00997777003794909,0,0,0,0,-0.002284039,38
0,183,6.256,-0.311306655406952,-0.0100207086652517,0,0,0,0,-0.002284039,38
0,184,6.29,-0.312840163707733,-0.0100605804473162,0,0,0,0,-0.002284039,38
0,185,6.324,-0.314680397510529,-0.0101065868511796,0,0,0,0,-0.002284039,38
0,186,6.358,-0.316213935613632,-0.0101482989266515,0,0,0,0,-0.002284039,38
0,187,6.392,-0.318360894918442,-0.0101851038634777,0,0,0,0,-0.002284039,38
0,188,6.426,-0.319894433021545,-0.0102249756455421,0,0,0,0,-0.002284039,38
0,189,6.46,-0.321734666824341,-0.010266687721014,0,0,0,0,-0.002284039,38
0,190,6.494,-0.323268175125122,-0.010304719209671,0,0,0,0,-0.002284039,38
0,191,6.528,-0.32510843873024,-0.0103494981303811,0,0,0,0,-0.002284039,38
0,192,6.562,-0.326948672533035,-0.0103844627737999,0,0,0,0,-0.002284039,38
0,193,6.596,-0.328175485134125,-0.0104280151426792,0,0,0,0,-0.002284039,38
0,194,6.63,-0.33001571893692,-0.0104666603729129,0,0,0,0,-0.002284039,38
0,195,6.664,-0.331855952739716,-0.0105077587068081,0,0,0,0,-0.002284039,38
0,196,6.698,-0.333389490842819,-0.0105464039370418,0,0,0,0,-0.002284039,38
0,197,6.732,-0.335229724645615,-0.0105856619775295,0,0,0,0,-0.002284039,38
0,198,6.766,-0.336456567049026,-0.0106273740530014,0,0,0,0,-0.002284039,38
0,199,6.8,-0.338603496551514,-0.0106666320934892,0,0,0,0,-0.002284039,38
0,200,6.834,-0.340443730354309,-0.0107114119455218,0,0,0,0,-0.002284039,38
0,201,6.868,-0.341670572757721,-0.0107439225539565,0,0,0,0,-0.002284039,38
0,202,6.902,-0.343510806560516,-0.0107831805944443,0,0,0,0,-0.002284039,38
0,203,6.936,-0.344737619161606,-0.0108224395662546,0,0,0,0,-0.002284039,38
