Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.0085,-0.00153323798440397,-0.000105819817690644,0,0,0,0,-0.002284039,38
0,1,0.017,-0.00276006339117885,-0.000160965617396869,0,0,0,0,-0.002284039,38
0,2,0.0255,-0.0052137142047286,-0.000196334993233904,0,0,0,0,-0.002284039,38
0,3,0.034,-0.00674724578857422,-0.000225367766688578,0,0,0,0,-0.002284039,38
0,4,0.0425,-0.00828077737241983,-0.000251008401392028,0,0,0,0,-0.002284039,38
0,5,0.051,-0.00981430895626545,-0.000267877272563055,0,0,0,0,-0.002284039,38
0,6,0.0595,-0.0116545474156737,-0.000286647700704634,0,0,0,0,-0.002284039,38
0,7,0.068,-0.0131880789995193,-0.000298118509817868,0,0,0,0,-0.002284039,38
0,8,0.0765,-0.0153350234031677,-0.000309834693325683,0,0,0,0,-0.002284039,38
0,9,0.085,-0.0168685559183359,-0.000320876104524359,0,0,0,0,-0.002284039,38
0,10,0.0935,-0.018402086570859,-0.000329647911712527,0,0,0,0,-0.002284039,38
0,11,0.102,-0.0202423240989447,-0.000332530966261402,0,0,0,0,-0.002284039,38
0,12,0.1105,-0.0220825634896755,-0.000338174344506115,0,0,0,0,-0.002284039,38
0,13,0.119,-0.0233093872666359,-0.000344063126249239,0,0,0,0,-0.002284039,38
0,14,0.1275,-0.0251496266573668,-0.00034596468321979,0,0,0,0,-0.002284039,38
0,15,0.136,-0.0269898641854525,-0.00035013590240851,0,0,0,0,-0.002284039,38
0,16,0.1445,-0.0288301017135382,-0.000352466857293621,0,0,0,0,-0.002284039,38
0,17,0.153,-0.0303636342287064,-0.000355165888322517,0,0,0,0,-0.002284039,38
0,18,0.1615,-0.0315904580056667,-0.000353939045453444,0,0,0,0,-0.002284039,38
0,19,0.17,-0.0337374024093151,-0.000357067474396899,0,0,0,0,-0.002284039,38
0,20,0.1785,-0.0355776399374008,-0.000358171615516767,0,0,0,0,-0.002284039,38
0,21,0.187,-0.0368044674396515,-0.000356208678567782,0,0,0,0,-0.002284039,38
0,22,0.1955,-0.0386447049677372,-0.0003543070924934,0,0,0,0,-0.002284039,38
