Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.3,0,0.00128816661890596,0,0,0,0,-0.002284039,39
0,1,0.6,-0.0150286108255386,0.000552071433048695,0,0,0,0,-0.002284039,39
0,2,0.9,-0.0303639285266399,0.00030670635169372,0,0,0,0,-0.002284039,39
0,3,1.2,-0.0450858324766159,0.000184023811016232,0,0,0,0,-0.002284039,39
0,4,1.5,-0.0601144433021545,0.000122682540677488,0,0,0,0,-0.002284039,39
0,5,1.8,-0.0754497572779655,0,0,0,0,0,-0.002284039,39
0,6,2.1,-0.0904783681035042,0,0,0,0,0,-0.002284039,39
0,7,2.4,-0.10520027577877,0,0,0,0,0,-0.002284039,39
0,8,2.7,-0.120535589754581,0,0,0,0,0,-0.002284039,39
0,9,3,-0.135564208030701,-6.13412703387439E-05,0,0,0,0,-0.002284039,39
0,10,3.3,-0.150592818856239,-6.13412703387439E-05,0,0,0,0,-0.002284039,39
0,11,3.6,-0.165621429681778,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,12,3.9,-0.180650040507317,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,13,4.2,-0.195678651332855,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,14,4.5,-0.210707262158394,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,15,4.8,-0.225735872983933,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,16,5.1,-0.240764483809471,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,17,5.4,-0.25579309463501,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,18,5.7,-0.270821690559387,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,19,6,-0.285850316286087,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,20,6.3,-0.300878912210464,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,21,6.6,-0.315907537937164,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,22,6.9,-0.330936133861542,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,23,7.2,-0.345964759588242,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,24,7.5,-0.360993355512619,-0.000245365081354976,0,0,0,0,-0.002284039,39
