Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.075,0.000307000009343028,0,0,0,0,0,-0.002284039,39
0,1,0.15,-0.014721610583365,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,2,0.225,-0.029750220477581,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,3,0.3,-0.044472124427557,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,4,0.375,-0.0595007352530956,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,5,0.45,-0.0745293498039246,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,6,0.525,-0.0895579606294632,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,7,0.6,-0.104586571455002,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,8,0.675,-0.119308471679688,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,9,0.75,-0.134337082505226,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,10,0.825,-0.149365693330765,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,11,0.9,-0.16408759355545,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,12,0.975,-0.179116204380989,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,13,1.05,-0.194144815206528,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,14,1.125,-0.209173426032066,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,15,1.2,-0.223895341157913,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,16,1.275,-0.238923951983452,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,17,1.35,-0.25395256280899,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,18,1.425,-0.268674463033676,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,19,1.5,-0.283703058958054,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,20,1.575,-0.298731684684753,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,21,1.65,-0.313760280609131,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,22,1.725,-0.328788906335831,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,23,1.8,-0.343510806560516,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,24,1.875,-0.358539432287216,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,25,1.95,-0.373568028211594,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,26,2.025,-0.388289928436279,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,27,2.1,-0.403318554162979,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,28,2.175,-0.418347150087357,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,29,2.25,-0.433375775814056,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,30,2.325,-0.448097676038742,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,31,2.4,-0.46312627196312,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,32,2.475,-0.478154897689819,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,33,2.55,-0.493183493614197,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,34,2.625,-0.508212089538574,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,35,2.7,-0.522934019565582,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,36,2.775,-0.53796261548996,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,37,2.85,-0.552991211414337,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,38,2.925,-0.567713141441345,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,39,3,-0.582741737365723,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,40,3.075,-0.597770392894745,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,41,3.15,-0.612798988819122,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,42,3.225,-0.627520859241486,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,43,3.3,-0.642549514770508,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,44,3.375,-0.657578110694885,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,45,3.45,-0.672299981117249,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,46,3.525,-0.687328636646271,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,47,3.6,-0.702357232570648,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,48,3.675,-0.717385828495026,-0.000552071433048695,0,0,0,0,-0.002284039,39
