Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.075,0.000307000009343028,0,0,0,0,0,-0.002284039,39
0,1,0.15,-0.014721610583365,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,2,0.225,-0.029750220477581,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,3,0.3,-0.044472124427557,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,4,0.375,-0.0595007352530956,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,5,0.45,-0.0742226392030716,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,6,0.525,-0.0892512500286102,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,7,0.6,-0.104279860854149,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,8,0.675,-0.119308471679688,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,9,0.75,-0.134030371904373,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,10,0.825,-0.149058982729912,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,11,0.9,-0.16408759355545,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,12,0.975,-0.178809508681297,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,13,1.05,-0.193838119506836,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,14,1.125,-0.208866730332375,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,15,1.2,-0.22358863055706,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,16,1.275,-0.238617241382599,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,17,1.35,-0.253645837306976,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,18,1.425,-0.268367767333984,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,19,1.5,-0.283396363258362,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,20,1.575,-0.298424988985062,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,21,1.65,-0.313453584909439,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,22,1.725,-0.328175485134125,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,23,1.8,-0.343204110860825,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,24,1.875,-0.358232706785202,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,25,1.95,-0.372954607009888,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,26,2.025,-0.387983232736588,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,27,2.1,-0.403011828660965,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,28,2.175,-0.418040454387665,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,29,2.25,-0.43276235461235,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,30,2.325,-0.447790950536728,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,31,2.4,-0.462819576263428,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,32,2.475,-0.477541476488113,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,33,2.55,-0.492570102214813,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,34,2.625,-0.507598698139191,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,35,2.7,-0.522320628166199,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,36,2.775,-0.537349224090576,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,37,2.85,-0.552377820014954,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,38,2.925,-0.567099750041962,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,39,3,-0.582128345966339,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,40,3.075,-0.597156941890717,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,41,3.15,-0.612185537815094,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,42,3.225,-0.626907467842102,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,43,3.3,-0.641936063766479,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,44,3.375,-0.656964659690857,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,45,3.45,-0.671686589717865,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,46,3.525,-0.686715185642242,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,47,3.6,-0.701743841171265,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,48,3.675,-0.716465711593628,-0.000613412703387439,0,0,0,0,-0.002284039,39
