Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,1,0.053673904389143,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,1,2,0.0530604906380177,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,2,3,0.0521403700113297,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,3,4,0.0515269599854946,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,4,5,0.0509135462343693,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,5,6,0.0503001324832439,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,6,7,0.0496867224574089,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,7,8,0.0490733087062836,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,8,9,0.0484598949551582,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,9,10,0.0478464812040329,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,10,11,0.0472330711781979,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,11,12,0.0466196574270725,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,12,13,0.0460062436759472,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,13,14,0.0453928336501122,-3.06647621073353E-07,0,0,0,0,-0.002284039,41
0,14,15,0.0447794198989868,-4.29330157203367E-07,0,0,0,0,-0.002284039,41
0,15,16,0.0444727130234241,-3.06647621073353E-07,0,0,0,0,-0.002284039,41
0,16,17,0.0438592992722988,-3.6798888913836E-07,0,0,0,0,-0.002284039,41
0,17,18,0.0432458892464638,-3.06647621073353E-07,0,0,0,0,-0.002284039,41
0,18,19,0.0426324754953384,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,19,20,0.0420190617442131,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,20,21,0.0417123548686504,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,21,22,0.0407922379672527,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,22,23,0.0404855310916901,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,23,24,0.0398721173405647,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,24,25,0.0368050560355186,-1.83965070732484E-07,0,0,0,0,-0.002284039,41
0,25,26,0.035578228533268,-1.83965070732484E-07,0,0,0,0,-0.002284039,41
0,26,27,0.0343514047563076,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,27,28,0.0337379910051823,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,28,29,0.0328178703784943,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,29,30,0.0318977534770966,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,30,31,0.0312843397259712,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,31,32,0.030670927837491,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,32,33,0.0300575140863657,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,33,34,0.0294441021978855,-1.83965070732484E-07,0,0,0,0,-0.002284039,41
0,34,35,0.0288306903094053,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,35,36,0.02821727655828,-6.13353961398388E-07,0,0,0,0,-0.002284039,41
0,36,37,0.0276038646697998,-8.58719033658417E-07,0,0,0,0,-0.002284039,41
0,37,38,0.0269904509186745,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,38,39,0.0263770390301943,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,39,40,0.0260703321546316,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,40,41,0.0254569202661514,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,41,42,0.0251502133905888,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,42,43,0.0245368015021086,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,43,44,0.0242300946265459,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,44,45,0.0239233877509832,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,45,46,0.0233099758625031,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,46,47,0.0230032689869404,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,47,48,0.0226965621113777,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,48,49,0.0223898570984602,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,49,50,0.0220831502228975,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,50,51,0.0214697383344173,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,51,52,0.0214697383344173,-1.83965070732484E-07,0,0,0,0,-0.002284039,41
0,52,53,0.020856324583292,-6.12825346024692E-08,0,0,0,0,-0.002284039,41
0,53,54,0.0205496177077293,-1.83965070732484E-07,0,0,0,0,-0.002284039,41
0,54,55,0.0202429126948118,-6.74695229463396E-07,0,0,0,0,-0.002284039,41
0,55,56,0.0199362058192492,-4.90671425268374E-07,0,0,0,0,-0.002284039,41
0,56,57,0.0196294989436865,-1.22623802667476E-07,0,0,0,0,-0.002284039,41
0,57,58,0.019322793930769,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,58,59,0.0190160870552063,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,59,60,0.0187093801796436,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,60,61,0.018402673304081,6.14000015275451E-08,0,0,0,0,-0.002284039,41
0,61,62,0.0180959682911634,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,62,63,0.0177892614156008,5.87319776146344E-11,0,0,0,0,-0.002284039,41
0,63,64,0.0174825545400381,6.14000015275451E-08,0,0,0,0,-0.002284039,41
