Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.5,0,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,1,1,-0.0496864281594753,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,2,1.5,-0.099679559469223,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,3,2,-0.14967268705368,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,4,2.5,-0.199665829539299,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,5,3,-0.249658957123756,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,6,3.5,-0.299345374107361,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,7,4,-0.349338531494141,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,8,4.5,-0.399331659078598,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,9,5,-0.449324786663055,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,10,5.5,-0.499317914247513,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,11,6,-0.54931104183197,-0.000981460325419903,0,0,0,0,-0.002284039,39
0,12,6.5,-0.59930419921875,-0.00110414286609739,0,0,0,0,-0.002284039,39
0,13,7,-0.649297297000885,-0.00122682540677488,0,0,0,0,-0.002284039,39
0,14,7.5,-0.699290454387665,-0.00134950794745237,0,0,0,0,-0.002284039,39
0,15,8,-0.749283611774445,-0.00141084915958345,0,0,0,0,-0.002284039,39
0,16,8.5,-0.79927670955658,-0.00141084915958345,0,0,0,0,-0.002284039,39
0,17,9,-0.849269866943359,-0.00147219048812985,0,0,0,0,-0.002284039,39
0,18,9.5,-0.898956298828125,-0.00165621424093843,0,0,0,0,-0.002284039,39
0,19,10,-0.94894939661026,-0.00177889678161591,0,0,0,0,-0.002284039,39
0,20,10.5,-0.999249279499054,-0.0019015793222934,0,0,0,0,-0.002284039,39
0,21,11,-1.04893565177917,-0.00202426174655557,0,0,0,0,-0.002284039,39
0,22,11.5,-1.09892880916595,-0.00214694440364838,0,0,0,0,-0.002284039,39
0,23,12,-1.14892196655273,-0.00233096815645695,0,0,0,0,-0.002284039,39
0,24,12.5,-1.19891512393951,-0.00269901589490473,0,0,0,0,-0.002284039,39
0,25,13,-1.248908162117,-0.00318974582478404,0,0,0,0,-0.002284039,39
0,26,13.5,-1.29890131950378,-0.00392584130167961,0,0,0,0,-0.002284039,39
0,27,14,-1.34889447689056,-0.00490730162709951,0,0,0,0,-0.002284039,39
0,28,14.5,-1.39888763427734,-0.00625680945813656,0,0,0,0,-0.002284039,39
0,29,15,-1.44888079166412,-0.00821973010897636,0,0,0,0,-0.002284039,39
0,30,15.5,-1.49856722354889,-0.0109800873324275,0,0,0,0,-0.002284039,39
0,31,16,-1.54886698722839,-0.0211013965308666,0,0,0,0,-0.002284039,39
0,32,16.5,-1.59855341911316,-0.0546550713479519,0,0,0,0,-0.002284039,39
1,33,17,-1.54886698722839,-0.0362526886165142,0,0,0,0,-0.002284039,39
1,34,17.5,-1.49887382984161,-0.0188317690044641,0,0,0,0,-0.002284039,39
1,35,18,-1.44888079166412,-0.00251499190926552,0,0,0,0,-0.002284039,39
1,36,18.5,-1.39888763427734,0.0127589832991362,0,0,0,0,-0.002284039,39
1,37,19,-1.34889447689056,0.0099986270070076,0,0,0,0,-0.002284039,39
1,38,19.5,-1.29890131950378,-0.00558205554261804,0,0,0,0,-0.002284039,39
1,39,20,-1.248908162117,-0.00392584130167961,0,0,0,0,-0.002284039,39
1,40,20.5,-1.19891512393951,-0.00269901589490473,0,0,0,0,-0.002284039,39
1,41,21,-1.14922869205475,-0.00196292065083981,0,0,0,0,-0.002284039,39
1,42,21.5,-1.09923553466797,-0.00147219048812985,0,0,0,0,-0.002284039,39
1,43,22,-1.04924237728119,-0.00116548407822847,0,0,0,0,-0.002284039,39
1,44,22.5,-0.999249279499054,-0.000920118996873498,0,0,0,0,-0.002284039,39
1,45,23,-0.949256122112274,-0.000736095244064927,0,0,0,0,-0.002284039,39
1,46,23.5,-0.899262964725494,-0.000552071433048695,0,0,0,0,-0.002284039,39
1,47,24,-0.849269866943359,-0.00030670635169372,0,0,0,0,-0.002284039,39
1,48,24.5,-0.79927670955658,0,0,0,0,0,-0.002284039,39
1,49,25,-0.749283611774445,0.00030670635169372,0,0,0,0,-0.002284039,39
1,50,25.5,-0.699290454387665,0.000613412703387439,0,0,0,0,-0.002284039,39
1,51,26,-0.649297297000885,0.000736095244064927,0,0,0,0,-0.002284039,39
1,52,26.5,-0.599610924720764,0.000552071433048695,0,0,0,0,-0.002284039,39
1,53,27,-0.549617767333984,0.000368047622032464,0,0,0,0,-0.002284039,39
1,54,27.5,-0.499624639749527,0.000245365081354976,0,0,0,0,-0.002284039,39
1,55,28,-0.449631482362747,0.000245365081354976,0,0,0,0,-0.002284039,39
1,56,28.5,-0.39963835477829,0.000245365081354976,0,0,0,0,-0.002284039,39
1,57,29,-0.349645227193832,0.00030670635169372,0,0,0,0,-0.002284039,39
1,58,29.5,-0.299652099609375,0.00030670635169372,0,0,0,0,-0.002284039,39
1,59,30,-0.249658957123756,0.00030670635169372,0,0,0,0,-0.002284039,39
1,60,30.5,-0.199665829539299,0.00030670635169372,0,0,0,0,-0.002284039,39
1,61,31,-0.14967268705368,0.000368047622032464,0,0,0,0,-0.002284039,39
1,62,31.5,-0.099679559469223,0.000368047622032464,0,0,0,0,-0.002284039,39
1,63,32,-0.0496864281594753,0.000368047622032464,0,0,0,0,-0.002284039,39
1,64,32.5,0,0.000368047622032464,0,0,0,0,-0.002284039,39
1,65,33,0.049993135035038,0.000368047622032464,0,0,0,0,-0.002284039,39
1,66,33.5,0.099679559469223,0.000429388863267377,0,0,0,0,-0.002284039,39
1,67,34,0.149979397654533,0.000490730162709951,0,0,0,0,-0.002284039,39
1,68,34.5,0.199665829539299,0.000613412703387439,0,0,0,0,-0.002284039,39
1,69,35,0.249658957123756,0.00104280153755099,0,0,0,0,-0.002284039,39
1,70,35.5,0.299652099609375,0.00196292065083981,0,0,0,0,-0.002284039,39
1,71,36,0.349645227193832,0.00331242848187685,0,0,0,0,-0.002284039,39
1,72,36.5,0.39963835477829,0.00637949164956808,0,0,0,0,-0.002284039,39
1,73,37,0.449631482362747,0.0115321585908532,0,0,0,0,-0.002284039,39
1,74,37.5,0.499624639749527,0.0222668796777725,0,0,0,0,-0.002284039,39
1,75,38,0.549617767333984,0.0330016016960144,0,0,0,0,-0.002284039,39
1,76,38.5,0.599610924720764,0.0432455949485302,0,0,0,0,-0.002284039,39
