Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,1,0,0,0,0,0,0,-0.002284039,39
0,1,2,-0.049993135035038,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,2,3,-0.099986270070076,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,3,4,-0.14967268705368,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,4,5,-0.199665829539299,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,5,6,-0.249965667724609,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,6,7,-0.299652099609375,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,7,8,-0.349645227193832,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,8,9,-0.39963835477829,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,9,10,-0.449631482362747,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,10,11,-0.499624639749527,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,11,12,-0.549617767333984,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,12,13,-0.599610924720764,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,13,14,-0.649297297000885,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,14,15,-0.699597179889679,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,15,16,-0.749283611774445,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,16,17,-0.79927670955658,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,17,18,-0.849269866943359,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,18,19,-0.899262964725494,-0.00104280153755099,0,0,0,0,-0.002284039,39
0,19,20,-0.949256122112274,-0.00116548407822847,0,0,0,0,-0.002284039,39
0,20,21,-0.999249279499054,-0.00134950794745237,0,0,0,0,-0.002284039,39
0,21,22,-1.04924237728119,-0.00153353170026094,0,0,0,0,-0.002284039,39
0,22,23,-1.09923553466797,-0.00177889678161591,0,0,0,0,-0.002284039,39
0,23,24,-1.14922869205475,-0.00214694440364838,0,0,0,0,-0.002284039,39
0,24,25,-1.19922184944153,-0.00251499190926552,0,0,0,0,-0.002284039,39
0,25,26,-1.248908162117,-0.00300572207197547,0,0,0,0,-0.002284039,39
0,26,27,-1.29890131950378,-0.00355779356323183,0,0,0,0,-0.002284039,39
0,27,28,-1.34889447689056,-0.00404852349311113,0,0,0,0,-0.002284039,39
0,28,29,-1.39888763427734,-0.00453925365582109,0,0,0,0,-0.002284039,39
0,29,30,-1.44888079166412,-0.00527534913271666,0,0,0,0,-0.002284039,39
0,30,31,-1.49887382984161,-0.00631815055385232,0,0,0,0,-0.002284039,39
0,31,32,-1.54886698722839,-0.0324495323002338,0,0,0,0,-0.002284039,39
0,32,33,-1.59855341911316,-0.0596850551664829,0,0,0,0,-0.002284039,39
0,33,34,-1.64854657649994,-0.0877793580293655,0,0,0,0,-0.002284039,39
0,34,35,-1.69853973388672,-0.11618036031723,0,0,0,0,-0.002284039,39
0,35,36,-1.7485328912735,-0.14464271068573,0,0,0,0,-0.002284039,39
0,36,37,-1.79821932315826,-0.0891902074217796,0,0,0,0,-0.002284039,39
1,37,38,-1.74883949756622,-0.0626907795667648,0,0,0,0,-0.002284039,39
1,38,39,-1.69884645938873,-0.0882700830698013,0,0,0,0,-0.002284039,39
1,39,40,-1.64885330200195,-0.0994341969490051,0,0,0,0,-0.002284039,39
1,40,41,-1.59886014461517,-0.0776580423116684,0,0,0,0,-0.002284039,39
1,41,42,-1.54886698722839,-0.0531215369701386,0,0,0,0,-0.002284039,39
1,42,43,-1.49918055534363,-0.029566491022706,0,0,0,0,-0.002284039,39
1,43,44,-1.44918739795685,-0.00331242848187685,0,0,0,0,-0.002284039,39
1,44,45,-1.39919435977936,0.0223282221704721,0,0,0,0,-0.002284039,39
1,45,46,-1.34920120239258,0.0490116737782955,0,0,0,0,-0.002284039,39
1,46,47,-1.2992080450058,0.0701744109392166,0,0,0,0,-0.002284039,39
1,47,48,-1.24921488761902,0.05164934694767,0,0,0,0,-0.002284039,39
1,48,49,-1.19952845573425,0.0399945080280304,0,0,0,0,-0.002284039,39
1,49,50,-1.14922869205475,0.0250885784626007,0,0,0,0,-0.002284039,39
1,50,51,-1.09923553466797,0.0139858089387417,0,0,0,0,-0.002284039,39
1,51,52,-1.0495491027832,0.00938521418720484,0,0,0,0,-0.002284039,39
1,52,53,-0.999249279499054,0.00355779356323183,0,0,0,0,-0.002284039,39
1,53,54,-0.949256122112274,0.00607278570532799,0,0,0,0,-0.002284039,39
1,54,55,-0.899569690227509,0.00969192013144493,0,0,0,0,-0.002284039,39
1,55,56,-0.849576532840729,0.0129430079832673,0,0,0,0,-0.002284039,39
1,56,57,-0.799583435058594,0.0202426183968782,0,0,0,0,-0.002284039,39
1,57,58,-0.749590277671814,0.0277262534946203,0,0,0,0,-0.002284039,39
1,58,59,-0.699597179889679,0.0314680710434914,0,0,0,0,-0.002284039,39
1,59,60,-0.649604022502899,0.0391970686614513,0,0,0,0,-0.002284039,39
1,60,61,-0.599610924720764,0.0495024025440216,0,0,0,0,-0.002284039,39
1,61,62,-0.549924492835999,0.0642243102192879,0,0,0,0,-0.002284039,39
1,62,63,-0.499931335449219,0.0790688917040825,0,0,0,0,-0.002284039,39
1,63,64,-0.449631482362747,0.000184023811016232,0,0,0,0,-0.002284039,39
1,64,65,-0.39963835477829,-0.000981460325419903,0,0,0,0,-0.002284039,39
1,65,66,-0.349951922893524,-0.000674753973726183,0,0,0,0,-0.002284039,39
1,66,67,-0.299652099609375,-0.000429388863267377,0,0,0,0,-0.002284039,39
1,67,68,-0.249658957123756,-0.000184023811016232,0,0,0,0,-0.002284039,39
1,68,69,-0.199665829539299,0,0,0,0,0,-0.002284039,39
1,69,70,-0.149979397654533,0.000122682540677488,0,0,0,0,-0.002284039,39
1,70,71,-0.099986270070076,0.000368047622032464,0,0,0,0,-0.002284039,39
1,71,72,-0.049993135035038,0.000490730162709951,0,0,0,0,-0.002284039,39
1,72,73,0,0.000552071433048695,0,0,0,0,-0.002284039,39
1,73,74,0.0496864281594753,0.000674753973726183,0,0,0,0,-0.002284039,39
1,74,75,0.099679559469223,0.00079743645619601,0,0,0,0,-0.002284039,39
1,75,76,0.14967268705368,0.000858777726534754,0,0,0,0,-0.002284039,39
1,76,77,0.199665829539299,0.000858777726534754,0,0,0,0,-0.002284039,39
1,77,78,0.249658957123756,0.000981460325419903,0,0,0,0,-0.002284039,39
