Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,1,0.000613706361036748,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,1,2,-0.0490727201104164,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,2,3,-0.0990658551454544,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,3,4,-0.149365693330765,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,4,5,-0.19905212521553,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,5,6,-0.249045252799988,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,6,7,-0.299038380384445,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,7,8,-0.349031507968903,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,8,9,-0.399024665355682,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,9,10,-0.44901779294014,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,10,11,-0.499010920524597,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,11,12,-0.549004077911377,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,12,13,-0.598690509796143,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,13,14,-0.648990333080292,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,14,15,-0.698676764965057,-0.000981460325419903,0,0,0,0,-0.002284039,39
0,15,16,-0.748669862747192,-0.00104280153755099,0,0,0,0,-0.002284039,39
0,16,17,-0.798663020133972,-0.00110414286609739,0,0,0,0,-0.002284039,39
0,17,18,-0.848656177520752,-0.00116548407822847,0,0,0,0,-0.002284039,39
0,18,19,-0.898649275302887,-0.00122682540677488,0,0,0,0,-0.002284039,39
0,19,20,-0.948642432689667,-0.00134950794745237,0,0,0,0,-0.002284039,39
0,20,21,-0.998635530471802,-0.00147219048812985,0,0,0,0,-0.002284039,39
0,21,22,-1.04862868785858,-0.00159487291239202,0,0,0,0,-0.002284039,39
0,22,23,-1.09862184524536,-0.00171755545306951,0,0,0,0,-0.002284039,39
0,23,24,-1.14861500263214,-0.00196292065083981,0,0,0,0,-0.002284039,39
0,24,25,-1.19860804080963,-0.00226962682791054,0,0,0,0,-0.002284039,39
0,25,26,-1.24860119819641,-0.00263767456635833,0,0,0,0,-0.002284039,39
0,26,27,-1.29828763008118,-0.00318974582478404,0,0,0,0,-0.002284039,39
0,27,28,-1.34828078746796,-0.00392584130167961,0,0,0,0,-0.002284039,39
0,28,29,-1.39827394485474,-0.00484596006572247,0,0,0,0,-0.002284039,39
0,29,30,-1.44826710224152,-0.00601144414395094,0,0,0,0,-0.002284039,39
0,30,31,-1.49826014041901,-0.00766765838488936,0,0,0,0,-0.002284039,39
0,31,32,-1.54825329780579,-0.025824673473835,0,0,0,0,-0.002284039,39
0,32,33,-1.59824645519257,-0.0557592138648033,0,0,0,0,-0.002284039,39
0,33,34,-1.64793288707733,-0.0852643623948097,0,0,0,0,-0.002284039,39
0,34,35,-1.69792604446411,-0.115137562155724,0,0,0,0,-0.002284039,39
0,35,36,-1.74822580814362,-0.146605625748634,0,0,0,0,-0.002284039,39
0,36,37,-1.79791224002838,-0.147035017609596,0,0,0,0,-0.002284039,39
0,37,38,-1.84790539741516,-0.0431842543184757,0,0,0,0,-0.002284039,39
0,38,39,-1.89789855480194,-0.0619546808302403,0,0,0,0,-0.002284039,39
0,39,40,-1.94789171218872,-0.091459833085537,0,0,0,0,-0.002284039,39
0,40,41,-1.99757814407349,-0.114401467144489,0,0,0,0,-0.002284039,39
1,41,42,-1.94819843769073,-0.125626921653748,0,0,0,0,-0.002284039,39
1,42,43,-1.89820528030396,-0.127651184797287,0,0,0,0,-0.002284039,39
1,43,44,-1.84821212291718,-0.125994965434074,0,0,0,0,-0.002284039,39
1,44,45,-1.7982189655304,-0.124768137931824,0,0,0,0,-0.002284039,39
1,45,46,-1.74822580814362,-0.136361643671989,0,0,0,0,-0.002284039,39
1,46,47,-1.69823276996613,-0.12716044485569,0,0,0,0,-0.002284039,39
1,47,48,-1.64823961257935,-0.135809570550919,0,0,0,0,-0.002284039,39
1,48,49,-1.59824645519257,-0.12145571410656,0,0,0,0,-0.002284039,39
1,49,50,-1.5485600233078,-0.105997711420059,0,0,0,0,-0.002284039,39
1,50,51,-1.49826014041901,-0.0853257030248642,0,0,0,0,-0.002284039,39
1,51,52,-1.44857370853424,-0.0664325952529907,0,0,0,0,-0.002284039,39
1,52,53,-1.39858067035675,-0.0443497374653816,0,0,0,0,-0.002284039,39
1,53,54,-1.34858751296997,-0.0274808872491121,0,0,0,0,-0.002284039,39
1,54,55,-1.29890108108521,-0.00355779356323183,0,0,0,0,-0.002284039,39
1,55,56,-1.24860119819641,0.0207333490252495,0,0,0,0,-0.002284039,39
1,56,57,-1.19891476631165,0.0447791256010532,0,0,0,0,-0.002284039,39
1,57,58,-1.14892160892487,0.0697450190782547,0,0,0,0,-0.002284039,39
1,58,59,-1.09892857074738,0.0940975025296211,0,0,0,0,-0.002284039,39
1,59,60,-1.0489354133606,0.104954913258553,0,0,0,0,-0.002284039,39
1,60,61,-0.998942255973816,0.0522014200687408,0,0,0,0,-0.002284039,39
1,61,62,-0.948949098587036,0.104525521397591,0,0,0,0,-0.002284039,39
1,62,63,-0.899262666702271,0.139551386237144,0,0,0,0,-0.002284039,39
1,63,64,-0.849269568920136,0.173227742314339,0,0,0,0,-0.002284039,39
1,64,65,-0.799276411533356,0.142986491322517,0,0,0,0,-0.002284039,39
1,65,66,-0.748976588249207,0.0919505581259727,0,0,0,0,-0.002284039,39
1,66,67,-0.699290156364441,0.0291984435170889,0,0,0,0,-0.002284039,39
1,67,68,-0.649296998977661,-0.00521400757133961,0,0,0,0,-0.002284039,39
1,68,69,-0.598997175693512,0.000920118996873498,0,0,0,0,-0.002284039,39
1,69,70,-0.549310743808746,0.0123295951634645,0,0,0,0,-0.002284039,39
1,70,71,-0.499317616224289,0.0257633328437805,0,0,0,0,-0.002284039,39
1,71,72,-0.449324488639832,0.0421414524316788,0,0,0,0,-0.002284039,39
1,72,73,-0.399331361055374,0.0597463957965374,0,0,0,0,-0.002284039,39
1,73,74,-0.349644929170609,0.0752043947577477,0,0,0,0,-0.002284039,39
1,74,75,-0.299345105886459,0.0717692822217941,0,0,0,0,-0.002284039,39
1,75,76,-0.249351963400841,0.00656351586803794,0,0,0,0,-0.002284039,39
1,76,77,-0.199358820915222,0.00625680945813656,0,0,0,0,-0.002284039,39
1,77,78,-0.149672403931618,0.00834241230040789,0,0,0,0,-0.002284039,39
1,78,79,-0.0993725582957268,0.00840375386178494,0,0,0,0,-0.002284039,39
1,79,80,-0.0496861338615417,0.00846509542316198,0,0,0,0,-0.002284039,39
1,80,81,0.000307000009343028,0.00834241230040789,0,0,0,0,-0.002284039,39
1,81,82,0.0499934256076813,0.0101213091984391,0,0,0,0,-0.002284039,39
1,82,83,0.0999865606427193,0.0124522773548961,0,0,0,0,-0.002284039,39
1,83,84,0.15028640627861,0.0131883723661304,0,0,0,0,-0.002284039,39
1,84,85,0.199972823262215,0.0139858089387417,0,0,0,0,-0.002284039,39
1,85,86,0.249965965747833,0.0157033652067184,0,0,0,0,-0.002284039,39
1,86,87,0.299959093332291,0.0158260464668274,0,0,0,0,-0.002284039,39
1,87,88,0.349952220916748,0.0178503096103668,0,0,0,0,-0.002284039,39
1,88,89,0.399945348501205,0.0183410383760929,0,0,0,0,-0.002284039,39
1,89,90,0.449938505887985,0.0218988321721554,0,0,0,0,-0.002284039,39
1,90,91,0.499931633472443,0.025701992213726,0,0,0,0,-0.002284039,39
1,91,92,0.549618065357208,0.0191998165100813,0,0,0,0,-0.002284039,39
1,92,93,0.599611163139343,0.0132497139275074,0,0,0,0,-0.002284039,39
1,93,94,0.649911046028137,0.0076063172891736,0,0,0,0,-0.002284039,39
1,94,95,0.699597477912903,0.0056433966383338,0,0,0,0,-0.002284039,39
1,95,96,0.749590575695038,0.00423254771158099,0,0,0,0,-0.002284039,39
1,96,97,0.799583733081818,0.00417120615020394,0,0,0,0,-0.002284039,39
1,97,98,0.849576830863953,0.00453925365582109,0,0,0,0,-0.002284039,39
1,98,99,0.899569988250732,0.00619546789675951,0,0,0,0,-0.002284039,39
1,99,100,0.949563145637512,0.00680888071656227,0,0,0,0,-0.002284039,39
1,100,101,0.999556243419647,0.00619546789675951,0,0,0,0,-0.002284039,39
2,101,102,0.949563145637512,0.00417120615020394,0,0,0,0,-0.002284039,39
2,102,103,0.899569988250732,0.00269901589490473,0,0,0,0,-0.002284039,39
2,103,104,0.849576830863953,0.00208560307510197,0,0,0,0,-0.002284039,39
2,104,105,0.799583733081818,0.00226962682791054,0,0,0,0,-0.002284039,39
2,105,106,0.749590575695038,0.001840237993747,0,0,0,0,-0.002284039,39
2,106,107,0.699904143810272,0.00202426174655557,0,0,0,0,-0.002284039,39
2,107,108,0.649604320526123,0.00263767456635833,0,0,0,0,-0.002284039,39
2,108,109,0.599917888641357,0.00343511090613902,0,0,0,0,-0.002284039,39
2,109,110,0.549924790859222,0.00177889678161591,0,0,0,0,-0.002284039,39
2,110,111,0.499931633472443,0.00165621424093843,0,0,0,0,-0.002284039,39
2,111,112,0.449938505887985,0.00214694440364838,0,0,0,0,-0.002284039,39
2,112,113,0.399945348501205,0.00171755545306951,0,0,0,0,-0.002284039,39
2,113,114,0.349952220916748,0.000736095244064927,0,0,0,0,-0.002284039,39
2,114,115,0.299959093332291,0.000736095244064927,0,0,0,0,-0.002284039,39
2,115,116,0.249965965747833,0.00104280153755099,0,0,0,0,-0.002284039,39
2,116,117,0.199972823262215,0.000613412703387439,0,0,0,0,-0.002284039,39
2,117,118,0.149979695677757,0.000429388863267377,0,0,0,0,-0.002284039,39
2,118,119,0.100293263792992,0.000368047622032464,0,0,0,0,-0.002284039,39
2,119,120,0.0503001324832439,0.000429388863267377,0,0,0,0,-0.002284039,39
2,120,121,0.000307000009343028,0.00030670635169372,0,0,0,0,-0.002284039,39
2,121,122,-0.0493794269859791,0.000184023811016232,0,0,0,0,-0.002284039,39
2,122,123,-0.0993725582957268,6.13412703387439E-05,0,0,0,0,-0.002284039,39
2,123,124,-0.149365693330765,0,0,0,0,0,-0.002284039,39
2,124,125,-0.199358820915222,6.13412703387439E-05,0,0,0,0,-0.002284039,39
2,125,126,-0.249351963400841,6.13412703387439E-05,0,0,0,0,-0.002284039,39
2,126,127,-0.299345105886459,6.13412703387439E-05,0,0,0,0,-0.002284039,39
2,127,128,-0.349338233470917,0.000122682540677488,0,0,0,0,-0.002284039,39
2,128,129,-0.399331361055374,0.000245365081354976,0,0,0,0,-0.002284039,39
2,129,130,-0.449324488639832,0.00030670635169372,0,0,0,0,-0.002284039,39
2,130,131,-0.499317616224289,0.000245365081354976,0,0,0,0,-0.002284039,39
2,131,132,-0.549310743808746,-0.000122682540677488,0,0,0,0,-0.002284039,39
2,132,133,-0.598997175693512,-0.000184023811016232,0,0,0,0,-0.002284039,39
2,133,134,-0.649296998977661,-0.000368047622032464,0,0,0,0,-0.002284039,39
2,134,135,-0.699290156364441,-0.000368047622032464,0,0,0,0,-0.002284039,39
2,135,136,-0.748976588249207,-0.000490730162709951,0,0,0,0,-0.002284039,39
2,136,137,-0.798969745635986,-0.000920118996873498,0,0,0,0,-0.002284039,39
2,137,138,-0.848962843418121,-0.00171755545306951,0,0,0,0,-0.002284039,39
2,138,139,-0.898956000804901,-0.00220828573219478,0,0,0,0,-0.002284039,39
2,139,140,-0.948949098587036,-0.00269901589490473,0,0,0,0,-0.002284039,39
2,140,141,-0.998942255973816,-0.00325108715333045,0,0,0,0,-0.002284039,39
