Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,1,0.00030670635169372,0.000184023811016232,0,0,0,0,-0.002284039,39
0,1,2,-0.0993728563189507,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,2,3,-0.199359118938446,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,3,4,-0.299345374107361,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,4,5,-0.399331659078598,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,5,6,-0.499317914247513,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,6,7,-0.59930419921875,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,7,8,-0.698983728885651,-0.000981460325419903,0,0,0,0,-0.002284039,39
0,8,9,-0.79897004365921,-0.00110414286609739,0,0,0,0,-0.002284039,39
0,9,10,-0.898956298828125,-0.00128816661890596,0,0,0,0,-0.002284039,39
0,10,11,-0.99894255399704,-0.00147219048812985,0,0,0,0,-0.002284039,39
0,11,12,-1.09892880916595,-0.00177889678161591,0,0,0,0,-0.002284039,39
0,12,13,-1.19891512393951,-0.00245365081354976,0,0,0,0,-0.002284039,39
0,13,14,-1.29890131950378,-0.00349645223468542,0,0,0,0,-0.002284039,39
0,14,15,-1.39858090877533,-0.00502998381853104,0,0,0,0,-0.002284039,39
0,15,16,-1.49856722354889,-0.00729961087927222,0,0,0,0,-0.002284039,39
0,16,17,-1.59855341911316,-0.0441043712198734,0,0,0,0,-0.002284039,39
0,17,18,-1.69853973388672,-0.096305787563324,0,0,0,0,-0.002284039,39
0,18,19,-1.79821932315826,-0.150408789515495,0,0,0,0,-0.002284039,39
0,19,20,-1.89820551872253,-0.176172122359276,0,0,0,0,-0.002284039,39
0,20,21,-1.99788510799408,-0.0735481828451157,0,0,0,0,-0.002284039,39
1,21,22,-1.89851224422455,-0.127405807375908,0,0,0,0,-0.002284039,39
1,22,23,-1.79852592945099,-0.139735415577888,0,0,0,0,-0.002284039,39
1,23,24,-1.69853973388672,-0.10139711946249,0,0,0,0,-0.002284039,39
1,24,25,-1.59886014461517,-0.0627521201968193,0,0,0,0,-0.002284039,39
1,25,26,-1.49887382984161,-0.0181570146232843,0,0,0,0,-0.002284039,39
1,26,27,-1.39888763427734,0.0315294116735458,0,0,0,0,-0.002284039,39
1,27,28,-1.2992080450058,0.0826880261301994,0,0,0,0,-0.002284039,39
1,28,29,-1.19922184944153,0.130288854241371,0,0,0,0,-0.002284039,39
1,29,30,-1.09923553466797,0.123848021030426,0,0,0,0,-0.002284039,39
1,30,31,-0.999249279499054,0.0660645440220833,0,0,0,0,-0.002284039,39
1,31,32,-0.899262964725494,0.0824426636099815,0,0,0,0,-0.002284039,39
1,32,33,-0.79927670955658,0.0904170274734497,0,0,0,0,-0.002284039,39
1,33,34,-0.699597179889679,0.103605404496193,0,0,0,0,-0.002284039,39
1,34,35,-0.59930419921875,-0.000245365081354976,0,0,0,0,-0.002284039,39
1,35,36,-0.499624639749527,-0.000122682540677488,0,0,0,0,-0.002284039,39
1,36,37,-0.39963835477829,0,0,0,0,0,-0.002284039,39
1,37,38,-0.299652099609375,6.13412703387439E-05,0,0,0,0,-0.002284039,39
1,38,39,-0.199665829539299,0.000429388863267377,0,0,0,0,-0.002284039,39
1,39,40,-0.099679559469223,0.000674753973726183,0,0,0,0,-0.002284039,39
1,40,41,0,0.000920118996873498,0,0,0,0,-0.002284039,39
1,41,42,0.099986270070076,0.00110414286609739,0,0,0,0,-0.002284039,39
1,42,43,0.199665829539299,0.00128816661890596,0,0,0,0,-0.002284039,39
