Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.15,0.000307000009343028,-6.13412703387439E-05,0,0,0,0,-0.002284039,39
0,1,0.3,-0.0144149046391249,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,2,0.45,-0.0294435154646635,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,3,0.6,-0.044472124427557,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,4,0.75,-0.0595007352530956,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,5,0.9,-0.0745293498039246,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,6,1.05,-0.0895579606294632,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,7,1.2,-0.104586571455002,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,8,1.35,-0.11961518228054,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,9,1.5,-0.134643793106079,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,10,1.65,-0.14997909963131,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,11,1.8,-0.164701014757156,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,12,1.95,-0.179729625582695,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,13,2.1,-0.195064932107925,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,14,2.25,-0.209786847233772,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,15,2.4,-0.225122153759003,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,16,2.55,-0.23984406888485,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,17,2.7,-0.25517937541008,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,18,2.85,-0.27020800113678,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,19,3,-0.285236597061157,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,20,3.15,-0.300265222787857,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,21,3.3,-0.315293818712235,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,22,3.45,-0.330322444438934,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,23,3.6,-0.345351040363312,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,24,3.75,-0.360379666090012,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,25,3.9,-0.375408262014389,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,26,4.05,-0.390436887741089,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,27,4.2,-0.405465483665466,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,28,4.35,-0.420494109392166,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,29,4.5,-0.435522705316544,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,30,4.65,-0.450551331043243,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,31,4.8,-0.465579926967621,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,32,4.95,-0.480608552694321,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,33,5.1,-0.495637148618698,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,34,5.25,-0.510665774345398,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,35,5.4,-0.525694370269775,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,36,5.55,-0.540722966194153,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,37,5.7,-0.555751621723175,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,38,5.85,-0.570780217647552,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,39,6,-0.58580881357193,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,40,6.15,-0.600837409496307,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,41,6.3,-0.61586606502533,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,42,6.45,-0.630894660949707,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,43,6.6,-0.645923256874084,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,44,6.75,-0.660951852798462,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,45,6.9,-0.675980508327484,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,46,7.05,-0.691315770149231,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,47,7.2,-0.706344425678253,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,48,7.35,-0.721066296100616,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,49,7.5,-0.736401617527008,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,50,7.65,-0.751123547554016,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,51,7.8,-0.766152143478394,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,52,7.95,-0.781180739402771,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,53,8.1,-0.796209394931793,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,54,8.25,-0.811237990856171,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,55,8.4,-0.826573312282562,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,56,8.55,-0.84160190820694,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,57,8.7,-0.856323778629303,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,58,8.85,-0.871352434158325,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,59,9,-0.886381030082703,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,60,9.15,-0.901716351509094,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,61,9.3,-0.916744947433472,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,62,9.45,-0.931773543357849,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,63,9.6,-0.946495473384857,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,64,9.75,-0.961830794811249,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,65,9.9,-0.976859390735626,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,66,10.05,-0.991887986660004,-0.000981460325419903,0,0,0,0,-0.002284039,39
0,67,10.2,-1.00691664218903,-0.000981460325419903,0,0,0,0,-0.002284039,39
0,68,10.35,-1.0219452381134,-0.000981460325419903,0,0,0,0,-0.002284039,39
0,69,10.5,-1.03697383403778,-0.00104280153755099,0,0,0,0,-0.002284039,39
0,70,10.65,-1.05200242996216,-0.00104280153755099,0,0,0,0,-0.002284039,39
0,71,10.8,-1.06703102588654,-0.00104280153755099,0,0,0,0,-0.002284039,39
0,72,10.95,-1.08205962181091,-0.00110414286609739,0,0,0,0,-0.002284039,39
0,73,11.1,-1.09708833694458,-0.00110414286609739,0,0,0,0,-0.002284039,39
0,74,11.25,-1.11211693286896,-0.00116548407822847,0,0,0,0,-0.002284039,39
0,75,11.4,-1.12714552879334,-0.00116548407822847,0,0,0,0,-0.002284039,39
0,76,11.55,-1.14217412471771,-0.00122682540677488,0,0,0,0,-0.002284039,39
0,77,11.7,-1.15720272064209,-0.00128816661890596,0,0,0,0,-0.002284039,39
0,78,11.85,-1.17223131656647,-0.00128816661890596,0,0,0,0,-0.002284039,39
0,79,12,-1.18725991249084,-0.00134950794745237,0,0,0,0,-0.002284039,39
0,80,12.15,-1.20228850841522,-0.00141084915958345,0,0,0,0,-0.002284039,39
0,81,12.3,-1.21731722354889,-0.00147219048812985,0,0,0,0,-0.002284039,39
0,82,12.45,-1.23234581947327,-0.00153353170026094,0,0,0,0,-0.002284039,39
0,83,12.6,-1.24737441539764,-0.00159487291239202,0,0,0,0,-0.002284039,39
0,84,12.75,-1.26240301132202,-0.00165621424093843,0,0,0,0,-0.002284039,39
0,85,12.9,-1.2774316072464,-0.00171755545306951,0,0,0,0,-0.002284039,39
0,86,13.05,-1.29246020317078,-0.00177889678161591,0,0,0,0,-0.002284039,39
0,87,13.2,-1.30748879909515,-0.001840237993747,0,0,0,0,-0.002284039,39
0,88,13.35,-1.32251739501953,-0.00196292065083981,0,0,0,0,-0.002284039,39
0,89,13.5,-1.3375461101532,-0.00202426174655557,0,0,0,0,-0.002284039,39
0,90,13.65,-1.35257470607758,-0.00214694440364838,0,0,0,0,-0.002284039,39
0,91,13.8,-1.36760330200195,-0.00233096815645695,0,0,0,0,-0.002284039,39
0,92,13.95,-1.38263189792633,-0.00245365081354976,0,0,0,0,-0.002284039,39
0,93,14.1,-1.39766049385071,-0.00257633323781192,0,0,0,0,-0.002284039,39
0,94,14.25,-1.4129958152771,-0.00276035699062049,0,0,0,0,-0.002284039,39
0,95,14.4,-1.42802441120148,-0.00300572207197547,0,0,0,0,-0.002284039,39
0,96,14.55,-1.44274628162384,-0.00318974582478404,0,0,0,0,-0.002284039,39
0,97,14.7,-1.45777499675751,-0.00343511090613902,0,0,0,0,-0.002284039,39
0,98,14.85,-1.47311019897461,-0.00368047598749399,0,0,0,0,-0.002284039,39
0,99,15,-1.48783218860626,-0.00398718239739537,0,0,0,0,-0.002284039,39
0,100,15.15,-1.50316751003265,-0.00435522990301251,0,0,0,0,-0.002284039,39
0,101,15.3,-1.51788938045502,-0.00472327740862966,0,0,0,0,-0.002284039,39
0,102,15.45,-1.53291797637939,-0.00515266647562385,0,0,0,0,-0.002284039,39
0,103,15.6,-1.54794657230377,-0.0056433966383338,0,0,0,0,-0.002284039,39
0,104,15.75,-1.56328189373016,-0.00613412680104375,0,0,0,0,-0.002284039,39
0,105,15.9,-1.57800388336182,-0.00674753962084651,0,0,0,0,-0.002284039,39
0,106,16.05,-1.59303247928619,-0.00736095197498798,0,0,0,0,-0.002284039,39
0,107,16.2,-1.60836780071259,-0.00809704698622227,0,0,0,0,-0.002284039,39
0,108,16.35,-1.62339639663696,-0.00895582512021065,0,0,0,0,-0.002284039,39
