Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,1,0.000307000009343028,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,1,2,-0.0993725582957268,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,2,3,-0.199358820915222,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,3,4,-0.299345105886459,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,4,5,-0.399331361055374,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,5,6,-0.499317616224289,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,6,7,-0.598997175693512,-0.000981460325419903,0,0,0,0,-0.002284039,39
0,7,8,-0.698983430862427,-0.00122682540677488,0,0,0,0,-0.002284039,39
0,8,9,-0.798969745635986,-0.00159487291239202,0,0,0,0,-0.002284039,39
0,9,10,-0.898956000804901,-0.00202426174655557,0,0,0,0,-0.002284039,39
0,10,11,-0.998942255973816,-0.00251499190926552,0,0,0,0,-0.002284039,39
0,11,12,-1.09892857074738,-0.00325108715333045,0,0,0,0,-0.002284039,39
0,12,13,-1.19891476631165,-0.0038031586445868,0,0,0,0,-0.002284039,39
0,13,14,-1.29859435558319,-0.00527534913271666,0,0,0,0,-0.002284039,39
0,14,15,-1.39858067035675,-0.00852643605321646,0,0,0,0,-0.002284039,39
0,15,16,-1.49856686592102,-0.0145992217585444,0,0,0,0,-0.002284039,39
0,16,17,-1.59855318069458,-0.050606545060873,0,0,0,0,-0.002284039,39
0,17,18,-1.69823276996613,-0.0903556868433952,0,0,0,0,-0.002284039,39
1,18,19,-1.59885990619659,-0.0842829048633575,0,0,0,0,-0.002284039,39
1,19,20,-1.49887359142303,-0.0741002485156059,0,0,0,0,-0.002284039,39
1,20,21,-1.39919400215149,-0.0700517296791077,0,0,0,0,-0.002284039,39
1,21,22,-1.29920780658722,-0.0648990646004677,0,0,0,0,-0.002284039,39
1,22,23,-1.19922149181366,-0.0564339682459831,0,0,0,0,-0.002284039,39
1,23,24,-1.0992351770401,-0.0285850316286087,0,0,0,0,-0.002284039,39
1,24,25,-0.999555647373199,0.00846509542316198,0,0,0,0,-0.002284039,39
1,25,26,-0.899569392204285,0.0523854419589043,0,0,0,0,-0.002284039,39
1,26,27,-0.79958313703537,0.0962444469332695,0,0,0,0,-0.002284039,39
1,27,28,-0.699596881866455,0.00631815055385232,0,0,0,0,-0.002284039,39
1,28,29,-0.59961062669754,0.000858777726534754,0,0,0,0,-0.002284039,39
1,29,30,-0.499931037425995,0.00294438097625971,0,0,0,0,-0.002284039,39
1,30,31,-0.39994478225708,0.00306706340052187,0,0,0,0,-0.002284039,39
1,31,32,-0.299958497285843,0.00269901589490473,0,0,0,0,-0.002284039,39
