Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.5,0.000613706361036748,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,1,1,-0.0493794269859791,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,2,1.5,-0.0993725582957268,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,3,2,-0.149365693330765,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,4,2.5,-0.19905212521553,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,5,3,-0.249045252799988,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,6,3.5,-0.299038380384445,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,7,4,-0.349031507968903,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,8,4.5,-0.399024665355682,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,9,5,-0.44901779294014,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,10,5.5,-0.499010920524597,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,11,6,-0.549004077911377,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,12,6.5,-0.598997175693512,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,13,7,-0.648990333080292,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,14,7.5,-0.698983430862427,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,15,8,-0.748669862747192,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,16,8.5,-0.798969745635986,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,17,9,-0.848656177520752,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,18,9.5,-0.898956000804901,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,19,10,-0.948642432689667,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,20,10.5,-0.998635530471802,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,21,11,-1.04862868785858,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,22,11.5,-1.09862184524536,-0.00110414286609739,0,0,0,0,-0.002284039,39
0,23,12,-1.14861500263214,-0.00122682540677488,0,0,0,0,-0.002284039,39
0,24,12.5,-1.19860804080963,-0.00147219048812985,0,0,0,0,-0.002284039,39
0,25,13,-1.24860119819641,-0.00171755545306951,0,0,0,0,-0.002284039,39
0,26,13.5,-1.29859435558319,-0.00202426174655557,0,0,0,0,-0.002284039,39
0,27,14,-1.34828078746796,-0.00220828573219478,0,0,0,0,-0.002284039,39
0,28,14.5,-1.39858067035675,-0.00245365081354976,0,0,0,0,-0.002284039,39
1,29,15,-1.34920084476471,-0.0019015793222934,0,0,0,0,-0.002284039,39
