Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.4,0,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,1,0.8,-0.0199359115213156,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,2,1.2,-0.0398718230426311,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,3,1.6,-0.0598077364265919,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,4,2,-0.0797436460852623,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,5,2.4,-0.099679559469223,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,6,2.8,-0.119615472853184,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,7,3.2,-0.139551386237144,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,8,3.6,-0.159794002771378,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,9,4,-0.179729908704758,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,10,4.4,-0.199665829539299,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,11,4.8,-0.219601735472679,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,12,5.2,-0.23953765630722,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,13,5.6,-0.259780257940292,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,14,6,-0.279716193675995,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,15,6.4,-0.299652099609375,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,16,6.8,-0.319588005542755,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,17,7.2,-0.339523911476135,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,18,7.6,-0.359459817409515,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,19,8,-0.37970244884491,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,20,8.4,-0.39963835477829,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,21,8.8,-0.41957426071167,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,22,9.2,-0.439510196447372,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,23,9.6,-0.459446102380753,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,24,10,-0.479382008314133,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,25,10.4,-0.499624639749527,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,26,10.8,-0.519560515880585,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,27,11.2,-0.53949648141861,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,28,11.6,-0.55943238735199,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,29,12,-0.57936829328537,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,30,12.4,-0.59930419921875,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,31,12.8,-0.619546830654144,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,32,13.2,-0.639482736587524,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,33,13.6,-0.659418642520905,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,34,14,-0.679354548454285,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,35,14.4,-0.699290454387665,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,36,14.8,-0.719226360321045,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,37,15.2,-0.739468991756439,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,38,15.6,-0.759404897689819,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,39,16,-0.779340803623199,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,40,16.4,-0.79927670955658,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,41,16.8,-0.81921261548996,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,42,17.2,-0.83914852142334,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,43,17.6,-0.859391152858734,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,44,18,-0.879327058792114,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,45,18.4,-0.899262964725494,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,46,18.8,-0.919198930263519,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,47,19.2,-0.939134836196899,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,48,19.6,-0.959377408027649,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,49,20,-0.979313373565674,-0.000981460325419903,0,0,0,0,-0.002284039,39
0,50,20.4,-0.999249279499054,-0.00104280153755099,0,0,0,0,-0.002284039,39
0,51,20.8,-1.01918518543243,-0.00104280153755099,0,0,0,0,-0.002284039,39
0,52,21.2,-1.03912103176117,-0.00110414286609739,0,0,0,0,-0.002284039,39
0,53,21.6,-1.05905699729919,-0.00122682540677488,0,0,0,0,-0.002284039,39
0,54,22,-1.07929956912994,-0.00128816661890596,0,0,0,0,-0.002284039,39
0,55,22.4,-1.09923553466797,-0.00134950794745237,0,0,0,0,-0.002284039,39
0,56,22.8,-1.1191713809967,-0.00147219048812985,0,0,0,0,-0.002284039,39
0,57,23.2,-1.13910734653473,-0.00153353170026094,0,0,0,0,-0.002284039,39
0,58,23.6,-1.15904331207275,-0.00171755545306951,0,0,0,0,-0.002284039,39
0,59,24,-1.17897915840149,-0.001840237993747,0,0,0,0,-0.002284039,39
0,60,24.4,-1.19922184944153,-0.00196292065083981,0,0,0,0,-0.002284039,39
0,61,24.8,-1.21915769577026,-0.00220828573219478,0,0,0,0,-0.002284039,39
0,62,25.2,-1.23909366130829,-0.00233096815645695,0,0,0,0,-0.002284039,39
0,63,25.6,-1.25902950763702,-0.00257633323781192,0,0,0,0,-0.002284039,39
0,64,26,-1.27896547317505,-0.00276035699062049,0,0,0,0,-0.002284039,39
0,65,26.4,-1.29890131950378,-0.00294438097625971,0,0,0,0,-0.002284039,39
0,66,26.8,-1.31914401054382,-0.00312840472906828,0,0,0,0,-0.002284039,39
0,67,27.2,-1.33907985687256,-0.00337376981042326,0,0,0,0,-0.002284039,39
0,68,27.6,-1.35901582241058,-0.00361913489177823,0,0,0,0,-0.002284039,39
0,69,28,-1.37895166873932,-0.00398718239739537,0,0,0,0,-0.002284039,39
0,70,28.4,-1.39888763427734,-0.00435522990301251,0,0,0,0,-0.002284039,39
0,71,28.8,-1.41882348060608,-0.0047846189700067,0,0,0,0,-0.002284039,39
0,72,29.2,-1.43906617164612,-0.00527534913271666,0,0,0,0,-0.002284039,39
0,73,29.6,-1.45900201797485,-0.00588876195251942,0,0,0,0,-0.002284039,39
0,74,30,-1.47893798351288,-0.0066248569637537,0,0,0,0,-0.002284039,39
0,75,30.4,-1.49887382984161,-0.00754497619345784,0,0,0,0,-0.002284039,39
0,76,30.8,-1.51911652088165,-0.00877180136740208,0,0,0,0,-0.002284039,39
0,77,31.2,-1.53905236721039,-0.0102439913898706,0,0,0,0,-0.002284039,39
0,78,31.6,-1.5586816072464,-0.0122682536020875,0,0,0,0,-0.002284039,39
0,79,32,-1.57892429828644,-0.0300572216510773,0,0,0,0,-0.002284039,39
0,80,32.4,-1.59886014461517,-0.0504225231707096,0,0,0,0,-0.002284039,39
0,81,32.8,-1.6187961101532,-0.0702970921993256,0,0,0,0,-0.002284039,39
0,82,33.2,-1.63873195648193,-0.0901716649532318,0,0,0,0,-0.002284039,39
0,83,33.6,-1.65866792201996,-0.107408560812473,0,0,0,0,-0.002284039,39
0,84,34,-1.67860376834869,-0.0976552963256836,0,0,0,0,-0.002284039,39
0,85,34.4,-1.69853973388672,-0.0974712744355202,0,0,0,0,-0.002284039,39
1,86,34.8,-1.67921721935272,-0.0945882350206375,0,0,0,0,-0.002284039,39
1,87,35.2,-1.6592812538147,-0.0877180099487305,0,0,0,0,-0.002284039,39
1,88,35.6,-1.63903868198395,-0.0834854692220688,0,0,0,0,-0.002284039,39
1,89,36,-1.61910271644592,-0.0812158361077309,0,0,0,0,-0.002284039,39
1,90,36.4,-1.59916687011719,-0.0779647529125214,0,0,0,0,-0.002284039,39
1,91,36.8,-1.57923090457916,-0.0745296403765678,0,0,0,0,-0.002284039,39
1,92,37.2,-1.55929505825043,-0.0729961097240448,0,0,0,0,-0.002284039,39
1,93,37.6,-1.5393590927124,-0.0752043947577477,0,0,0,0,-0.002284039,39
1,94,38,-1.51942324638367,-0.0698063597083092,0,0,0,0,-0.002284039,39
1,95,38.4,-1.49918055534363,-0.0682728290557861,0,0,0,0,-0.002284039,39
1,96,38.8,-1.47924470901489,-0.0642856508493423,0,0,0,0,-0.002284039,39
1,97,39.2,-1.45930874347687,-0.0652671083807945,0,0,0,0,-0.002284039,39
1,98,39.6,-1.43937289714813,-0.0636108964681625,0,0,0,0,-0.002284039,39
1,99,40,-1.41943693161011,-0.0611572451889515,0,0,0,0,-0.002284039,39
1,100,40.4,-1.39950108528137,-0.0595010295510292,0,0,0,0,-0.002284039,39
1,101,40.8,-1.37956511974335,-0.0555751882493496,0,0,0,0,-0.002284039,39
1,102,41.2,-1.35962915420532,-0.0511586181819439,0,0,0,0,-0.002284039,39
1,103,41.6,-1.33938658237457,-0.0495637431740761,0,0,0,0,-0.002284039,39
1,104,42,-1.31945061683655,-0.0473554581403732,0,0,0,0,-0.002284039,39
1,105,42.4,-1.29951477050781,-0.0458219274878502,0,0,0,0,-0.002284039,39
1,106,42.8,-1.27957880496979,-0.0426935218274593,0,0,0,0,-0.002284039,39
1,107,43.2,-1.25964295864105,-0.0374795161187649,0,0,0,0,-0.002284039,39
1,108,43.6,-1.23970699310303,-0.033430989831686,0,0,0,0,-0.002284039,39
1,109,44,-1.21946442127228,-0.028278324753046,0,0,0,0,-0.002284039,39
1,110,44.4,-1.19952845573425,-0.0226962696760893,0,0,0,0,-0.002284039,39
1,111,44.8,-1.17959260940552,-0.0164394602179527,0,0,0,0,-0.002284039,39
1,112,45.2,-1.15965664386749,-0.00950789637863636,0,0,0,0,-0.002284039,39
1,113,45.6,-1.13972079753876,-0.00159487291239202,0,0,0,0,-0.002284039,39
1,114,46,-1.11978483200073,0.00637949164956808,0,0,0,0,-0.002284039,39
1,115,46.4,-1.099848985672,0.0141698326915503,0,0,0,0,-0.002284039,39
1,116,46.8,-1.07960629463196,0.0223282221704721,0,0,0,0,-0.002284039,39
1,117,47.2,-1.05997705459595,0.030854657292366,0,0,0,0,-0.002284039,39
1,118,47.6,-1.0397344827652,0.0393810942769051,0,0,0,0,-0.002284039,39
1,119,48,-1.01979863643646,0.0479075312614441,0,0,0,0,-0.002284039,39
1,120,48.4,-0.999862670898438,0.0558818951249123,0,0,0,0,-0.002284039,39
1,121,48.8,-0.979926764965057,0.0636108964681625,0,0,0,0,-0.002284039,39
1,122,49.2,-0.959990859031677,0.0675980746746063,0,0,0,0,-0.002284039,39
1,123,49.6,-0.939748227596283,0.0697450190782547,0,0,0,0,-0.002284039,39
1,124,50,-0.919812321662903,0.0579061582684517,0,0,0,0,-0.002284039,39
1,125,50.4,-0.899876415729523,0.0385836586356163,0,0,0,0,-0.002284039,39
1,126,50.8,-0.879940509796143,0.0196292065083981,0,0,0,0,-0.002284039,39
1,127,51.2,-0.860004603862762,0.0174822621047497,0,0,0,0,-0.002284039,39
1,128,51.6,-0.839761972427368,0.0205493252724409,0,0,0,0,-0.002284039,39
1,129,52,-0.819826066493988,0.014721903949976,0,0,0,0,-0.002284039,39
1,130,52.4,-0.799890160560608,0.0183410383760929,0,0,0,0,-0.002284039,39
1,131,52.8,-0.779954195022583,0.0136791029945016,0,0,0,0,-0.002284039,39
1,132,53.2,-0.760018289089203,0.011102769523859,0,0,0,0,-0.002284039,39
1,133,53.6,-0.740082383155823,0.00907850731164217,0,0,0,0,-0.002284039,39
1,134,54,-0.720146477222443,0.00840375386178494,0,0,0,0,-0.002284039,39
1,135,54.4,-0.700210571289063,0.0090171666815877,0,0,0,0,-0.002284039,39
1,136,54.8,-0.679967939853668,0.0103053329512477,0,0,0,0,-0.002284039,39
1,137,55.2,-0.660032033920288,0.0102439913898706,0,0,0,0,-0.002284039,39
1,138,55.6,-0.640096127986908,0.0101213091984391,0,0,0,0,-0.002284039,39
1,139,56,-0.620160222053528,0.0104280151426792,0,0,0,0,-0.002284039,39
1,140,56.4,-0.600224316120148,0.00907850731164217,0,0,0,0,-0.002284039,39
1,141,56.8,-0.579981684684753,0.0104893567040563,0,0,0,0,-0.002284039,39
1,142,57.2,-0.560045778751373,0.0105506982654333,0,0,0,0,-0.002284039,39
1,143,57.6,-0.540109872817993,0.0107347220182419,0,0,0,0,-0.002284039,39
1,144,58,-0.520173966884613,0.0107960635796189,0,0,0,0,-0.002284039,39
1,145,58.4,-0.500238060951233,0.0109187457710505,0,0,0,0,-0.002284039,39
1,146,58.8,-0.48030212521553,0.0122069120407104,0,0,0,0,-0.002284039,39
1,147,59.2,-0.460059523582459,0.00926253106445074,0,0,0,0,-0.002284039,39
1,148,59.6,-0.44043031334877,0.00674753962084651,0,0,0,0,-0.002284039,39
1,149,60,-0.420187681913376,0.00674753962084651,0,0,0,0,-0.002284039,39
1,150,60.4,-0.400251775979996,0.00729961087927222,0,0,0,0,-0.002284039,39
1,151,60.8,-0.380315870046616,0.00895582512021065,0,0,0,0,-0.002284039,39
1,152,61.2,-0.360379964113235,0.0212240796536207,0,0,0,0,-0.002284039,39
1,153,61.6,-0.340137332677841,0.00785168260335922,0,0,0,0,-0.002284039,39
1,154,62,-0.320201426744461,0.00729961087927222,0,0,0,0,-0.002284039,39
1,155,62.4,-0.300265520811081,0.00693156337365508,0,0,0,0,-0.002284039,39
1,156,62.8,-0.280329585075378,0.00545937288552523,0,0,0,0,-0.002284039,39
1,157,63.2,-0.260393679141998,0.00613412680104375,0,0,0,0,-0.002284039,39
1,158,63.6,-0.240151062607765,0.0079130232334137,0,0,0,0,-0.002284039,39
1,159,64,-0.220215156674385,0.00877180136740208,0,0,0,0,-0.002284039,39
1,160,64.4,-0.200279235839844,0.00754497619345784,0,0,0,0,-0.002284039,39
1,161,64.8,-0.180343329906464,0.00729961087927222,0,0,0,0,-0.002284039,39
1,162,65.2,-0.160407409071922,0.00846509542316198,0,0,0,0,-0.002284039,39
1,163,65.6,-0.140471503138542,0.00429388880729675,0,0,0,0,-0.002284039,39
1,164,66,-0.120535589754581,0.00423254771158099,0,0,0,0,-0.002284039,39
1,165,66.4,-0.100292973220348,0.0028216983191669,0,0,0,0,-0.002284039,39
1,166,66.8,-0.0803570598363876,0.00300572207197547,0,0,0,0,-0.002284039,39
1,167,67.2,-0.0604211501777172,0.00300572207197547,0,0,0,0,-0.002284039,39
1,168,67.6,-0.0404852367937565,0.00318974582478404,0,0,0,0,-0.002284039,39
1,169,68,-0.0205493252724409,0.00361913489177823,0,0,0,0,-0.002284039,39
1,170,68.4,-0.000613412703387439,0.00337376981042326,0,0,0,0,-0.002284039,39
1,171,68.8,0.0190157927572727,0.00306706340052187,0,0,0,0,-0.002284039,39
1,172,69.2,0.0392584130167961,0.00404852349311113,0,0,0,0,-0.002284039,39
1,173,69.6,0.0591943226754665,0.00521400757133961,0,0,0,0,-0.002284039,39
1,174,70,0.079130232334137,0.00245365081354976,0,0,0,0,-0.002284039,39
1,175,70.4,0.0990661457180977,0.00318974582478404,0,0,0,0,-0.002284039,39
1,176,70.8,0.119002059102058,0.00318974582478404,0,0,0,0,-0.002284039,39
1,177,71.2,0.139244675636292,0.0028830396477133,0,0,0,0,-0.002284039,39
1,178,71.6,0.159180596470833,0.00165621424093843,0,0,0,0,-0.002284039,39
1,179,72,0.179116502404213,0.00208560307510197,0,0,0,0,-0.002284039,39
1,180,72.4,0.199052408337593,0.00153353170026094,0,0,0,0,-0.002284039,39
1,181,72.8,0.218988329172134,0.001840237993747,0,0,0,0,-0.002284039,39
1,182,73.2,0.238924235105515,0.00601144414395094,0,0,0,0,-0.002284039,39
1,183,73.6,0.259166866540909,0.00153353170026094,0,0,0,0,-0.002284039,39
1,184,74,0.279102772474289,0.00122682540677488,0,0,0,0,-0.002284039,39
1,185,74.4,0.299038678407669,0.00128816661890596,0,0,0,0,-0.002284039,39
1,186,74.8,0.318974584341049,0.00153353170026094,0,0,0,0,-0.002284039,39
1,187,75.2,0.338910520076752,0.00165621424093843,0,0,0,0,-0.002284039,39
1,188,75.6,0.359153121709824,0.00208560307510197,0,0,0,0,-0.002284039,39
1,189,76,0.379089027643204,0.00239230948500335,0,0,0,0,-0.002284039,39
1,190,76.4,0.399024963378906,0.00306706340052187,0,0,0,0,-0.002284039,39
1,191,76.8,0.418960869312286,0.00349645223468542,0,0,0,0,-0.002284039,39
1,192,77.2,0.438896775245667,0.00404852349311113,0,0,0,0,-0.002284039,39
