Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.3,0.000307000009343028,-6.13412703387439E-05,0,0,0,0,-0.002284039,39
0,1,0.6,-0.0144149046391249,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,2,0.9,-0.0294435154646635,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,3,1.2,-0.044472124427557,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,4,1.5,-0.0595007352530956,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,5,1.8,-0.0745293498039246,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,6,2.1,-0.0895579606294632,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,7,2.4,-0.104586571455002,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,8,2.7,-0.11961518228054,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,9,3,-0.134643793106079,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,10,3.3,-0.149672403931618,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,11,3.6,-0.164701014757156,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,12,3.9,-0.179729625582695,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,13,4.2,-0.194758236408234,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,14,4.5,-0.209786847233772,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,15,4.8,-0.225122153759003,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,16,5.1,-0.23984406888485,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,17,5.4,-0.254872679710388,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,18,5.7,-0.27020800113678,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,19,6,-0.285236597061157,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,20,6.3,-0.300265222787857,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,21,6.6,-0.315293818712235,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,22,6.9,-0.330322444438934,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,23,7.2,-0.345351040363312,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,24,7.5,-0.360072940587997,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,25,7.8,-0.375408262014389,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,26,8.1,-0.390436887741089,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,27,8.4,-0.405465483665466,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,28,8.7,-0.420494109392166,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,29,9,-0.435522705316544,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,30,9.3,-0.450551331043243,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,31,9.6,-0.465579926967621,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,32,9.9,-0.480608552694321,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,33,10.2,-0.495637148618698,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,34,10.5,-0.510665774345398,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,35,10.8,-0.525694370269775,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,36,11.1,-0.540722966194153,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,37,11.4,-0.555751621723175,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,38,11.7,-0.570780217647552,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,39,12,-0.58580881357193,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,40,12.3,-0.600837409496307,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,41,12.6,-0.61586606502533,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,42,12.9,-0.630894660949707,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,43,13.2,-0.645923256874084,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,44,13.5,-0.660951852798462,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,45,13.8,-0.675980508327484,-0.000981460325419903,0,0,0,0,-0.002284039,39
0,46,14.1,-0.691009104251862,-0.000981460325419903,0,0,0,0,-0.002284039,39
0,47,14.4,-0.706037700176239,-0.00104280153755099,0,0,0,0,-0.002284039,39
0,48,14.7,-0.721066296100616,-0.00104280153755099,0,0,0,0,-0.002284039,39
0,49,15,-0.736094951629639,-0.00104280153755099,0,0,0,0,-0.002284039,39
0,50,15.3,-0.751123547554016,-0.00110414286609739,0,0,0,0,-0.002284039,39
0,51,15.6,-0.766152143478394,-0.00110414286609739,0,0,0,0,-0.002284039,39
0,52,15.9,-0.781180739402771,-0.00116548407822847,0,0,0,0,-0.002284039,39
0,53,16.2,-0.796209394931793,-0.00116548407822847,0,0,0,0,-0.002284039,39
0,54,16.5,-0.811237990856171,-0.00122682540677488,0,0,0,0,-0.002284039,39
0,55,16.8,-0.826266586780548,-0.00116548407822847,0,0,0,0,-0.002284039,39
0,56,17.1,-0.841295182704926,-0.00122682540677488,0,0,0,0,-0.002284039,39
0,57,17.4,-0.856630504131317,-0.00122682540677488,0,0,0,0,-0.002284039,39
0,58,17.7,-0.871352434158325,-0.00128816661890596,0,0,0,0,-0.002284039,39
0,59,18,-0.886381030082703,-0.00128816661890596,0,0,0,0,-0.002284039,39
